Company,Country
Abu Dhabi National Energy Company PJSC,United Arab Emirates
"ACS, Actividades de Construcción y Servicios, S.A.",Spain
Advantage Energy Ltd.,Canada
AKITA Drilling Ltd.,Canada
Ampol Limited,Australia
Arabian Drilling Company,Saudi Arabia
ARC Resources Ltd.,Canada
Athabasca Oil Corporation,Canada
Bangchak Corporation Public Company Limited,Thailand
"Barnwell Industries, Inc.",United States
BASF SE,Germany
Baytex Energy Corp.,Canada
Birchcliff Energy Ltd.,Canada
"BlackRock, Inc.",United States
BlueNord ASA,Norway
BP p.l.c.,United Kingdom
Braskem S.A.,Brazil
"Buckeye Partners, L.P.",United States
Bumi Armada Berhad,Malaysia
Cabot Corporation,United States
Canadian Natural Resources Limited,Canada
Cenovus Energy Inc.,Canada
Chevron Corporation,United States
China National Petroleum Corporation,China
China Petroleum & Chemical Corporation,China
CNOOC Limited,China
Companhia Brasileira de Alumínio,Brazil
ConocoPhillips,United States
Contact Energy Limited,New Zealand
"CorEnergy Infrastructure Trust, Inc.",United States
Coterra Energy Inc.,United States
Crescent Energy Company,United States
"Crimson Midstream Holdings, LLC",United States
Ecopetrol S.A.,Colombia
Enbridge Inc.,Canada
"ENEOS Holdings, Inc.",Japan
Energy Transfer LP,United States
Eneva S.A.,Brazil
Eni S.p.A.,Italy
Equinor ASA,Norway
Exxon Mobil Corporation,United States
"Floene Energias, S.A.",Portugal
Fonterra Co-operative Group Limited,New Zealand
"Galp Energia, SGPS, S.A.",Portugal
"General Mills, Inc.",United States
Grupo Energía Bogotá S.A. E.S.P.,Colombia
HELLENiQ ENERGY Holdings S.A.,Greece
"Helmerich & Payne, Inc.",United States
Hess Corporation,United States
"Idemitsu Kosan Co.,Ltd.",Japan
Imperial Oil Limited,Canada
Inpex Corporation,Japan
Ital Gas Storage S.p.A.,Italy
ITC Holdings Corp.,United States
"Japan Petroleum Exploration Co., Ltd.",Japan
"Kansai Electric Co., Ltd.",Japan
Kerry Group plc,Ireland
Keyera Corp.,Canada
"LG Chem, Ltd.",South Korea
Lotte Chemical Corporation,South Korea
Lotte Chemical Titan Holding Berhad,Malaysia
LyondellBasell Industries N.V.,Netherlands
Marathon Oil Corporation,United States
MEG Energy Corp.,Canada
"Mesquite Energy, Inc.",United States
MOL Magyar Olaj- és Gázipari Nyrt.,Hungary
Murphy Oil Corporation,United States
National Energy Services Reunited Corp.,United Arab Emirates
"Naturgy Energy Group, S.A.",Spain
Navigator Ethylene Terminals LLC,United States
NuVista Energy Ltd.,Canada
Origin Energy Limited,Australia
Orlen S.A.,Poland
"Ormat Technologies, Inc.",United States
Ovintiv Inc.,United States
Paramount Resources Ltd.,Canada
Parex Resources Inc.,Canada
Parkland Corporation,Canada
Paz Retail And Energy Ltd.,Israel
PBF Energy Inc.,United States
"PDC Energy, Inc.",United States
Pembina Pipeline Corporation,Canada
Petrofac Limited,United Kingdom
PETRONAS Gas Berhad,Malaysia
Petróleo Brasileiro S.A. - Petrobras,Brazil
Petróleos Mexicanos,Mexico
Peyto Exploration & Development Corp.,Canada
Phillips 66,United States
"Plains All American Pipeline, L.P.",United States
Posco International Corporation,South Korea
PTT Exploration and Production PCL,Thailand
"Repsol, S.A.",Spain
Sahara International Petrochemical Company,Saudi Arabia
Saipem SpA,Italy
Santos Limited,Australia
Sapura Energy Berhad,Malaysia
Saudi Arabian Oil Company,Saudi Arabia
Senex Energy Pty Ltd,Australia
Seven Generations Energy Ltd.,Canada
"Shelf Drilling, Ltd.",United Arab Emirates
Shell plc,United Kingdom
Snam S.p.A.,Italy
Southwestern Energy Company,United States
Suncor Energy Inc.,Canada
Teck Resources Limited,Canada
Texas Oil & Chemical Co. II Inc.,United States
TGS ASA,Norway
"Tokyo Gas Co.,Ltd.",Japan
TotalEnergies SE,France
Tourmaline Oil Corp.,Canada
Transocean Ltd.,Switzerland
Valero Energy Corporation,United States
Veren Inc.,Canada
Vermilion Energy Inc.,Canada
Vistra Corp.,United States
"Vital Energy, Inc.",United States
Viva Energy Group Limited,Australia
Vivo Energy Limited,United Kingdom
Weatherford International plc,United States
"Western Midstream Partners, LP",United States
Westlake Chemical Partners LP,United States
Westshore Terminals Investment Corporation,Canada
Whitecap Resources Inc.,Canada
Woodside Energy Group Ltd,Australia
YPF Sociedad Anónima,Argentina
