,,,,,,,,,,,
List Manager - Companies,,,,,,,,,,,
List Name,BC3406 Project,,,,,,,,,,
Entity Type,Company -> Companies,Owner,HsunWen Sun,,,,,,,,
List Description,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Company,Ticker,Source,Market Cap ($M),Price ($),YTD Price Change (%),PE (x),,,,,
Abu Dhabi National Energy Company PJSC (ADX:TAQA),TAQA (ADX),Static,94889,0.84,-11.7,-,,,,,
"ACS, Actividades de Construcción y Servicios, S.A. (BME:ACS)",ACS (BME),Static,13716.9,53.88,6.4,-,,,,,
Advantage Energy Ltd. (TSX:AAV),AAV (TSX),Static,1149.8,6.89,-0.7,-,,,,,
AKITA Drilling Ltd. (TSX:AKT.A),AKT.A (TSX),Static,46.3,1.14,1.3,-,,,,,
Ampol Limited (ASX:ALD),ALD (ASX),Static,4258.6,17.87,-0.6,-,,,,,
Arabian Drilling Company (SASE:2381),2381 (SASE),Static,2455.8,27.59,-7.3,-,,,,,
ARC Resources Ltd. (TSX:ARX),ARX (TSX),Static,11314.3,19.17,4.4,-,,,,,
Athabasca Oil Corporation (TSX:ATH),ATH (TSX),Static,1771.7,3.42,-8.8,-,,,,,
Bangchak Corporation Public Company Limited (SET:BCP),BCP (SET),Static,1467.2,1.07,-0.7,-,,,,,
"Barnwell Industries, Inc. (NYSEAM:BRN)",BRN (NYSEAM),Static,16.6,1.65,9.3,-,,,,,
BASF SE (XTRA:BAS),BAS (XTRA),Static,45624.2,51.12,15.2,-,,,,,
Baytex Energy Corp. (TSX:BTE),BTE (TSX),Static,1955,2.43,-6.8,-,,,,,
Birchcliff Energy Ltd. (TSX:BIR),BIR (TSX),Static,1111.2,4.11,7.7,-,,,,,
"BlackRock, Inc. (NYSE:BLK)",BLK (NYSE),Static,150886.2,974.22,-5,23.19,,,,,
BlueNord ASA (OB:BNOR),BNOR (OB),Static,1638.8,61.84,4.7,-,,,,,
BP p.l.c. (LSE:BP.),BP. (LSE),Static,88563,5.66,13.9,-,,,,,
Braskem S.A. (BOVESPA:BRKM5),BRKM5 (BOVESPA),Static,1794,2.25,11,-,,,,,
"Buckeye Partners, L.P. (NYSE:BPL)",BPL (NYSE),Static,-,-,-,-,,,,,
Bumi Armada Berhad (KLSE:ARMADA),ARMADA (KLSE),Static,771.4,0.13,-12.2,-,,,,,
Cabot Corporation (NYSE:CBT),CBT (NYSE),Static,4580.1,84.47,-7.5,-,,,,,
Canadian Natural Resources Limited (TSX:CNQ),CNQ (TSX),Static,63376.4,30.03,-3.9,-,,,,,
Cenovus Energy Inc. (TSX:CVE),CVE (TSX),Static,26636.3,14.61,-4.8,-,,,,,
Chevron Corporation (NYSE:CVX),CVX (NYSE),Static,276273.1,156.92,8.3,-,,,,,
China National Petroleum Corporation,-,Static,-,-,-,-,,,,,
China Petroleum & Chemical Corporation (SEHK:386),386 (SEHK),Static,92383.9,0.55,-4.7,-,,,,,
CNOOC Limited (SEHK:883),883 (SEHK),Static,116930.5,2.38,-3.2,-,,,,,
Companhia Brasileira de Alumínio (BOVESPA:CBAV3),CBAV3 (BOVESPA),Static,679.5,1.04,26.9,-,,,,,
ConocoPhillips (NYSE:COP),COP (NYSE),Static,124616.9,97.94,-1.2,-,,,,,
Contact Energy Limited (NZSE:CEN),CEN (NZSE),Static,4184,5.24,-4,-,,,,,
"CorEnergy Infrastructure Trust, Inc. (OTCEM:CRNG)",CRNG (OTCEM),Static,146.5,8,9.6,NM,,,,,
Coterra Energy Inc. (NYSE:CTRA),CTRA (NYSE),Static,20728.3,28.14,10.2,-,,,,,
Crescent Energy Company (NYSE:CRGY),CRGY (NYSE),Static,2745.4,14.26,-2.4,-,,,,,
"Crimson Midstream Holdings, LLC",-,Static,-,-,-,-,,,,,
Ecopetrol S.A. (BVC:ECOPETROL),ECOPETROL (BVC),Static,21625,0.53,28.1,-,,,,,
Enbridge Inc. (TSX:ENB),ENB (TSX),Static,91192.6,41.85,-2.6,25.41,,,,,
"ENEOS Holdings, Inc. (TSE:5020)",5020 (TSE),Static,15443.1,5.68,2.7,-,,,,,
Energy Transfer LP (NYSE:ET),ET (NYSE),Static,66531.3,19.39,-1,15.15,,,,,
Eneva S.A. (BOVESPA:ENEV3),ENEV3 (BOVESPA),Static,4119.3,2.13,15.5,-,,,,,
Eni S.p.A. (BIT:ENI),ENI (BIT),Static,44942.5,14.59,6.7,-,,,,,
Equinor ASA (OB:EQNR),EQNR (OB),Static,63104.7,23.21,-2.7,-,,,,,
Exxon Mobil Corporation (NYSE:XOM),XOM (NYSE),Static,480299.8,110.69,2.9,-,,,,,
"Floene Energias, S.A.",-,Static,-,-,-,-,,,,,
Fonterra Co-operative Group Limited (NZSE:FCG),FCG (NZSE),Static,4334.9,2.7,11.9,-,,,,,
"Galp Energia, SGPS, S.A. (ENXTLS:GALP)",GALP (ENXTLS),Static,10938.6,15.73,-5.6,-,,,,,
"General Mills, Inc. (NYSE:GIS)",GIS (NYSE),Static,33684.2,61,-4.3,-,,,,,
