,,,,
AKITA Drilling Ltd (AKT/A CN) - Overview,,,,
,,,,
In Millions of CAD except Per Share,,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,
BESG ESG Score,ESG_SCORE,1.010,1.040,1.090
    Growth (YoY),ESG_SCORE,—,2.970,4.808
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,0.000,0.000,0.000
BESG Social Pillar Score,SOCIAL_SCORE,0.460,0.460,0.470
    Growth (YoY),SOCIAL_SCORE,—,-0.213,2.530
BESG Governance Pillar Score,GOVERNANCE_SCORE,3.770,3.950,4.150
    Growth (YoY),GOVERNANCE_SCORE,—,4.696,5.125
,,,,
ESG Disclosure Scores,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,32.079,32.079,32.763
    Growth (YoY),ESG_DISCLOSURE_SCORE,—,0.000,2.132
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,1.087,1.087,1.087
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,—,0.000,0.000
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,13.876,13.876,15.931
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,—,0.000,14.815
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,81.096,81.096,81.096
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,—,0.000,0.000
,,,,
Environmental,,,,
Air Quality,,,,
,,,,
Climate Change,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,No,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No
,,,,
Energy,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes
,,,,
Materials & Waste,,,,
Waste Reduction Policy,WASTE_REDUCTION,No,No,No
,,,,
Supply Chain,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No
,,,,
Water,,,,
