,,,,,,,,,,,
ARC Resources Ltd (ARX CN) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of CAD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,4.970,5.570,5.370,5.420,6.530,5.900,5.450,5.150,—
    Growth (YoY),ESG_SCORE,—,—,12.072,-3.591,0.931,20.480,-9.648,-7.627,-5.505,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,4.180,4.220,4.040,4.120,5.460,4.940,4.670,3.840,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,0.926,-4.255,1.985,32.408,-9.580,-5.304,-17.899,—
BESG Social Pillar Score,SOCIAL_SCORE,—,5.090,5.250,5.170,5.410,7.190,5.450,4.420,4.810,—
    Growth (YoY),SOCIAL_SCORE,—,—,3.141,-1.424,4.519,32.973,-24.242,-18.885,9.013,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,6.260,8.540,8.160,7.920,7.780,8.180,8.080,8.110,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,36.361,-4.359,-2.965,-1.779,5.169,-1.318,0.469,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,47.269,52.057,54.150,53.023,53.023,53.305,53.305,53.465,58.958,36.676
    Growth (YoY),ESG_DISCLOSURE_SCORE,2.442,10.130,4.019,-2.081,0.000,0.531,0.000,0.302,10.273,-37.792
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,29.236,37.844,37.844,34.461,34.461,35.307,35.307,38.689,47.961,2.688
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,13.084,29.442,0.000,-8.939,0.000,2.454,0.000,9.581,23.966,-94.395
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,29.414,33.223,33.223,33.223,33.223,33.223,33.223,38.362,39.934,20.798
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,0.000,12.950,0.000,0.000,0.000,0.000,0.000,15.469,4.098,-47.918
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,83.022,84.979,91.240,91.240,91.240,91.240,91.240,83.233,88.862,86.364
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.000,2.357,7.368,0.000,0.000,0.000,0.000,-8.776,6.763,-2.812
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,—,3.049,3.273,4.072,4.075,3.509,2.815,6.250,6.495,—
    Growth (YoY),NOX_EMISSIONS,—,—,7.347,24.412,0.074,-13.890,-19.778,122.025,3.920,—
VOC Emissions,VOC_EMISSIONS,—,1.757,1.721,2.150,1.803,1.068,0.981,1.242,1.756,—
    Growth (YoY),VOC_EMISSIONS,—,—,-2.049,24.927,-16.140,-40.765,-8.146,26.606,41.385,—
Particulate Emissions,PARTICULATE_EMISSIONS,—,0.086,0.066,0.076,0.115,0.097,0.081,0.193,0.201,—
    Growth (YoY),PARTICULATE_EMISSIONS,—,—,-23.256,15.152,51.316,-15.652,-16.495,138.272,4.145,—
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,3.313,3.082,2.482,0.778,0.395,0.290,0.097,0.060,0.145,—
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,11.212,-6.973,-19.468,-68.654,-49.267,-26.526,-66.552,-38.144,141.667,—
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,No,No,No,No,No,Yes
GHG Scope 1,GHG_SCOPE_1,763.457,727.207,641.337,685.432,636.615,505.159,516.128,"1,819.010","1,827.980",—
    Growth (YoY),GHG_SCOPE_1,18.754,-4.748,-11.808,6.875,-7.122,-20.649,2.171,252.434,0.493,—
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,390.485,351.649,339.757,326.013,258.980,129.283,101.431,41.531,49.941,—
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,-2.980,-9.946,-3.382,-4.045,-20.561,-50.080,-21.543,-59.055,20.250,—
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,—,—,—,—,—,—,—,—,0.015,—
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,No,No,No,No,No,No,No,No,No,n/a
Total Energy Consumption,ENERGY_CONSUMPTION,"3,045.400","2,917.920","2,854.880","3,067.120","2,868.220","2,459.280","2,674.430","7,415.450","7,443.480",—
    Growth (YoY),ENERGY_CONSUMPTION,20.709,-4.186,-2.160,7.434,-6.485,-14.258,8.748,177.272,0.378,—
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,No,No,No,No,No,No,No,No,No,No
Hazardous Waste,HAZARDOUS_WASTE,—,—,—,—,—,—,—,—,17.484,—
Total Waste,TOTAL_WASTE,—,—,—,—,—,—,—,—,424.962,—
Waste Recycled,WASTE_RECYCLED,—,—,—,—,—,—,—,—,0.637,—
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,—,—,—,—,—,—,—,—,211.356,—
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,"7,926.560","7,888.200","7,609.030","8,028.080","7,817.900","8,514.470","6,996.000","2,878.860","2,907.940",—
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,612.718,-0.484,-3.539,5.507,-2.618,8.910,-17.834,-58.850,1.010,—
Total Water Discharged,TOTAL_WATER_DISCHARGED,14.667,21.489,2.590,—,—,—,—,0.000,0.000,—
    Growth (YoY),TOTAL_WATER_DISCHARGED,—,46.513,-87.947,—,—,—,—,—,—,—
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,No,No,No,No,No,No,No,No,No,No
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,No,No,No,No,No,No,No
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,No,No,No,No,No,No,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
Community Spending,COMMUNITY_SPENDING,2.100,1.600,1.500,1.500,1.500,1.500,1.500,1.700,3.000,—
    Growth (YoY),COMMUNITY_SPENDING,-8.696,-23.810,-6.250,0.000,0.000,0.000,0.000,13.333,76.471,—
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,No,No,No,No,No,No
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,—,—,—,—,—,—,—,—,28.000,—
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,24.000,25.000,24.000,20.000,20.000,20.000,26.000,30.000,28.000,—
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,-4.000,4.167,-4.000,-16.667,0.000,0.000,30.000,15.385,-6.667,—
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,33.000,32.000,30.000,27.000,27.000,26.000,26.000,29.000,29.000,—
    Growth (YoY),PCT_WOMEN_EMPLOYEES,-8.333,-3.030,-6.250,-10.000,0.000,-3.704,0.000,11.538,0.000,—
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Political Donations,POLITICAL_DONATIONS,—,—,—,—,—,—,—,—,—,0.000
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—
Fatalities - Contractors,FATALITIES_CONTRACTORS,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—
Fatalities - Total,FATALITIES_TOTAL,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,0.160,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.360,—
    Growth (YoY),LOST_TIME_INCIDENT_RATE,0.000,—,—,—,—,—,—,—,—,—
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,0.370,0.180,0.000,0.080,0.000,0.190,0.080,0.090,0.000,—
    Growth (YoY),LOST_TIME_INCIDENT_RT_CNTRCTR,825.000,-51.351,—,—,—,—,-57.895,12.500,—,—
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,0.480,0.320,0.400,0.640,0.640,0.230,0.700,0.180,0.550,—
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,-2.041,-33.333,25.000,60.000,0.000,-64.063,204.348,-74.286,205.556,—
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,1.840,1.470,0.780,0.830,0.820,0.520,0.580,0.450,0.410,—
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,53.333,-20.109,-46.939,6.410,-1.205,-36.585,11.538,-22.414,-8.889,—
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,603.000,560.000,464.000,471.000,444.000,438.000,422.000,522.000,584.000,622.000
Number of Contractors,NUMBER_OF_CONTRACTORS,—,—,—,—,—,—,—,327.000,321.000,—
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,—,—,—,—,—,—,—,27.000,9.000,—
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,—,—,—,—,—,—,—,—,-66.667,—
Employee Training Cost,EMPLOYEE_TRAINING_COST,1.765,1.654,0.877,0.738,0.781,0.983,0.956,1.279,3.200,—
    Growth (YoY),EMPLOYEE_TRAINING_COST,47.107,-6.314,-46.981,-15.820,5.849,25.790,-2.677,33.736,150.164,—
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,13.000,14.000,15.000,1.000,2.000,3.000,4.000,5.000,6.000,7.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,8.333,7.692,7.143,-93.333,100.000,50.000,33.333,25.000,20.000,16.667
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,4.000,4.000,3.000,3.000,3.000,3.000,3.000,4.000,3.000,3.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,4.000,4.000,3.000,3.000,3.000,3.000,3.000,4.000,3.000,3.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,5.000,6.000,5.000,5.000,4.000,5.000,7.000,3.000,5.000,4.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,100.000,100.000,100.000,100.000,100.000,100.000,100.000,—,100.000,—
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—,—,—
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
