,,,,,,,,,,,
Advantage Energy Ltd (AAV CN) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of CAD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,1.950,2.010,2.020,3.370,3.140,4.400,3.730,4.070,—
    Growth (YoY),ESG_SCORE,—,—,3.077,0.498,66.832,-6.825,40.127,-15.227,9.115,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,0.630,0.720,0.820,2.260,2.040,2.680,2.390,2.800,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,14.465,14.499,175.040,-9.719,31.400,-10.933,17.149,—
BESG Social Pillar Score,SOCIAL_SCORE,—,0.620,0.620,0.540,2.280,1.940,4.890,3.200,3.580,—
    Growth (YoY),SOCIAL_SCORE,—,—,0.000,-12.924,320.442,-14.999,152.184,-34.723,12.198,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,7.380,7.410,7.320,7.070,7.080,7.380,7.170,7.230,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,0.451,-1.163,-3.515,0.217,4.225,-2.786,0.757,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,29.806,34.111,34.343,34.735,49.683,49.110,50.015,50.609,63.424,38.759
    Growth (YoY),ESG_DISCLOSURE_SCORE,12.619,14.445,0.678,1.142,43.035,-1.154,1.844,1.187,25.323,-38.890
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,0.000,2.839,2.839,4.017,24.524,29.085,30.686,27.303,44.971,17.638
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,—,—,0.000,41.489,510.526,18.596,5.504,-11.024,64.712,-60.779
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,6.197,15.024,15.024,15.024,39.420,39.420,39.420,39.420,53.960,13.483
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,0.000,142.439,0.000,0.000,162.374,0.000,0.000,0.000,36.887,-75.014
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,83.022,84.287,84.979,84.979,84.979,78.718,79.831,84.979,91.240,84.979
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,13.685,1.523,0.821,0.000,0.000,-7.368,1.415,6.448,7.368,-6.862
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,—,—,—,—,0.302,0.331,0.504,0.813,0.527,—
    Growth (YoY),NOX_EMISSIONS,—,—,—,—,—,9.603,52.266,61.310,-35.178,—
VOC Emissions,VOC_EMISSIONS,—,—,—,—,—,0.175,0.220,0.432,0.318,—
    Growth (YoY),VOC_EMISSIONS,—,—,—,—,—,—,25.714,96.364,-26.389,—
Particulate Emissions,PARTICULATE_EMISSIONS,—,—,—,—,—,0.005,0.008,0.010,0.016,—
    Growth (YoY),PARTICULATE_EMISSIONS,—,—,—,—,—,—,60.000,25.000,60.000,—
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,—,—,0.213,0.220,0.260,0.486,0.584,—
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,—,—,—,3.286,18.182,86.923,20.165,—
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,No,No,No,No,No,No,No,No,No,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,No,No,No,No,No,No
CO2 Scope 1,CO2_SCOPE_1,—,—,—,—,161.455,188.680,225.258,239.113,270.461,—
    Growth (YoY),CO2_SCOPE_1,—,—,—,—,—,16.862,19.386,6.151,13.110,—
GHG Scope 1,GHG_SCOPE_1,—,89.709,144.750,173.327,207.820,242.040,284.093,323.274,327.349,—
    Growth (YoY),GHG_SCOPE_1,—,—,61.355,19.742,19.901,16.466,17.374,13.792,1.261,—
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,0.271,0.277,2.303,3.144,3.125,—
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,—,2.214,731.408,36.518,-0.604,—
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,—,0.063,0.071,0.075,0.014,0.110,0.125,0.132,0.117,—
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,—,—,12.164,5.211,-81.258,685.357,13.333,5.882,-11.111,—
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,No,No,No,No,No,No,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,—,—,—,—,929.061,"1,083.820","1,239.820","1,312.160","1,474.770",—
    Growth (YoY),ENERGY_CONSUMPTION,—,—,—,—,—,16.658,14.394,5.835,12.393,—
Electricity Used,ELECTRICITY_USED,—,—,—,—,38.637,45.885,3.386,4.693,4.883,—
    Growth (YoY),ELECTRICITY_USED,—,—,—,—,—,18.759,-92.620,38.578,4.060,—
Energy Per Unit of Production,ENERGY_PER_UNIT_PRODUCTION,—,—,—,—,0.448,0.491,0.554,0.540,0.525,—
    Growth (YoY),ENERGY_PER_UNIT_PRODUCTION,—,—,—,—,—,9.546,12.863,-2.574,-2.641,—
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,No,No,No,No,No,No,No,No,Yes,Yes
Total Waste,TOTAL_WASTE,—,—,—,—,—,—,—,—,0.108,—
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No,No,No,No,No,No,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,—,—,—,—,12.036,150.482,84.492,396.681,623.933,—
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,—,—,—,—,—,"1,150.266",-43.852,369.489,57.288,—
Water per Unit of Production,WATER_PER_UNIT_OF_PROD,—,—,—,—,21.000,27.000,10.000,—,—,—
    Growth (YoY),WATER_PER_UNIT_OF_PROD,—,—,—,—,—,28.571,-62.963,—,—,—
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,No,No,No,No,No,No,No,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,No,No,No,No,No,No,No,No,No,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,No,No,No,No,No,No,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,No,No,No,No,No,No,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,—,—,—,—,0.058,0.129,0.058,0.161,0.829,—
    Growth (YoY),COMMUNITY_SPENDING,—,—,—,—,—,122.414,-55.039,177.586,414.907,—
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,n/a,No,No,No,No,No,No,No,No,No
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,—,—,—,—,31.000,18.000,18.000,21.000,25.000,—
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,—,—,—,—,-41.935,0.000,16.667,19.048,—
Pct Minorities in Workforce,PCT_MINORITY_EMPLOYEES,—,—,—,—,15.000,15.000,18.000,19.000,17.000,—
    Growth (YoY),PCT_MINORITY_EMPLOYEES,—,—,—,—,—,0.000,20.000,5.556,-10.526,—
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Political Donations,POLITICAL_DONATIONS,—,—,—,—,—,—,—,—,0.000,—
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,—,—,—,—,0.000,0.000,0.000,0.000,0.000,—
Fatalities - Contractors,FATALITIES_CONTRACTORS,—,—,—,—,0.000,0.000,0.000,0.000,0.000,—
Fatalities - Total,FATALITIES_TOTAL,—,—,—,—,0.000,0.000,0.000,0.000,0.000,—
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,—,—,—,—,0.000,2.940,0.000,0.000,0.000,—
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,—,1.220,0.150,0.830,0.150,0.340,—
    Growth (YoY),LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,—,—,-87.705,453.333,-81.928,126.667,—
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,—,—,—,—,1.170,0.290,0.830,0.150,0.340,—
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,—,—,—,—,—,-75.214,186.207,-81.928,126.667,—
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,0.840,0.840,1.040,0.000,2.940,0.000,0.000,0.000,—
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,—,0.000,23.810,—,—,—,—,—,—
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,—,1.070,0.450,0.830,0.600,0.890,—
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,—,—,-57.944,84.444,-27.711,48.333,—
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,—,—,—,—,0.570,0.570,0.830,0.600,0.890,—
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,—,—,—,—,—,0.000,45.614,-27.711,48.333,—
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,27.000,26.000,27.000,29.000,34.000,39.000,39.000,42.000,53.000,61.000
Number of Contractors,NUMBER_OF_CONTRACTORS,—,44.000,43.000,41.000,38.000,39.000,51.000,55.000,53.000,—
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,—,—,—,—,—,—,—,—,2.100,—
Employee Training Cost,EMPLOYEE_TRAINING_COST,—,—,—,—,0.016,0.020,0.030,0.015,0.035,—
    Growth (YoY),EMPLOYEE_TRAINING_COST,—,—,—,—,—,22.245,55.473,-49.772,131.072,—
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,No,No,No,No,No,No,No,Yes,Yes
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,8.000,9.000,10.000,11.000,12.000,13.000,14.000,15.000,16.000,17.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,14.286,12.500,11.111,10.000,9.091,8.333,7.692,7.143,6.667,6.250
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,3.000,3.000,3.000,3.000,3.000,3.000,4.000,6.000,6.000,6.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,3.000,3.000,3.000,3.000,3.000,3.000,4.000,6.000,6.000,6.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
