,,,,,,,,,,,
Ampol Ltd (ALD AU) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of AUD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,3.210,3.420,2.960,3.670,4.740,4.520,4.720,5.250,5.320
    Growth (YoY),ESG_SCORE,—,—,6.542,-13.450,23.986,29.155,-4.641,4.425,11.229,1.333
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,1.980,2.800,2.030,2.840,5.030,4.700,5.170,6.170,6.290
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,41.238,-27.381,39.899,77.219,-6.638,10.029,19.233,2.006
BESG Social Pillar Score,SOCIAL_SCORE,—,2.520,1.930,1.850,2.430,2.430,2.470,2.450,2.670,2.730
    Growth (YoY),SOCIAL_SCORE,—,—,-23.251,-4.038,31.323,0.023,1.536,-0.838,8.930,2.306
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,6.660,6.570,6.300,6.860,7.050,6.690,6.680,6.790,6.740
    Growth (YoY),GOVERNANCE_SCORE,—,—,-1.282,-4.152,8.831,2.781,-5.094,-0.143,1.668,-0.703
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,33.940,40.127,45.156,43.849,52.651,61.624,57.630,56.876,56.403,57.550
    Growth (YoY),ESG_DISCLOSURE_SCORE,0.387,18.228,12.534,-2.896,20.073,17.042,-6.481,-1.309,-0.831,2.033
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,7.792,23.860,34.008,23.860,48.716,63.636,63.636,63.636,62.217,63.063
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,0.000,206.202,42.532,-29.840,104.177,30.626,0.000,0.000,-2.231,1.359
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,18.350,20.163,25.121,31.348,32.920,32.376,32.376,30.804,30.804,33.404
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,2.189,9.885,24.588,24.789,5.014,-1.653,0.000,-4.855,0.000,8.440
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,75.527,76.219,76.219,76.219,76.219,88.742,76.791,76.099,76.099,76.099
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.000,0.917,0.000,0.000,0.000,16.430,-13.467,-0.902,0.000,0.000
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,—,0.882,0.994,0.983,0.941,0.888,0.574,0.979,0.980,0.918
    Growth (YoY),NOX_EMISSIONS,—,—,12.698,-1.107,-4.273,-5.632,-35.360,70.557,0.102,-6.327
VOC Emissions,VOC_EMISSIONS,—,0.916,0.981,1.065,0.890,1.059,0.818,0.905,1.019,0.934
    Growth (YoY),VOC_EMISSIONS,—,—,7.096,8.563,-16.432,18.989,-22.757,10.636,12.597,-8.342
Carbon Monoxide Emissions,CARBON_MONOXIDE_EMISSIONS,—,3.696,5.063,7.225,3.991,5.819,3.699,4.004,6.402,3.824
    Growth (YoY),CARBON_MONOXIDE_EMISSIONS,—,—,36.986,42.702,-44.761,45.803,-36.432,8.245,59.890,-40.269
Particulate Emissions,PARTICULATE_EMISSIONS,—,0.248,0.449,0.481,0.497,0.538,0.369,0.464,0.442,0.508
    Growth (YoY),PARTICULATE_EMISSIONS,—,—,81.048,7.127,3.326,8.249,-31.413,25.745,-4.741,14.932
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,5.609,6.300,6.265,5.987,5.933,3.650,5.907,5.758,5.053
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,12.319,-0.556,-4.437,-0.902,-38.480,61.836,-2.522,-12.244
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,—,—,—,—,—,643.497,558.686,545.195,—,—
    Growth (YoY),CO2_SCOPE_1,—,—,—,—,—,—,-13.180,-2.415,—,—
GHG Scope 1,GHG_SCOPE_1,"1,704.470",938.697,733.537,737.663,739.832,673.668,576.611,547.064,727.358,683.969
    Growth (YoY),GHG_SCOPE_1,-7.847,-44.927,-21.856,0.562,0.294,-8.943,-14.407,-5.124,32.957,-5.965
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,269.848,197.970,178.273,183.784,210.821,230.539,222.097,233.304,243.247,221.430
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,-6.511,-26.636,-9.949,3.091,14.711,9.353,-3.662,5.046,4.262,-8.969
GHG Scope 3,GHG_SCOPE_3,—,—,—,—,—,"41,116.102","38,234.500","34,946.500","42,699.602","56,590.398"
    Growth (YoY),GHG_SCOPE_3,—,—,—,—,—,—,-7.008,-8.600,22.186,32.531
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,—,"80,204.102","67,034.602","70,595.797","70,239.203","65,122.102","53,344.398","50,247.500","67,779.898","67,306.297"
    Growth (YoY),ENERGY_CONSUMPTION,—,—,-16.420,5.312,-0.505,-7.285,-18.086,-5.805,34.892,-0.699
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,—,—,—,—,—,19.092,4.195,22.023,17.215,15.356
    Growth (YoY),HAZARDOUS_WASTE,—,—,—,—,—,—,-78.027,424.982,-21.832,-10.799
Total Waste,TOTAL_WASTE,—,—,—,—,—,27.098,11.613,28.977,23.110,27.007
    Growth (YoY),TOTAL_WASTE,—,—,—,—,—,—,-57.144,149.522,-20.247,16.863
Waste Recycled,WASTE_RECYCLED,—,—,—,—,—,15.316,3.235,1.727,1.988,3.884
    Growth (YoY),WASTE_RECYCLED,—,—,—,—,—,—,-78.878,-46.615,15.113,95.372
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,—,—,—,—,—,6.254,5.673,5.227,4.021,8.434
    Growth (YoY),WASTE_SENT_TO_LANDFILLS,—,—,—,—,—,—,-9.290,-7.862,-23.073,109.749
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,—,—,—,—,—,"1,164.400","1,146.980","1,194.130","1,630.860","1,391.140"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,—,—,—,—,—,—,-1.496,4.111,36.573,-14.699
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,No,No,No,No,No,No,No,No,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,No,No,No,No,No,No,No,No,Yes
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,—,—,2.570,2.180,2.360,2.480,2.470,3.170,4.100,7.400
    Growth (YoY),COMMUNITY_SPENDING,—,—,—,-15.175,8.257,5.085,-0.403,28.340,29.338,80.488
Number of Customer Complaints,CUSTOMER_COMPLAINTS,—,—,—,65.000,32.000,62.000,34.000,27.000,90.000,30.000
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,25.000,28.000,28.000,37.100,34.000,37.400,37.700,37.900,37.000,40.000
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,25.000,12.000,0.000,32.500,-8.356,10.000,0.802,0.531,-2.375,8.108
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,23.000,22.000,29.000,36.000,42.000,31.000,37.700,—,—,—
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,27.778,-4.348,31.818,24.138,16.667,-26.190,21.613,—,—,—
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,36.000,38.000,39.000,39.000,40.700,42.600,42.800,41.900,42.300,42.400
    Growth (YoY),PCT_WOMEN_EMPLOYEES,5.882,5.556,2.632,0.000,4.359,4.668,0.469,-2.103,0.955,0.236
80%+ Workforce Gender Pay Gap Waterfall,GENDER_PAY_GAP_WATERFALL,—,—,—,—,99.000,—,—,—,—,13.700
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,—,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,0.154,0.124,0.220,0.272,0.390,1.140,0.620,0.360,0.360,0.320
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,22.222,-19.481,77.419,23.636,43.382,192.308,-45.614,-41.935,0.000,-11.111
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,0.352,1.559,1.120,1.040,1.658,2.300,1.480,0.680,0.640,0.440
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,29.412,343.011,-28.178,-7.143,59.423,38.721,-35.652,-54.054,-5.882,-31.250
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"3,067.000","2,988.000","2,989.000","4,592.000","6,629.000","7,644.000","8,127.000","8,381.000","8,790.000","9,115.000"
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,Yes
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,3.000,4.000,3.000,4.000,3.000,4.000,4.000,4.000,4.000,4.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,3.000,4.000,3.000,4.000,3.000,4.000,4.000,4.000,4.000,4.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,4.000,4.000,4.000,4.000,4.000,4.000,5.000,7.000,5.000,4.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,No,No,No,No,No,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,8.000,7.000,7.000,7.000,8.000,7.000,8.000,8.000,9.000,9.000
