,,,,,,,
Arabian Drilling Co (ARABIAND AB) - Overview,,,,,,,
,,,,,,,
In Millions of SAR except Per Share,,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,
BESG ESG Score,ESG_SCORE,—,—,—,2.640,3.490,3.760
    Growth (YoY),ESG_SCORE,—,—,—,—,32.197,7.736
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,—,—,1.440,3.590,3.610
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,—,—,148.360,0.696
BESG Social Pillar Score,SOCIAL_SCORE,—,—,—,5.530,3.930,4.900
    Growth (YoY),SOCIAL_SCORE,—,—,—,—,-28.928,24.709
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,—,—,1.970,2.950,2.920
    Growth (YoY),GOVERNANCE_SCORE,—,—,—,—,50.091,-1.142
,,,,,,,
ESG Disclosure Scores,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,—,—,—,38.055,45.740,46.746
    Growth (YoY),ESG_DISCLOSURE_SCORE,—,—,—,—,20.196,2.199
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,—,—,—,33.102,44.518,42.797
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,—,—,—,—,34.489,-3.867
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,—,—,—,34.462,31.772,29.655
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,—,—,—,—,-7.807,-6.660
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,—,—,—,46.568,60.867,67.700
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,—,—,—,—,30.705,11.227
,,,,,,,
Environmental,,,,,,,
Air Quality,,,,,,,
,,,,,,,
Climate Change,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,n/a,n/a,n/a,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,n/a,n/a,n/a,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,n/a,n/a,n/a,No,No,No
GHG Scope 1,GHG_SCOPE_1,—,—,—,261.511,302.395,367.739
    Growth (YoY),GHG_SCOPE_1,—,—,—,—,15.634,21.609
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,—,—,2.260,3.013,4.132
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,33.319,37.139
,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,n/a,n/a,n/a,No,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,No,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,No,No,No
,,,,,,,
Energy,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,n/a,n/a,n/a,No,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,—,—,—,"1,081.630","1,250.820","1,522.010"
    Growth (YoY),ENERGY_CONSUMPTION,—,—,—,—,15.642,21.681
Electricity Used,ELECTRICITY_USED,—,—,—,3.972,5.296,7.263
    Growth (YoY),ELECTRICITY_USED,—,—,—,—,33.333,37.127
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,—,—,—,862.965,61.805,—
    Growth (YoY),OIL_DIESEL_USED,—,—,—,—,-92.838,—
,,,,,,,
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,—,—,—,2.740,3.170,3.321
