,,,,,,,
Saudi Arabian Oil Co (ARAMCO AB) - Overview,,,,,,,
,,,,,,,
In Millions of SAR except Per Share,,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,
BESG ESG Score,ESG_SCORE,2.310,2.730,3.260,3.330,3.400,—
    Growth (YoY),ESG_SCORE,—,18.182,19.414,2.147,2.102,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,2.230,2.380,2.010,2.220,2.230,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,6.578,-15.635,10.364,0.386,—
BESG Social Pillar Score,SOCIAL_SCORE,1.620,1.940,3.840,3.760,4.180,—
    Growth (YoY),SOCIAL_SCORE,—,20.080,97.962,-1.995,11.150,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,3.240,4.300,5.120,5.040,4.860,—
    Growth (YoY),GOVERNANCE_SCORE,—,32.683,18.999,-1.499,-3.651,—
,,,,,,,
ESG Disclosure Scores,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,34.755,50.257,51.091,54.652,57.187,56.674
    Growth (YoY),ESG_DISCLOSURE_SCORE,—,44.602,1.661,6.970,4.638,-0.897
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,19.601,34.461,35.548,38.931,40.350,40.350
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,—,75.809,3.155,9.516,3.646,0.000
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,16.233,20.012,27.721,28.749,34.946,33.404
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,—,23.277,38.520,3.708,21.556,-4.412
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,68.302,96.117,89.856,96.117,96.117,96.117
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,—,40.723,-6.514,6.968,0.000,0.000
,,,,,,,
Environmental,,,,,,,
Air Quality,,,,,,,
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,202.000,202.000,148.182,141.000,167.000,146.000
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,0.000,-26.643,-4.847,18.440,-12.575
,,,,,,,
Climate Change,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,Yes,Yes,Yes,Yes,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,"45,120.000","50,570.000",—,—,—,—
    Growth (YoY),CO2_SCOPE_1,—,12.079,—,—,—,—
CO2 Scope 2 Location-Based,CO2_SCOPE_2_LOCATION_BASED,"14,640.000","18,900.000",—,—,—,—
    Growth (YoY),CO2_SCOPE_2_LOCATION_BASED,—,29.098,—,—,—,—
GHG Scope 1,GHG_SCOPE_1,"46,560.000","51,970.000","50,200.000","52,300.000","55,700.000","54,400.000"
    Growth (YoY),GHG_SCOPE_1,—,11.619,-3.406,4.183,6.501,-2.334
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,"14,720.000","19,010.000","18,100.000","15,500.000","16,100.000","18,200.000"
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,29.144,-4.787,-14.365,3.871,13.043
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,—,—,—,"10,300.000","13,000.000"
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,26.214
Scope of Disclosure,SCOPE_OF_DISCLOSURE,1.000,1.000,1.000,1.000,1.000,1.000
