,,,,,,,,,,,
Athabasca Oil Corp (ATH CN) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of CAD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,2.330,2.400,2.330,2.750,3.110,3.860,4.730,4.930,4.800
    Growth (YoY),ESG_SCORE,—,—,3.004,-2.917,18.026,13.091,24.116,22.539,4.228,-2.637
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,1.400,1.390,1.240,1.220,1.760,3.090,4.580,4.630,4.570
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,-0.755,-10.908,-1.323,43.567,75.849,48.407,1.087,-1.412
BESG Social Pillar Score,SOCIAL_SCORE,—,1.760,1.640,1.680,2.560,2.640,2.620,3.300,3.700,3.510
    Growth (YoY),SOCIAL_SCORE,—,—,-7.213,2.439,52.571,3.437,-1.090,26.028,12.321,-5.129
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,4.980,5.550,5.560,6.470,6.620,6.930,6.670,6.880,6.680
    Growth (YoY),GOVERNANCE_SCORE,—,—,11.419,0.311,16.278,2.353,4.595,-3.743,3.272,-3.034
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,28.267,42.169,45.770,45.770,45.770,45.770,46.696,47.862,50.418,51.232
    Growth (YoY),ESG_DISCLOSURE_SCORE,7.498,49.181,8.540,0.000,0.000,0.000,2.022,2.499,5.338,1.616
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,2.779,19.420,19.420,19.420,19.420,19.420,22.199,32.347,32.347,32.347
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,0.000,598.913,0.000,0.000,0.000,0.000,14.308,45.714,0.000,0.000
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,6.197,37.787,37.787,37.787,37.787,37.787,37.787,38.815,38.815,41.264
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,0.000,509.756,0.000,0.000,0.000,0.000,0.000,2.720,0.000,6.308
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,75.647,69.205,79.982,79.982,79.982,79.982,79.982,72.336,79.982,79.982
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,8.459,-8.516,15.572,0.000,0.000,0.000,0.000,-9.560,10.570,0.000
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,—,0.385,0.558,0.703,0.988,0.954,0.902,0.762,0.537,0.809
    Growth (YoY),NOX_EMISSIONS,—,—,44.935,25.986,40.541,-3.441,-5.451,-15.521,-29.528,50.652
VOC Emissions,VOC_EMISSIONS,—,0.055,0.052,0.122,0.142,0.155,0.152,0.134,0.145,0.215
    Growth (YoY),VOC_EMISSIONS,—,—,-4.396,134.291,15.781,9.816,-2.379,-11.397,7.435,48.858
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,0.003,0.006,0.398,0.372,0.466,0.453,0.596,0.568,0.590
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,134.615,"6,422.951",-6.434,25.141,-2.790,31.685,-4.846,3.965
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,No,No,Yes,Yes,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,—,210.018,363.028,885.177,926.799,927.255,702.003,783.136,768.632,798.326
    Growth (YoY),CO2_SCOPE_1,—,—,72.856,143.832,4.702,0.049,-24.292,11.557,-1.852,3.863
GHG Scope 1,GHG_SCOPE_1,—,223.528,384.787,920.874,955.243,956.791,720.584,803.751,786.406,811.340
    Growth (YoY),GHG_SCOPE_1,—,—,72.143,139.320,3.732,0.162,-24.687,11.542,-2.158,3.171
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,22.270,41.367,75.120,72.939,73.250,55.245,67.523,64.194,62.894
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,85.752,81.594,-2.903,0.426,-24.580,22.225,-4.930,-2.025
Scope of Disclosure,SCOPE_OF_DISCLOSURE,—,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
    Growth (YoY),SCOPE_OF_DISCLOSURE,—,—,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,—,0.065,0.043,0.050,0.046,0.052,0.047,0.053,0.066,0.060
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,—,—,-33.846,16.279,-8.000,13.043,-9.615,12.766,24.528,-9.091
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,—,"1,129.000",851.000,"1,054.000",645.000,445.000,390.000,346.000,236.000,215.000
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,—,—,-24.624,23.854,-38.805,-31.008,-12.360,-11.282,-31.792,-8.898
Water Consumption,WATER_CONSMPTN,—,—,—,—,—,—,—,293.000,203.000,215.000
    Growth (YoY),WATER_CONSMPTN,—,—,—,—,—,—,—,—,-30.717,5.911
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,No,No,No,No,No,No,No,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,No,No,No,No,No,No,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,No,No,No,No,No,No,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,—,0.091,0.094,0.068,0.085,0.080,0.074,0.099,0.165,0.237
    Growth (YoY),COMMUNITY_SPENDING,—,—,3.694,-28.016,25.202,-6.179,-6.953,33.149,67.462,43.636
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,n/a,No,No,No,No,No,No,No,No,No
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,—,29.000,25.000,29.000,50.000,50.000,25.000,25.000,20.000,17.000
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,—,—,-13.793,16.000,72.414,0.000,-50.000,0.000,-20.000,-15.000
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,26.000,31.000,26.000,23.000,23.000,16.000,17.000,19.000,23.000
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,19.231,-16.129,-11.538,0.000,-30.435,6.250,11.765,21.053
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,—,31.000,29.000,25.000,21.000,21.000,21.000,21.000,20.000,19.000
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,—,-6.452,-13.793,-16.000,0.000,0.000,0.000,-4.762,-5.000
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,—,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Fatalities - Contractors,FATALITIES_CONTRACTORS,—,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Fatalities - Total,FATALITIES_TOTAL,—,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,—,0.000,0.000,0.000,0.000,0.000,0.000,0.700,0.000,0.000
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,—,0.000,0.110,0.110,0.000,0.000,0.000,0.110,0.100,0.120
    Growth (YoY),LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,0.000,—,—,—,—,-9.091,20.000
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,—,0.000,0.110,0.110,0.000,0.000,0.000,0.180,0.080,0.100
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,—,—,—,0.000,—,—,—,—,-55.556,25.000
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,0.000,0.000,0.000,0.000,0.000,0.000,2.110,0.000,0.570
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,—,0.520,0.560,0.280,0.440,0.000,0.110,0.110,0.100,0.250
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,7.692,-50.000,57.143,—,—,0.000,-9.091,150.000
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,—,0.420,0.470,0.240,0.360,0.000,0.090,0.640,0.080,0.310
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,—,—,11.905,-48.936,50.000,—,—,611.111,-87.500,287.500
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,No,No,No,No,No,No,No,No,No,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,278.000,162.000,146.000,235.000,197.000,173.000,140.000,146.000,169.000,170.000
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,—,11.000,6.000,8.000,6.000,14.000,6.000,6.000,7.000,7.000
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,—,—,-45.455,33.333,-25.000,133.333,-57.143,0.000,16.667,0.000
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,No,No,No,No,No
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,No,No,No,No,No,No,No,No,Yes
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,8.000,9.000,10.000,11.000,12.000,13.000,14.000,15.000,16.000,17.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,14.286,12.500,11.111,10.000,9.091,8.333,7.692,7.143,6.667,6.250
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,3.000,3.000,3.000,3.000,4.000,3.000,3.000,3.000,3.000,3.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,3.000,3.000,3.000,3.000,4.000,3.000,3.000,3.000,3.000,3.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,4.000,4.000,4.000,4.000,4.000,5.000,4.000,4.000,4.000,4.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,100.000,—,100.000,100.000,93.330,100.000,100.000,—,100.000,90.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,0.000,—,—,0.000,-6.670,7.147,0.000,—,—,-10.000
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,5.000,8.000,6.000,6.000,7.000,7.000,7.000,7.000,7.000,7.000
