,,,,,,,,,,,
BASF SE (BAS GR) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of EUR except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,3.620,3.690,3.950,4.320,4.600,4.650,4.820,5.060,—
    Growth (YoY),ESG_SCORE,—,—,1.934,7.046,9.367,6.481,1.087,3.656,4.979,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,3.670,3.570,3.990,4.290,4.860,5.110,5.280,5.800,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,-2.705,11.534,7.585,13.357,5.129,3.371,9.773,—
BESG Social Pillar Score,SOCIAL_SCORE,—,2.370,2.310,2.410,2.420,2.410,2.630,2.550,2.540,—
    Growth (YoY),SOCIAL_SCORE,—,—,-2.622,4.070,0.758,-0.746,9.233,-3.152,-0.305,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,4.950,5.520,5.710,6.690,6.820,6.240,6.770,6.840,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,11.572,3.363,17.224,1.880,-8.571,8.638,0.944,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,58.234,65.094,66.140,67.066,68.092,68.092,71.120,70.888,72.095,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,13.688,11.781,1.607,1.399,1.530,0.000,4.447,-0.325,1.703,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,60.888,63.727,63.727,66.113,67.835,67.835,71.217,71.217,77.983,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,0.000,4.663,0.000,3.744,2.604,0.000,4.987,0.000,9.500,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,45.768,47.824,47.824,48.216,49.577,49.577,49.577,49.577,49.577,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,39.668,4.491,0.000,0.822,2.821,0.000,0.000,0.000,0.000,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,68.001,83.654,86.785,86.785,86.785,86.785,92.474,91.782,88.651,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,13.404,23.019,3.742,0.000,0.000,0.000,6.556,-0.749,-3.411,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,11.697,11.058,11.143,11.205,10.712,10.534,10.646,11.088,9.326,8.433
    Growth (YoY),NOX_EMISSIONS,1.264,-5.463,0.769,0.556,-4.400,-1.662,1.063,4.152,-15.891,-9.575
VOC Emissions,VOC_EMISSIONS,4.881,5.140,4.824,4.727,5.022,4.496,4.532,4.817,4.621,4.433
    Growth (YoY),VOC_EMISSIONS,-15.260,5.306,-6.148,-2.011,6.241,-10.474,0.801,6.289,-4.069,-4.068
Carbon Monoxide Emissions,CARBON_MONOXIDE_EMISSIONS,4.635,3.813,3.585,3.644,3.627,3.530,3.731,3.951,3.739,3.450
    Growth (YoY),CARBON_MONOXIDE_EMISSIONS,1.935,-17.735,-5.980,1.646,-0.467,-2.674,5.694,5.897,-5.366,-7.729
Particulate Emissions,PARTICULATE_EMISSIONS,3.465,3.330,3.082,2.354,2.344,2.320,2.000,2.154,2.060,1.763
    Growth (YoY),PARTICULATE_EMISSIONS,-2.174,-3.896,-7.447,-23.621,-0.425,-1.024,-13.793,7.700,-4.364,-14.417
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,4.506,3.028,1.872,1.753,1.825,1.982,1.861,1.908,1.553,1.350
