,,,,,,,,,,,
BP PLC (BP/ LN) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,5.030,5.120,5.110,5.570,5.710,6.200,6.330,6.370,—
    Growth (YoY),ESG_SCORE,—,—,1.789,-0.195,9.002,2.513,8.581,2.097,0.632,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,4.830,4.670,4.750,5.490,5.880,6.800,6.910,7.090,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,-3.255,1.621,15.477,7.143,15.692,1.584,2.682,—
BESG Social Pillar Score,SOCIAL_SCORE,—,3.400,3.730,3.590,4.080,3.650,3.730,3.970,3.670,—
    Growth (YoY),SOCIAL_SCORE,—,—,9.756,-3.571,13.600,-10.498,2.020,6.528,-7.664,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,7.300,7.560,7.520,7.410,7.840,8.050,8.050,8.330,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,3.524,-0.495,-1.558,5.781,2.751,0.019,3.423,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,61.583,61.664,65.024,65.647,65.647,66.231,67.428,68.524,66.824,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,1.864,0.131,5.449,0.959,0.000,0.889,1.807,1.626,-2.481,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,42.374,45.545,45.545,58.200,58.200,59.952,68.559,70.281,65.177,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,8.675,7.484,0.000,27.785,0.000,3.010,14.358,2.511,-7.263,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,52.993,54.021,58.192,47.400,47.400,47.400,47.400,48.972,48.972,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,0.000,1.940,7.722,-18.545,0.000,0.000,0.000,3.316,0.000,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,89.284,85.340,91.240,91.240,91.240,91.240,86.243,86.243,86.243,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.000,-4.417,6.914,0.000,0.000,0.000,-5.477,0.000,0.000,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,130.000,123.000,125.000,122.000,115.000,110.000,79.000,43.000,39.000,39.000
    Growth (YoY),NOX_EMISSIONS,0.000,-5.385,1.626,-2.400,-5.738,-4.348,-28.182,-45.570,-9.302,0.000
VOC Emissions,VOC_EMISSIONS,—,204.000,211.000,196.000,159.000,67.000,56.000,42.000,39.000,38.000
    Growth (YoY),VOC_EMISSIONS,—,—,3.431,-7.109,-18.878,-57.862,-16.418,-25.000,-7.143,-2.564
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,39.000,36.000,36.000,35.000,32.000,23.000,19.000,10.000,10.000,10.000
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,-4.878,-7.692,0.000,-2.778,-8.571,-28.125,-17.391,-47.368,0.000,0.000
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Risks of Climate Change Discussed,CLIMATE_RISKS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,"45,500.000","44,980.000","46,060.000","47,800.000","46,400.000","46,800.000","39,800.000","32,000.000","29,700.000","30,200.000"
    Growth (YoY),CO2_SCOPE_1,-1.087,-1.143,2.401,3.778,-2.929,0.862,-14.957,-19.598,-7.188,1.684
CO2 Scope 2 Location-Based,CO2_SCOPE_2_LOCATION_BASED,"6,600.000",—,—,—,—,—,—,—,—,—
    Growth (YoY),CO2_SCOPE_2_LOCATION_BASED,0.000,—,—,—,—,—,—,—,—,—
GHG Scope 1,GHG_SCOPE_1,"48,600.000","48,910.000","50,100.000","50,500.000","48,800.000","49,200.000","41,700.000","33,200.000","30,400.000","31,100.000"
    Growth (YoY),GHG_SCOPE_1,-1.220,0.638,2.433,0.798,-3.366,0.820,-15.244,-20.384,-8.434,2.303
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,"6,600.000","6,910.000","6,210.000","6,100.000","5,400.000","5,200.000","3,800.000","2,400.000","2,100.000","2,000.000"
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,0.000,4.697,-10.130,-1.771,-11.475,-3.704,-26.923,-36.842,-12.500,-4.762
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,"5,200.000","3,800.000","2,400.000","1,400.000","1,000.000"
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,—,-26.923,-36.842,-41.667,-28.571
GHG Scope 3,GHG_SCOPE_3,"406,000.000","402,000.000","395,000.000","412,000.000","437,000.000","360,600.000","327,600.000","303,600.000","306,700.000",—
    Growth (YoY),GHG_SCOPE_3,-3.791,-0.985,-1.741,4.304,6.068,-17.483,-9.151,-7.326,1.021,—
Scope of Disclosure,SCOPE_OF_DISCLOSURE,3.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,—
    Growth (YoY),SCOPE_OF_DISCLOSURE,0.000,-66.667,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,"221,944.000","188,520.000","210,833.000","206,111.000","209,722.000","211,111.000","180,004.000","128,805.000","121,780.000","124,770.000"
    Growth (YoY),ENERGY_CONSUMPTION,-2.561,-15.060,11.836,-2.240,1.752,0.662,-14.735,-28.443,-5.454,2.455
Renewable Energy Use,RENEW_ENERGY_USE,—,—,—,—,—,—,480.000,"1,170.000","2,340.000",—
    Growth (YoY),RENEW_ENERGY_USE,—,—,—,—,—,—,—,143.750,100.000,—
Electricity Used,ELECTRICITY_USED,—,—,—,—,—,—,"13,480.000","10,130.000","9,490.000",—
    Growth (YoY),ELECTRICITY_USED,—,—,—,—,—,—,—,-24.852,-6.318,—
Self Generated Renewable Electricity,SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,—,—,—,450.000,520.000,80.000,—
    Growth (YoY),SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,—,—,—,—,15.556,-84.615,—
Fuel Used - Coal/Lignite,COAL_USED,—,—,—,—,—,—,—,"1,252.680",—,—
Fuel Used - Natural Gas,NAT_GAS_USED,—,"1,637,550.000","1,963,450.000",—,—,—,"15,356,700.000","10,622,500.000","9,916,550.000",—
    Growth (YoY),NAT_GAS_USED,—,—,19.902,—,—,—,—,-30.828,-6.646,—
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,—,—,—,—,—,—,504.318,413.023,"1,330.140",—
    Growth (YoY),OIL_DIESEL_USED,—,—,—,—,—,—,—,-18.103,222.050,—
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,165.000,157.000,228.000,171.020,182.800,142.600,133.700,156.500,153.600,177.000
    Growth (YoY),HAZARDOUS_WASTE,-13.613,-4.848,45.223,-24.991,6.888,-21.991,-6.241,17.053,-1.853,15.234
Total Waste,TOTAL_WASTE,528.000,423.000,470.000,457.500,424.210,633.700,540.000,526.600,546.800,494.600
    Growth (YoY),TOTAL_WASTE,4.142,-19.886,11.111,-2.660,-7.277,49.384,-14.786,-2.481,3.836,-9.546
Waste Recycled,WASTE_RECYCLED,116.000,117.000,130.000,136.000,112.720,262.800,256.300,253.600,242.100,252.600
    Growth (YoY),WASTE_RECYCLED,2.655,0.862,11.111,4.615,-17.118,133.144,-2.473,-1.053,-4.535,4.337
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,"280,050.000","291,000.000","256,500.000","276,000.000","271,000.000","281,000.000","275,600.000","239,400.000","221,000.000","173,600.000"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,-3.057,3.910,-11.856,7.602,-1.812,3.690,-1.922,-13.135,-7.686,-21.448
Total Water Discharged,TOTAL_WATER_DISCHARGED,"82,880.000","87,000.000","75,000.000","80,000.000","78,000.000","78,000.000","76,000.000","59,000.000","55,000.000","51,000.000"
    Growth (YoY),TOTAL_WATER_DISCHARGED,-3.963,4.971,-13.793,6.667,-2.500,0.000,-2.564,-22.368,-6.780,-7.273
Water Consumption,WATER_CONSMPTN,"93,000.000","91,700.000","84,500.000","88,300.000","85,900.000","90,800.000","75,400.000","53,600.000","51,700.000","47,400.000"
    Growth (YoY),WATER_CONSMPTN,-12.264,-1.398,-7.852,4.497,-2.718,5.704,-16.960,-28.912,-3.545,-8.317
Water per Unit of Production,WATER_PER_UNIT_OF_PROD,419.321,430.654,407.988,430.654,407.988,339.990,339.990,226.660,"1,133.300",906.640
    Growth (YoY),WATER_PER_UNIT_OF_PROD,—,2.703,-5.263,5.556,-5.263,-16.667,0.000,-33.333,400.000,-20.000
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,n/a
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,No,No,No,No,No,No,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,85.000,67.200,61.100,89.500,114.200,83.800,79.600,47.900,86.600,108.700
    Growth (YoY),COMMUNITY_SPENDING,-18.112,-20.941,-9.077,46.481,27.598,-26.620,-5.012,-39.824,80.793,25.520
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,18.000,19.000,22.000,21.000,24.000,25.000,27.000,29.000,33.000,34.000
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,0.000,5.556,15.789,-4.545,14.286,4.167,8.000,7.407,13.793,3.030
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,27.000,28.000,29.000,30.000,31.000,31.000,33.000,36.000,55.000,34.000
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,0.000,3.704,3.571,3.448,3.333,0.000,6.452,9.091,52.778,-38.182
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,31.000,32.000,33.000,34.000,35.000,38.000,39.000,39.000,39.000,41.000
    Growth (YoY),PCT_WOMEN_EMPLOYEES,3.333,3.226,3.125,3.030,2.941,8.571,2.632,0.000,0.000,5.128
Pct Minorities in Management,PCT_MINORITY_MGT,9.000,10.000,11.000,11.000,11.000,14.000,18.000,17.000,18.000,23.000
    Growth (YoY),PCT_MINORITY_MGT,12.500,11.111,10.000,0.000,0.000,27.273,28.571,-5.556,5.882,27.778
80%+ Workforce Gender Pay Gap Waterfall,GENDER_PAY_GAP_WATERFALL,—,—,—,—,—,—,—,19.000,14.900,—
    Growth (YoY),GENDER_PAY_GAP_WATERFALL,—,—,—,—,—,—,—,—,-21.579,—
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
