,,,,,,,,,,
Bangchak Corp PCL (BCP TB) - Overview,,,,,,,,,,
,,,,,,,,,,
In Millions of THB except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,
BESG ESG Score,ESG_SCORE,4.790,5.290,5.640,5.710,5.660,5.770,6.260,6.390,7.080
    Growth (YoY),ESG_SCORE,—,10.438,6.616,1.241,-0.876,1.943,8.492,2.077,10.798
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,4.650,4.630,5.020,5.390,5.320,6.150,7.180,7.380,8.400
    Growth (YoY),ENVIRONMENTAL_SCORE,—,-0.377,8.297,7.339,-1.243,15.537,16.874,2.731,13.864
BESG Social Pillar Score,SOCIAL_SCORE,4.710,6.930,7.100,6.790,7.030,6.180,6.190,6.370,6.920
    Growth (YoY),SOCIAL_SCORE,—,46.973,2.438,-4.322,3.578,-12.172,0.166,2.995,8.557
BESG Governance Pillar Score,GOVERNANCE_SCORE,5.110,4.860,5.300,5.230,4.960,4.790,4.890,4.900,5.240
    Growth (YoY),GOVERNANCE_SCORE,—,-4.911,9.149,-1.406,-5.116,-3.438,2.150,0.103,6.914
,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,62.891,65.959,68.142,68.122,69.369,69.983,70.234,70.345,70.818
    Growth (YoY),ESG_DISCLOSURE_SCORE,—,4.878,3.309,-0.030,1.831,0.885,0.359,0.158,0.672
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,68.257,68.257,69.103,69.586,69.586,71.006,67.623,67.955,69.375
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,—,0.000,1.239,0.699,0.000,2.040,-4.764,0.491,2.089
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,32.950,42.171,47.884,47.340,51.088,51.512,55.653,55.653,55.653
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,—,27.982,13.548,-1.136,7.918,0.828,8.040,0.000,0.000
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,87.357,87.357,87.357,87.357,87.357,87.357,87.357,87.357,87.357
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,—,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,
Environmental,,,,,,,,,,
Air Quality,,,,,,,,,,
