,,,,,,,,,,,
Baytex Energy Corp (BTE CN) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of CAD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,3.860,3.650,3.840,3.920,4.140,4.590,4.420,5.020,—
    Growth (YoY),ESG_SCORE,—,—,-5.440,5.205,2.083,5.612,10.870,-3.704,13.575,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,2.880,2.460,2.560,2.590,3.140,3.850,4.220,4.770,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,-14.591,4.116,1.260,21.176,22.426,9.810,13.013,—
BESG Social Pillar Score,SOCIAL_SCORE,—,2.570,2.660,2.790,3.060,2.570,2.780,1.800,2.800,—
    Growth (YoY),SOCIAL_SCORE,—,—,3.626,4.915,9.662,-15.955,7.883,-35.361,56.169,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,7.490,7.380,7.840,7.760,8.190,8.330,8.350,8.260,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,-1.528,6.293,-1.068,5.510,1.692,0.259,-1.035,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,46.233,51.303,48.888,47.561,52.802,51.947,53.486,52.852,54.632,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,2.498,10.966,-4.706,-2.716,11.019,-1.619,2.963,-1.185,3.369,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,24.706,30.233,20.205,18.786,31.954,31.954,34.914,36.636,38.357,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,15.864,22.372,-33.167,-7.025,70.096,0.000,9.263,4.931,4.699,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,30.834,38.573,41.354,38.785,41.354,38.785,40.447,36.820,40.447,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,0.000,25.098,7.210,-6.213,6.625,-6.213,4.287,-8.969,9.852,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,83.022,84.979,84.979,84.979,84.979,84.979,84.979,84.979,84.979,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.000,2.357,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,5.265,4.318,3.919,3.041,3.558,1.795,1.895,2.343,2.730,—
    Growth (YoY),NOX_EMISSIONS,14.481,-17.987,-9.240,-22.404,17.001,-49.550,5.571,23.641,16.517,—
VOC Emissions,VOC_EMISSIONS,—,—,—,—,—,—,6.597,10.956,5.350,—
    Growth (YoY),VOC_EMISSIONS,—,—,—,—,—,—,—,66.075,-51.168,—
Particulate Emissions,PARTICULATE_EMISSIONS,—,—,—,—,—,—,0.196,0.170,0.177,—
    Growth (YoY),PARTICULATE_EMISSIONS,—,—,—,—,—,—,—,-13.265,4.118,—
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,0.028,0.002,0.034,0.053,0.010,0.626,0.672,0.093,0.182,—
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,-87.330,-92.857,"1,600.000",55.882,-81.132,"6,160.000",7.348,-86.161,95.699,—
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,No,No,No,No,No,No,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,n/a
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,No,No,Yes,Yes,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,—,759.180,—,—,603.122,614.478,623.800,661.466,658.561,—
    Growth (YoY),CO2_SCOPE_1,—,—,—,—,—,1.883,1.517,6.038,-0.439,—
GHG Scope 1,GHG_SCOPE_1,"1,284.090","1,236.120",972.834,805.018,"2,739.890","2,230.160","1,188.230","1,078.280","1,001.010",—
    Growth (YoY),GHG_SCOPE_1,25.821,-3.736,-21.299,-17.250,240.351,-18.604,-46.720,-9.253,-7.166,—
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,45.746,37.829,30.810,50.731,102.703,112.475,89.642,95.395,90.022,—
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,-5.260,-17.306,-18.555,64.658,102.446,9.515,-20.301,6.418,-5.632,—
Scope of Disclosure,SCOPE_OF_DISCLOSURE,1.000,1.000,1.000,—,1.000,1.000,1.000,1.000,1.000,—
    Growth (YoY),SCOPE_OF_DISCLOSURE,0.000,0.000,0.000,—,—,0.000,0.000,0.000,0.000,—
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,—,0.076,0.082,0.070,0.085,0.095,0.061,0.054,0.046,—
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,—,—,7.895,-14.634,21.429,11.765,-35.789,-11.475,-14.815,—
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,No,No,No,No,No,No,No,No,No,n/a
Total Energy Consumption,ENERGY_CONSUMPTION,—,"4,304.780",—,—,"3,284.890","2,796.230","2,487.000","2,730.080","2,660.350",—
    Growth (YoY),ENERGY_CONSUMPTION,—,—,—,—,—,-14.876,-11.059,9.774,-2.554,—
Renewable Energy Use,RENEW_ENERGY_USE,—,—,—,—,0.000,0.000,—,0.000,0.000,—
Electricity Used,ELECTRICITY_USED,—,47.074,—,—,83.930,151.473,127.968,136.498,144.012,—
    Growth (YoY),ELECTRICITY_USED,—,—,—,—,—,80.476,-15.518,6.666,5.505,—
Self Generated Renewable Electricity,SELF_GEN_RENEWABLE_ELECTRICITY,—,0.000,—,—,0.000,0.000,—,0.000,0.000,—
Fuel Used - Coal/Lignite,COAL_USED,—,—,—,—,—,—,—,—,0.000,—
Fuel Used - Natural Gas,NAT_GAS_USED,—,"401,506.000",—,—,"216,828.000","235,054.000","210,184.000","237,683.000","224,043.000",—
    Growth (YoY),NAT_GAS_USED,—,—,—,—,—,8.406,-10.581,13.083,-5.739,—
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,—,1.924,—,—,7.316,4.334,5.397,—,—,—
    Growth (YoY),OIL_DIESEL_USED,—,—,—,—,—,-40.754,24.523,—,—,—
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,No,No,No,No,No,No,No,No,No,n/a
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No,No,No,No,No,No,No,n/a
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,867.000,534.000,337.000,384.000,622.775,916.000,954.226,819.526,914.408,—
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,11.012,-38.408,-36.891,13.947,62.181,47.084,4.173,-14.116,11.578,—
Water per Unit of Production,WATER_PER_UNIT_OF_PROD,40.000,32.000,28.000,31.000,40.000,40.000,54.000,45.000,45.000,—
    Growth (YoY),WATER_PER_UNIT_OF_PROD,—,-20.000,-12.500,10.714,29.032,0.000,35.000,-16.667,0.000,—
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,n/a
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,n/a
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,n/a
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,No,No,No,No,No,No,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,No,No,No,No,No,No,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,No,No,No,No,No,No,No,No,n/a
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Community Spending,COMMUNITY_SPENDING,0.600,0.300,0.200,0.200,0.100,0.900,0.200,0.300,0.700,—
    Growth (YoY),COMMUNITY_SPENDING,20.000,-50.000,-33.333,0.000,-50.000,800.000,-77.778,50.000,133.333,—
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,No,No,No,No,No,No
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,33.000,37.000,39.000,31.000,29.000,24.000,38.000,38.000,—
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,12.121,5.405,-20.513,-6.452,-17.241,58.333,0.000,—
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,40.000,34.000,33.000,41.000,43.000,39.000,38.000,43.000,44.000,—
    Growth (YoY),PCT_WOMEN_EMPLOYEES,-2.439,-15.000,-2.941,24.242,4.878,-9.302,-2.564,13.158,2.326,—
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—,0.000,—
Fatalities - Contractors,FATALITIES_CONTRACTORS,0.000,0.000,0.000,0.000,1.000,0.000,0.000,—,0.000,—
Fatalities - Total,FATALITIES_TOTAL,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,—
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,0.000,0.320,0.200,0.000,0.180,0.420,0.160,0.340,0.000,—
    Growth (YoY),LOST_TIME_INCIDENT_RATE,—,—,-37.500,—,—,133.333,-61.905,112.500,—,—
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,1.230,0.660,0.120,0.280,0.130,0.290,0.210,0.120,0.150,—
    Growth (YoY),LOST_TIME_INCIDENT_RT_CNTRCTR,200.000,-46.341,-81.818,133.333,-53.571,123.077,-27.586,-42.857,25.000,—
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,0.310,0.560,0.150,0.190,0.140,0.330,0.200,0.170,0.120,—
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,-26.190,80.645,-73.214,26.667,-26.316,135.714,-39.394,-15.000,-29.412,—
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,0.000,0.810,1.170,0.190,0.350,0.560,0.160,0.340,0.480,—
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,—,44.444,-83.761,84.211,60.000,-71.429,112.500,41.176,—
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,1.290,1.110,0.120,0.470,0.830,0.780,0.500,0.580,0.600,—
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,-5.147,-13.953,-89.189,291.667,76.596,-6.024,-35.897,16.000,3.448,—
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,0.980,1.010,0.520,0.370,0.700,0.730,0.390,0.520,0.580,—
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,-19.672,3.061,-48.515,-28.846,89.189,4.286,-46.575,33.333,11.538,—
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,No,No,No,No,No,No,Yes,Yes,Yes,n/a
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,n/a
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,294.000,271.000,250.000,230.000,251.000,227.000,206.000,208.000,222.000,158.000
Number of Contractors,NUMBER_OF_CONTRACTORS,—,—,—,—,"1,500.000",—,—,—,—,—
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,—,13.000,6.000,15.000,18.000,14.000,12.000,8.000,6.000,—
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,—,—,-53.846,150.000,20.000,-22.222,-14.286,-33.333,-25.000,—
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,—,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—
Employee Training Cost,EMPLOYEE_TRAINING_COST,0.229,0.087,0.021,—,—,—,—,—,—,—
