,,,,,,,,,,,
Birchcliff Energy Ltd (BIR CN) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of CAD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,2.570,2.820,3.630,3.650,3.660,3.720,4.550,4.330,—
    Growth (YoY),ESG_SCORE,—,—,9.728,28.723,0.551,0.274,1.639,22.312,-4.835,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,1.520,1.820,2.670,2.730,2.750,2.800,4.410,3.980,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,19.569,46.803,2.227,0.540,1.950,57.497,-9.757,—
BESG Social Pillar Score,SOCIAL_SCORE,—,1.540,1.770,2.510,2.490,2.330,2.320,2.540,2.330,—
    Growth (YoY),SOCIAL_SCORE,—,—,14.523,41.897,-0.894,-6.119,-0.828,9.773,-8.296,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,6.200,6.320,6.940,6.930,7.190,7.370,7.290,7.520,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,1.927,9.852,-0.150,3.708,2.563,-1.157,3.133,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,24.977,31.888,37.260,42.813,47.299,47.299,49.733,51.987,48.215,32.723
    Growth (YoY),ESG_DISCLOSURE_SCORE,0.000,27.668,16.845,14.903,10.479,0.000,5.147,4.531,-7.256,-32.130
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,0.332,14.588,14.588,25.612,26.518,26.518,26.518,33.283,25.098,3.111
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,0.000,"4,290.908",0.000,75.569,3.538,0.000,0.000,25.513,-24.592,-87.605
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,5.804,14.873,31.016,31.651,31.651,31.651,32.678,32.678,29.535,11.276
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,0.000,156.250,108.537,2.047,0.000,0.000,3.247,0.000,-9.621,-61.822
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,68.633,66.075,66.075,71.072,83.594,83.594,89.856,89.856,89.856,83.594
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.000,-3.728,0.000,7.563,17.620,0.000,7.490,0.000,0.000,-6.968
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,—,0.216,0.220,0.571,0.633,0.627,0.480,0.403,0.563,—
    Growth (YoY),NOX_EMISSIONS,—,—,1.806,159.636,10.936,-1.023,-23.417,-15.955,39.529,—
VOC Emissions,VOC_EMISSIONS,—,—,—,0.318,0.422,0.506,0.438,0.375,0.536,—
    Growth (YoY),VOC_EMISSIONS,—,—,—,—,32.813,19.951,-13.478,-14.322,43.002,—
Carbon Monoxide Emissions,CARBON_MONOXIDE_EMISSIONS,—,—,—,1.087,1.235,1.245,0.983,0.858,1.122,—
    Growth (YoY),CARBON_MONOXIDE_EMISSIONS,—,—,—,—,13.646,0.791,-21.007,-12.733,30.696,—
Particulate Emissions,PARTICULATE_EMISSIONS,—,—,—,0.015,0.021,0.012,0.005,0.005,0.010,—
    Growth (YoY),PARTICULATE_EMISSIONS,—,—,—,—,39.582,-44.444,-52.174,-10.909,104.082,—
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,0.095,0.060,—,0.158,0.219,0.182,0.185,0.239,—
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,-37.119,—,—,39.302,-17.092,1.759,29.335,—
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ODS Emissions,ODS_EMISSIONS,—,—,—,0.000,0.000,0.000,0.000,0.000,—,—
GHG Scope 1,GHG_SCOPE_1,—,88.356,93.691,281.589,317.805,331.636,322.063,353.192,348.407,—
    Growth (YoY),GHG_SCOPE_1,—,—,6.038,200.551,12.861,4.352,-2.887,9.665,-1.355,—
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,—,—,23.021,30.239,37.691,38.312,34.693,34.416,—
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,31.354,24.644,1.648,-9.446,-0.798,—
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,—,—,—,—,0.002,0.002,0.002,0.002,0.002,—
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,—,—,—,—,—,4.962,-0.675,4.929,0.756,—
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,—,195.069,122.712,726.847,416.713,461.950,472.147,508.874,459.643,—
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,—,—,-37.093,492.319,-42.668,10.856,2.207,7.779,-9.674,—
Water per Unit of Production,WATER_PER_UNIT_OF_PROD,—,102.620,51.310,212.570,—,—,—,—,—,—
    Growth (YoY),WATER_PER_UNIT_OF_PROD,—,—,-50.000,314.286,—,—,—,—,—,—
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,No,No,No,No,No,No,No,No,No,No
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,No,No,No,No,No,No,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,No,No,No,No,No,No,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,No,No,No,No,No,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,—,—,1.581,1.118,1.488,1.665,1.359,1.299,2.269,—
    Growth (YoY),COMMUNITY_SPENDING,—,—,—,-29.323,33.102,11.904,-18.365,-4.453,74.735,—
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,No,No,No,No,No,No,No,No,No,No
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,n/a,No,No,No,No,No,No,No,No,No
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,—,—,0.000,0.000,0.000,0.000,0.000,0.500,—,—
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,3.800,4.000,4.800,4.500,4.800,5.000,—,—
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,5.263,20.000,-6.250,6.667,4.167,—,—
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,—,—,33.000,34.000,32.000,28.000,32.000,32.000,30.000,—
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,—,—,3.030,-5.882,-12.500,14.286,0.000,-6.250,—
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,No,No,No,No,No,No,No,No,No,Yes
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,—,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—
Fatalities - Contractors,FATALITIES_CONTRACTORS,—,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—
Fatalities - Total,FATALITIES_TOTAL,—,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,—,—,0.000,0.000,0.000,0.500,0.480,0.000,0.000,—
    Growth (YoY),LOST_TIME_INCIDENT_RATE,—,—,—,—,—,—,-4.000,—,—,—
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,0.104,0.244,0.200,0.100,0.180,0.286,0.180,—
    Growth (YoY),LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,134.615,-18.033,-50.000,80.000,58.889,-37.063,—
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,—,—,0.104,0.244,0.200,0.160,0.220,0.220,0.160,—
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,—,—,—,134.615,-18.033,-20.000,37.500,0.000,-27.273,—
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,0.000,0.000,0.000,0.000,1.000,0.500,0.000,1.000,—
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,—,—,—,-50.000,—,—,—
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,—,1.910,0.370,0.730,1.100,0.300,0.400,0.430,0.900,—
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,-80.628,97.297,50.685,-72.727,33.333,7.500,109.302,—
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,—,—,0.190,0.730,1.140,0.400,0.400,0.330,0.900,—
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,—,—,—,284.211,56.164,-64.912,0.000,-17.500,172.727,—
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,157.000,162.000,188.000,178.000,191.000,208.000,210.000,205.000,219.000,218.000
Number of Contractors,NUMBER_OF_CONTRACTORS,—,—,—,—,—,—,—,—,—,—
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,4.000,5.000,6.000,7.000,8.000,9.000,10.000,11.000,12.000,13.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,33.333,25.000,20.000,16.667,14.286,12.500,11.111,10.000,9.091,8.333
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,3.000,3.000,4.000,4.000,3.000,3.000,3.000,3.000,3.000,4.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,3.000,3.000,4.000,4.000,3.000,3.000,3.000,3.000,3.000,4.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,5.000,5.000,5.000,5.000,5.000,6.000,6.000,6.000,6.000,6.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,94.400
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,5.887,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-5.600
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,4.000,4.000,5.000,6.000,5.000,5.000,5.000,5.000,5.000,6.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,6.000,6.000,6.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,3.000,3.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000
