,,,,,,,,,,,
Blackrock Inc (BLK US) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,2.380,2.440,2.860,5.370,5.600,5.820,6.240,5.900,5.860
    Growth (YoY),ESG_SCORE,—,—,2.521,17.213,87.762,4.283,3.929,7.216,-5.449,-0.678
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,0.080,0.080,0.330,1.810,2.340,3.260,5.330,4.200,4.200
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,0.000,303.279,445.281,29.333,39.545,63.299,-21.130,-0.035
BESG Social Pillar Score,SOCIAL_SCORE,—,1.610,1.610,2.200,6.180,6.260,6.210,5.680,5.740,5.830
    Growth (YoY),SOCIAL_SCORE,—,—,0.000,35.965,181.570,1.200,-0.786,-8.462,0.977,1.704
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,6.530,6.820,6.820,7.010,7.150,7.150,7.890,7.450,7.150
    Growth (YoY),GOVERNANCE_SCORE,—,—,4.468,0.067,2.723,1.992,-0.028,10.398,-5.531,-3.992
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,31.999,38.920,39.755,49.391,48.204,48.617,48.577,50.397,47.541,48.788
    Growth (YoY),ESG_DISCLOSURE_SCORE,4.638,21.628,2.145,24.241,-2.403,0.856,-0.083,3.748,-5.669,2.624
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,4.259,14.739,14.739,32.739,32.739,28.209,29.055,29.387,25.944,24.555
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,—,246.099,0.000,122.131,0.000,-13.838,2.998,1.143,-11.716,-5.355
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,8.525,10.580,10.580,21.524,17.957,23.730,22.763,27.902,22.763,27.902
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,0.000,24.113,0.000,103.429,-16.573,32.155,-4.076,22.576,-18.418,22.576
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,83.022,91.240,93.739,93.739,93.739,93.739,93.739,93.739,93.739,93.739
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.000,9.898,2.738,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,Yes
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,No,No,No,Yes,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,—,—,—,4.742,4.478,—,—,—,—,—
    Growth (YoY),CO2_SCOPE_1,—,—,—,—,-5.555,—,—,—,—,—
GHG Scope 1,GHG_SCOPE_1,5.756,4.846,4.281,5.061,4.807,6.386,4.090,5.308,6.401,6.689
    Growth (YoY),GHG_SCOPE_1,—,-15.802,-11.669,18.229,-5.025,32.849,-35.954,29.780,20.592,4.499
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,27.409,28.700,26.087,22.135,22.043,21.419,18.753,18.041,21.514,23.500
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,4.711,-9.106,-15.150,-0.415,-2.830,-12.447,-3.797,19.251,9.231
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,27.409,23.716,16.097,6.001,5.603,2.747,1.646,1.611,2.382,1.568
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,-13.475,-32.124,-62.719,-6.643,-50.969,-40.080,-2.126,47.858,-34.173
GHG Scope 3,GHG_SCOPE_3,—,96.165,44.337,49.984,52.975,317.407,234.239,286.380,335.838,332.012
    Growth (YoY),GHG_SCOPE_3,—,—,-53.895,12.736,5.984,499.163,-26.202,22.260,17.270,-1.139
Scope of Disclosure,SCOPE_OF_DISCLOSURE,—,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
    Growth (YoY),SCOPE_OF_DISCLOSURE,—,—,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,No,No,No,No,No,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,—,96.134,88.187,87.877,90.409,93.265,83.106,72.076,—,—
    Growth (YoY),ENERGY_CONSUMPTION,—,—,-8.267,-0.352,2.882,3.159,-10.892,-13.273,—,—
Renewable Energy Use,RENEW_ENERGY_USE,—,—,—,56.889,61.583,70.605,64.225,23.929,—,—
    Growth (YoY),RENEW_ENERGY_USE,—,—,—,—,8.250,14.651,-9.036,-62.742,—,—
Electricity Used,ELECTRICITY_USED,—,75.961,70.823,67.573,71.170,70.605,64.225,65.616,75.760,—
    Growth (YoY),ELECTRICITY_USED,—,—,-6.765,-4.588,5.323,-0.794,-9.036,2.166,15.460,—
Fuel Used - Natural Gas,NAT_GAS_USED,—,339.529,436.943,403.631,399.911,—,—,—,—,—
    Growth (YoY),NAT_GAS_USED,—,—,28.691,-7.624,-0.922,—,—,—,—,—
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,—,1.722,1.334,1.667,1.562,—,—,—,—,—
    Growth (YoY),OIL_DIESEL_USED,—,—,-22.523,24.974,-6.317,—,—,—,—,—
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,No,No,No,No,No,No,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,—,—,—,—,—,—,30.850,13.000,6.750,2.000
    Growth (YoY),COMMUNITY_SPENDING,—,—,—,—,—,—,—,-57.861,-48.077,-70.370
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,n/a,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,—,—,—,27.500,20.000,22.000,23.600,24.000,27.600,29.900
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,—,—,—,—,-27.273,10.000,7.273,1.695,15.000,8.333
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,29.000,29.000,29.707,31.500,32.603,32.576
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,—,0.000,2.437,6.037,3.500,-0.081
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,—,—,—,40.000,41.000,42.000,42.700,43.500,44.000,44.300
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,—,—,—,2.500,2.439,1.667,1.874,1.149,0.682
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"12,200.000","13,000.000","13,000.000","13,191.000","14,900.000","12,992.000","16,500.000","18,400.000","19,800.000","19,800.000"
Number of Contractors,NUMBER_OF_CONTRACTORS,—,—,—,709.000,—,"3,208.000",—,552.000,—,—
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,—,—,—,12.400,—,15.200,—,11.400,—,—
Employee Training Cost,EMPLOYEE_TRAINING_COST,—,—,—,—,—,—,—,—,—,30.294
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,—,—,—,—,—,—,"188,100.000"
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,No,No,No,No,No
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,13.000,14.000,15.000,16.000,17.000,18.000,19.000,20.000,21.000,22.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,8.333,7.692,7.143,6.667,6.250,5.882,5.556,5.263,5.000,4.762
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,7.000,7.000,7.000,6.000,6.000,7.000,7.000,7.000,7.000,7.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,7.000,7.000,7.000,6.000,6.000,7.000,7.000,7.000,7.000,7.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,14.000,14.000,14.000,14.000,14.000,13.000,14.000,15.000,13.000,15.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,75.000,80.000,75.000,75.000,75.000,75.000,75.000,75.000,75.000,75.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,0.000,6.667,-6.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,18.000,19.000,19.000,17.000,18.000,18.000,16.000,18.000,16.000,17.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,13.000,11.000,11.000,10.000,9.000,11.000,11.000,11.000,10.000,10.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,15.000,17.000,17.000,15.000,15.000,15.000,14.000,16.000,14.000,15.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,7.000,7.000,7.000,7.000,7.000,8.000,10.000,7.000,8.000,7.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,75.000,79.360,75.000,75.000,75.000,75.000,75.000,75.000,75.000,75.000
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,0.000,5.813,-5.494,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,5.000,5.000,5.000,7.000,7.000,7.000,6.000,6.000,5.000,5.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,5.000,5.000,5.000,7.000,7.000,7.000,6.000,6.000,5.000,5.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,11.000,9.000,8.000,10.000,9.000,8.000,9.000,8.000,7.000,9.000
