,,,,,,,,,,,
Braskem SA (BRKM3 BZ) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of BRL except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,3.100,3.120,3.730,4.330,3.840,4.120,4.440,4.360,—
    Growth (YoY),ESG_SCORE,—,—,0.645,19.551,16.086,-11.316,7.292,7.767,-1.802,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,2.950,3.460,3.980,4.670,3.940,4.340,4.920,4.540,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,17.288,15.288,17.338,-15.813,10.274,13.276,-7.732,—
BESG Social Pillar Score,SOCIAL_SCORE,—,2.930,1.990,3.110,4.210,4.120,4.120,4.470,4.410,—
    Growth (YoY),SOCIAL_SCORE,—,—,-31.992,55.873,35.600,-2.157,-0.196,8.553,-1.209,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,3.550,3.820,3.950,3.880,3.400,3.780,3.660,4.030,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,7.580,3.550,-1.758,-12.493,11.102,-2.964,10.122,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,60.537,60.497,57.982,62.127,65.607,60.648,61.261,62.056,64.330,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,8.296,-0.066,-4.157,7.148,5.602,-7.559,1.012,1.297,3.663,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,75.053,75.264,73.724,86.892,90.577,77.046,78.134,78.134,80.973,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,6.836,0.282,-2.047,17.862,4.241,-14.938,1.411,0.000,3.634,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,37.969,43.924,40.296,37.183,43.954,44.982,45.738,45.738,49.728,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,21.588,15.685,-8.259,-7.727,18.211,2.338,1.680,0.000,8.724,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,68.543,62.282,59.904,62.282,62.282,59.904,59.904,62.282,62.282,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,3.594,-9.135,-3.818,3.970,0.000,-3.818,0.000,3.970,0.000,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,11.421,9.546,9.651,10.509,10.566,11.529,11.908,11.073,9.543,8.031
    Growth (YoY),NOX_EMISSIONS,-6.054,-16.417,1.100,8.890,0.542,9.114,3.285,-7.011,-13.819,-15.843
VOC Emissions,VOC_EMISSIONS,3.881,3.808,6.139,6.811,9.091,8.753,7.523,6.970,7.008,—
    Growth (YoY),VOC_EMISSIONS,43.369,-1.881,61.213,10.946,33.475,-3.718,-14.047,-7.363,0.555,—
Carbon Monoxide Emissions,CARBON_MONOXIDE_EMISSIONS,3.514,—,—,—,—,—,—,—,—,—
    Growth (YoY),CARBON_MONOXIDE_EMISSIONS,2.989,—,—,—,—,—,—,—,—,—
Particulate Emissions,PARTICULATE_EMISSIONS,1.225,0.911,0.860,0.911,1.381,0.932,0.976,1.504,0.866,0.719
    Growth (YoY),PARTICULATE_EMISSIONS,-20.814,-25.633,-5.598,5.930,51.592,-32.513,4.721,54.137,-42.437,-16.924
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,11.509,4.503,3.137,3.779,4.871,3.982,5.989,6.375,5.265,4.097
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,74.856,-60.874,-30.335,20.465,28.897,-18.251,50.412,6.442,-17.421,-22.172
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,No,No,No,No,No,No
ODS Emissions,ODS_EMISSIONS,0.049,0.055,0.003,0.002,0.003,0.003,0.003,0.003,0.003,—
    Growth (YoY),ODS_EMISSIONS,-73.075,13.786,-94.575,-43.333,70.588,0.000,-10.345,11.538,-4.138,—
CO2 Scope 1,CO2_SCOPE_1,"8,815.740","8,682.300","8,792.640","9,847.600","9,917.920","9,549.380",—,—,"8,506.020","9,135.080"
    Growth (YoY),CO2_SCOPE_1,-5.571,-1.514,1.271,11.998,0.714,-3.716,—,—,—,7.395
CO2 Scope 2 Location-Based,CO2_SCOPE_2_LOCATION_BASED,522.598,494.168,397.523,440.125,344.644,348.887,227.901,458.340,278.193,—
    Growth (YoY),CO2_SCOPE_2_LOCATION_BASED,23.082,-5.440,-19.557,10.717,-21.694,1.231,-34.678,101.114,-39.304,—
GHG Scope 1,GHG_SCOPE_1,"9,384.510","9,140.000","9,253.000","10,183.000","10,214.300","9,750.860","10,021.200","9,987.080","10,104.200","9,316.490"
    Growth (YoY),GHG_SCOPE_1,-3.681,-2.605,1.236,10.051,0.307,-4.537,2.772,-0.340,1.173,-7.796
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,"1,088.370","1,077.000",980.000,"1,073.000",802.590,801.632,765.287,881.089,607.634,819.864
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,24.507,-1.045,-9.006,9.490,-25.201,-0.119,-4.534,15.132,-31.036,34.927
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,—,—,"1,044.290",709.310,801.634,—,—,239.853,553.004
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,—,—,—,-32.077,13.016,—,—,—,130.560
GHG Scope 3,GHG_SCOPE_3,"11,351.400","12,412.300","16,819.199","16,690.900","24,009.100","26,426.301","21,487.100","30,120.699","23,030.000","27,813.199"
    Growth (YoY),GHG_SCOPE_3,-1.581,9.346,35.504,-0.763,43.845,10.068,-18.690,40.180,-23.541,20.769
Scope of Disclosure,SCOPE_OF_DISCLOSURE,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
    Growth (YoY),SCOPE_OF_DISCLOSURE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,—,0.604,0.589,0.573,0.609,0.624,0.669,0.637,0.646,0.625
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,—,—,-2.483,-2.716,6.283,2.463,7.212,-4.783,1.413,-3.251
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,"53,251.801","47,569.398",—,"59,920.500","51,126.801","52,240.102","51,912.500","52,364.500","52,047.699","48,637.602"
    Growth (YoY),ENERGY_CONSUMPTION,0.678,-10.671,—,—,-14.676,2.178,-0.627,0.871,-0.605,-6.552
Renewable Energy Use,RENEW_ENERGY_USE,"3,824.920","3,805.560",—,"4,196.320","2,067.690","3,332.340","3,079.000","2,827.690","3,491.570","3,569.540"
    Growth (YoY),RENEW_ENERGY_USE,-21.350,-0.506,—,—,-50.726,61.162,-7.602,-8.162,23.478,2.233
Electricity Used,ELECTRICITY_USED,"5,410.540","4,281.250",—,"5,535.030","5,058.370","4,335.930","3,841.520","4,032.070","5,827.520","4,446.960"
    Growth (YoY),ELECTRICITY_USED,-4.116,-20.872,—,—,-8.612,-14.282,-11.403,4.960,44.529,-23.690
Self Generated Renewable Electricity,SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Fuel Used - Coal/Lignite,COAL_USED,260.550,—,—,—,227.993,351.665,319.072,337.177,304.680,206.751
    Growth (YoY),COAL_USED,3.848,—,—,—,—,54.244,-9.268,5.674,-9.638,-32.142
Fuel Used - Natural Gas,NAT_GAS_USED,"673,420.000","741,501.000",—,"1,328,560.000","1,031,970.000","1,320,120.000","1,337,870.000","1,186,740.000","1,121,380.000","3,877,170.000"
    Growth (YoY),NAT_GAS_USED,46.740,10.110,—,—,-22.324,27.922,1.345,-11.296,-5.508,245.750
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,—,—,—,262.495,41.965,"2,903.430","2,922.510","3,074.900",290.811,224.398
    Growth (YoY),OIL_DIESEL_USED,—,—,—,—,-84.013,"6,818.694",0.657,5.214,-90.542,-22.837
Energy Per Unit of Production,ENERGY_PER_UNIT_PRODUCTION,2.983,2.914,2.847,2.933,3.039,3.081,3.119,3.000,3.142,—
    Growth (YoY),ENERGY_PER_UNIT_PRODUCTION,0.656,-2.328,-2.288,3.024,3.599,1.371,1.262,-3.829,4.722,—
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,—,—,37.334,—,20.728,18.530,17.349,19.025,23.714,—
    Growth (YoY),HAZARDOUS_WASTE,—,—,—,—,—,-10.604,-6.373,9.660,24.647,—
Total Waste,TOTAL_WASTE,64.968,19.692,53.400,38.652,37.670,37.003,35.893,41.028,50.391,50.816
    Growth (YoY),TOTAL_WASTE,-7.772,-69.690,171.176,-27.618,-2.541,-1.771,-3.000,14.307,22.821,0.843
Waste Recycled,WASTE_RECYCLED,8.168,5.367,7.853,7.634,8.188,28.319,14.705,18.651,13.878,—
    Growth (YoY),WASTE_RECYCLED,-58.868,-34.292,46.320,-2.789,7.257,245.860,-48.073,26.832,-25.591,—
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,21.493,2.804,9.146,8.980,16.889,14.174,11.563,10.873,7.691,—
    Growth (YoY),WASTE_SENT_TO_LANDFILLS,92.728,-86.954,226.177,-1.815,88.073,-16.076,-18.419,-5.970,-29.265,—
Raw Materials Used,RAW_MAT_USED,—,—,—,—,—,—,"19,065.000","19,275.400","18,608.801",—
    Growth (YoY),RAW_MAT_USED,—,—,—,—,—,—,—,1.104,-3.458,—
Pct Recycled Materials,PCT_RECYCLED_MATERIALS,—,—,—,—,—,—,0.030,0.070,0.150,—
    Growth (YoY),PCT_RECYCLED_MATERIALS,—,—,—,—,—,—,—,133.333,114.286,—
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,"77,826.602","66,200.000","72,400.000","76,077.000","75,716.000","83,700.000","71,478.000","81,151.000","80,324.398","77,131.000"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,-5.378,-14.939,9.366,5.079,-0.475,10.545,-14.602,13.533,-1.019,-3.976
Total Water Discharged,TOTAL_WATER_DISCHARGED,"12,457.500",—,"19,856.500","20,267.000","20,981.400","21,922.801","19,672.400","20,479.400","19,966.699","20,401.000"
    Growth (YoY),TOTAL_WATER_DISCHARGED,-37.572,—,—,2.067,3.525,4.487,-10.265,4.102,-2.503,2.175
Water Consumption,WATER_CONSMPTN,—,—,—,"55,810.000","54,734.199","72,400.000","69,341.102","70,745.797","71,216.203","56,730.102"
    Growth (YoY),WATER_CONSMPTN,—,—,—,—,-1.928,32.276,-4.225,2.026,0.665,-20.341
Water per Unit of Production,WATER_PER_UNIT_OF_PROD,"4,160.000","4,050.000","3,930.000","3,980.000","4,280.000","4,310.000","4,310.000","4,190.000","4,300.000",—
    Growth (YoY),WATER_PER_UNIT_OF_PROD,-3.256,-2.644,-2.963,1.272,7.538,0.701,0.000,-2.784,2.625,—
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,No,No,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,No,No,No,No,No,No,No,Yes,n/a
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,No,No,No,No,Yes,Yes,Yes,Yes,n/a
Community Spending,COMMUNITY_SPENDING,14.800,16.400,19.000,19.700,20.785,23.457,32.700,38.528,33.307,5.587
    Growth (YoY),COMMUNITY_SPENDING,111.429,10.811,15.854,3.684,5.506,12.855,39.406,17.821,-13.551,-83.226
,,,,,,,,,,,
