,,,,,,,,,,,,,,,,,,
Brookfield Corp (BN CN) - Overview,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2007,12/31/2008,12/31/2009,12/31/2010,12/31/2011,12/31/2012,12/31/2013,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,—,—,—,—,—,—,—,2.09,2.14,2.30,2.91,2.90,3.54,3.59,4.97,4.99
    Growth (YoY),ESG_SCORE,—,—,—,—,—,—,—,—,—,2.4,7.5,26.5,-0.3,22.1,1.4,38.4,0.4
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,—,—,—,—,—,—,—,0.00,0.00,0.00,0.77,0.76,3.40,3.71,3.74,3.77
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,—,—,—,—,—,—,—,—,—,—,-0.3,345.8,8.9,1.0,0.8
BESG Social Pillar Score,SOCIAL_SCORE,—,—,—,—,—,—,—,—,0.76,0.90,1.24,1.93,1.93,2.01,2.01,4.52,4.52
    Growth (YoY),SOCIAL_SCORE,—,—,—,—,—,—,—,—,—,18.5,37.1,56.2,0.0,3.9,0.0,125.3,0.0
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,—,—,—,—,—,—,—,7.87,7.67,7.39,7.12,7.10,6.93,6.88,6.70,6.76
    Growth (YoY),GOVERNANCE_SCORE,—,—,—,—,—,—,—,—,—,-2.6,-3.7,-3.6,-0.3,-2.4,-0.7,-2.6,0.9
,,,,,,,,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,27.04,27.19,27.19,28.82,28.82,29.04,30.69,30.41,31.17,31.52,39.38,39.65,40.68,43.30,43.58,48.63,47.48
    Growth (YoY),ESG_DISCLOSURE_SCORE,—,0.6,0.0,6.0,0.0,0.8,5.7,-0.9,2.5,1.1,25.0,0.7,2.6,6.4,0.7,11.6,-2.4
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,0.00,0.00,0.00,0.00,0.00,0.00,2.45,1.60,1.93,1.93,20.39,21.20,22.62,22.62,23.47,37.84,34.40
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,—,—,—,—,—,—,—,-34.6,20.8,0.0,954.7,4.0,6.7,0.0,3.7,61.3,-9.1
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,2.78,3.23,3.23,3.23,3.23,6.41,6.41,6.41,6.41,7.44,12.61,12.61,14.27,15.84,15.84,16.63,16.63
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,—,16.3,0.0,0.0,0.0,98.1,0.0,0.0,0.0,16.0,69.5,0.0,13.2,11.0,0.0,5.0,0.0
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,78.15,78.15,78.15,83.02,83.02,80.52,83.02,83.02,84.98,84.98,84.98,84.98,84.98,91.24,91.24,91.24,91.24
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,—,0.0,0.0,6.2,0.0,-3.0,3.1,0.0,2.4,0.0,0.0,0.0,0.0,7.4,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,
Environmental,,,,,,,,,,,,,,,,,,
Air Quality,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Climate Change,,,,,,,,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
GHG Scope 1,GHG_SCOPE_1,—,—,—,—,—,—,—,—,—,—,0.3,0.4,0.4,0.4,0.4,0.5,0.4
    Growth (YoY),GHG_SCOPE_1,—,—,—,—,—,—,—,—,—,—,—,11.4,-3.5,5.3,-3.2,24.4,-20.0
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,—,—,—,—,—,—,1.5,1.5,1.8,1.8,2.1,2.2,2.3
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,—,—,—,—,—,—,—,4.4,18.1,-1.4,18.5,3.6,6.9
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,—,—,—,—,—,—,—,1.9,1.7,2.0,2.0,2.0
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,—,—,—,—,—,—,—,—,-9.1,14.2,-0.5,3.5
GHG Scope 3,GHG_SCOPE_3,—,—,—,—,—,—,—,—,—,—,3.3,4.2,4.5,1.2,2.6,10.9,21.8
    Growth (YoY),GHG_SCOPE_3,—,—,—,—,—,—,—,—,—,—,—,26.2,7.2,-74.3,127.1,313.6,98.8
,,,,,,,,,,,,,,,,,,
Energy,,,,,,,,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,—,—,—,—,—,—,—,—,—,—,5.6,6.2,8.0,8.0,9.5,11.0,10.8
    Growth (YoY),ENERGY_CONSUMPTION,—,—,—,—,—,—,—,—,—,—,—,10.5,30.1,-0.2,19.4,15.8,-1.7
Electricity Used,ELECTRICITY_USED,—,—,—,—,—,—,—,—,—,—,3.2,3.4,4.8,4.3,4.9,5.7,4.6
    Growth (YoY),ELECTRICITY_USED,—,—,—,—,—,—,—,—,—,—,—,6.0,42.1,-10.3,14.4,16.4,-19.0
Fuel Used - Natural Gas,NAT_GAS_USED,—,—,—,—,—,—,—,—,—,—,106.3,123.7,142.3,145.4,198.5,225.4,—
    Growth (YoY),NAT_GAS_USED,—,—,—,—,—,—,—,—,—,—,—,16.3,15.0,2.2,36.5,13.6,—
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,—,—,—,—,—,—,—,—,—,—,0.0,0.0,0.0,0.0,0.0,0.0,—
    Growth (YoY),OIL_DIESEL_USED,—,—,—,—,—,—,—,—,—,—,—,—,—,2.2,33.1,13.6,—
,,,,,,,,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Total Waste,TOTAL_WASTE,—,—,—,—,—,—,—,—,—,—,0.2,0.2,0.3,0.1,0.2,0.2,0.3
    Growth (YoY),TOTAL_WASTE,—,—,—,—,—,—,—,—,—,—,—,8.6,37.7,-62.0,20.8,57.6,24.4
Waste Recycled,WASTE_RECYCLED,—,—,—,—,—,—,—,—,—,—,0.1,0.1,0.2,0.1,0.1,0.1,0.2
    Growth (YoY),WASTE_RECYCLED,—,—,—,—,—,—,—,—,—,—,—,-7.8,40.7,-58.7,20.8,54.5,59.9
,,,,,,,,,,,,,,,,,,
Supply Chain,,,,,,,,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes
,,,,,,,,,,,,,,,,,,
