,,,,,,,,,,
Buckeye Partners LP (BPL US) - Overview,,,,,,,,,,
,,,,,,,,,,
In Millions of USD except Per Share,,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018
12 Months Ending,,12/31/2010,12/31/2011,12/31/2012,12/31/2013,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018
ESG Financial Materiality Scores,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,—,—,—,—,2.570,2.220,2.150,2.530
    Growth (YoY),ESG_SCORE,—,—,—,—,—,—,-13.619,-3.153,17.674
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,—,—,—,—,0.700,0.700,0.700,0.870
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,—,—,—,—,0.000,0.000,23.797
BESG Social Pillar Score,SOCIAL_SCORE,—,—,—,—,—,1.060,0.000,0.000,0.670
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,—,—,—,—,7.840,7.890,7.540,7.690
    Growth (YoY),GOVERNANCE_SCORE,—,—,—,—,—,—,0.606,-4.402,1.937
,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,28.287,30.379,31.586,31.586,31.586,32.512,33.719,33.719,34.252
    Growth (YoY),ESG_DISCLOSURE_SCORE,—,7.397,3.974,0.000,0.000,2.930,3.713,0.000,1.581
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,0.000,0.000,0.000,0.000,0.000,0.483,0.483,0.483,2.084
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,—,—,—,—,—,—,0.000,0.000,331.250
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,7.920,7.920,11.548,11.548,11.548,12.576,16.203,16.203,16.203
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,—,0.000,45.802,0.000,0.000,8.901,28.846,0.000,0.000
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,76.761,83.022,83.022,83.022,83.022,84.287,84.287,84.287,84.287
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,—,8.157,0.000,0.000,0.000,1.523,0.000,0.000,0.000
,,,,,,,,,,
Environmental,,,,,,,,,,
Air Quality,,,,,,,,,,
,,,,,,,,,,
Climate Change,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,No,No,No,No,No,No,No,No,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,No,No,No,No,No,No,No,No,No
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,No,No,No,No,No
,,,,,,,,,,
Energy,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,No,No,No,No,No,No,No,No,Yes
,,,,,,,,,,
Materials & Waste,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,No,No,No,No,No,Yes,Yes,Yes,Yes
,,,,,,,,,,
Supply Chain,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No,No,No,No,No,No,No
,,,,,,,,,,
Water,,,,,,,,,,
Water Policy,WATER_POLICY,No,No,No,No,No,No,No,No,Yes
,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,No,No,No,No,No,No,No,No
,,,,,,,,,,
Social,,,,,,,,,,
Community & Customers,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,No,No,No,No,No,No,No,No,No
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,No,No,No,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes,Yes
,,,,,,,,,,
Diversity,,,,,,,,,,
