,,,,,,,,,,,
Bumi Armada Bhd (BAB MK) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of MYR except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,2.040,2.380,2.320,2.500,3.600,3.770,4.070,4.170,4.530
    Growth (YoY),ESG_SCORE,—,—,16.667,-2.521,7.759,44.000,4.722,7.958,2.457,8.633
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,0.550,0.620,0.770,0.810,2.130,2.150,3.040,3.370,3.370
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,13.539,24.172,4.940,164.043,0.758,41.335,10.907,0.098
BESG Social Pillar Score,SOCIAL_SCORE,—,2.340,2.780,2.160,2.700,4.040,4.140,4.140,4.170,5.080
    Growth (YoY),SOCIAL_SCORE,—,—,19.029,-22.359,25.102,49.265,2.565,0.030,0.581,21.981
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,4.400,5.190,5.380,5.360,5.500,6.010,5.540,5.370,5.690
    Growth (YoY),GOVERNANCE_SCORE,—,—,18.001,3.606,-0.302,2.468,9.450,-7.893,-3.135,6.010
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,30.631,37.894,36.687,38.698,37.833,51.584,53.184,52.580,58.334,57.811
    Growth (YoY),ESG_DISCLOSURE_SCORE,-36.003,23.711,-3.186,5.484,-2.236,36.347,3.101,-1.135,10.943,-0.897
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,4.621,11.719,11.719,12.564,12.564,46.602,43.552,43.552,47.055,47.055
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,-86.472,153.595,0.000,7.216,0.000,270.913,-6.546,0.000,8.044,0.000
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,9.704,23.851,20.224,22.279,19.680,26.935,28.507,26.693,40.478,38.906
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,-69.602,145.794,-15.209,10.164,-11.669,36.866,5.836,-6.363,51.642,-3.883
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,77.393,77.965,77.965,81.096,81.096,81.096,87.357,87.357,87.357,87.357
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.000,0.739,0.000,4.015,0.000,0.000,7.721,0.000,0.000,0.000
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,—,—,—,—,—,3.499,3.867,3.953,3.675,3.621
    Growth (YoY),NOX_EMISSIONS,—,—,—,—,—,—,10.508,2.234,-7.042,-1.478
VOC Emissions,VOC_EMISSIONS,—,—,—,—,—,1.244,1.260,1.215,1.034,1.167
    Growth (YoY),VOC_EMISSIONS,—,—,—,—,—,—,1.238,-3.565,-14.902,12.887
Carbon Monoxide Emissions,CARBON_MONOXIDE_EMISSIONS,—,—,—,—,—,1.612,1.710,1.689,1.692,1.790
    Growth (YoY),CARBON_MONOXIDE_EMISSIONS,—,—,—,—,—,—,6.131,-1.269,0.184,5.804
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,—,—,—,0.192,0.151,0.152,0.156,0.144
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,—,—,—,—,-21.574,0.731,2.704,-7.386
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,No,No,No,No,No,No,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,No,No,No,No,Yes,Yes
GHG Scope 1,GHG_SCOPE_1,—,540.000,497.000,486.000,595.800,66.050,49.270,18.140,12.290,1.850
    Growth (YoY),GHG_SCOPE_1,—,—,-7.963,-2.213,22.593,-88.914,-25.405,-63.182,-32.249,-84.947
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,1.000,0.700,0.650,0.600,0.510,0.400,0.300,0.340,0.400
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,-30.000,-7.143,-7.692,-15.000,-21.569,-25.000,13.333,17.647
GHG Scope 3,GHG_SCOPE_3,—,—,—,—,—,—,—,—,0.675,0.960
    Growth (YoY),GHG_SCOPE_3,—,—,—,—,—,—,—,—,—,42.222
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,No,No,No,No,No,No,No,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,—,"1,044.150",728.754,631.083,452.752,932.701,960.629,800.532,775.034,678.081
    Growth (YoY),ENERGY_CONSUMPTION,—,—,-30.206,-13.402,-28.258,106.007,2.994,-16.666,-3.185,-12.510
Electricity Used,ELECTRICITY_USED,—,1.425,1.016,1.101,0.903,0.797,0.629,0.532,0.536,0.646
    Growth (YoY),ELECTRICITY_USED,—,—,-28.702,8.366,-18.020,-11.722,-21.034,-15.496,0.846,20.440
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,—,96.000,67.000,58.000,41.600,85.800,88.300,76.400,77.400,67.700
    Growth (YoY),OIL_DIESEL_USED,—,—,-30.208,-13.433,-28.276,106.250,2.914,-13.477,1.309,-12.532
Energy Per Unit of Production,ENERGY_PER_UNIT_PRODUCTION,—,—,—,—,—,0.400,0.425,0.425,0.422,0.472
    Growth (YoY),ENERGY_PER_UNIT_PRODUCTION,—,—,—,—,—,—,6.250,0.000,-0.654,11.842
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,No,No,No,No,No,No,No,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,—,—,—,—,—,0.166,0.238,0.280,0.109,0.136
    Growth (YoY),HAZARDOUS_WASTE,—,—,—,—,—,—,42.849,17.922,-61.077,24.565
Total Waste,TOTAL_WASTE,—,—,—,—,—,0.550,0.764,0.783,0.563,0.525
    Growth (YoY),TOTAL_WASTE,—,—,—,—,—,—,38.747,2.461,-28.048,-6.748
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,142.000,126.000,114.000,133.000,119.300,165.400,—,—,—,—
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,-20.935,-11.268,-9.524,16.667,-10.301,38.642,—,—,—,—
Water Consumption,WATER_CONSMPTN,—,—,—,—,—,165.400,151.700,96.100,98.340,88.000
    Growth (YoY),WATER_CONSMPTN,—,—,—,—,—,—,-8.283,-36.651,2.331,-10.515
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,No,No,No,No,No,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,No,No,No,No,No,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,—,—,—,—,—,—,—,—,—,—
    Growth (YoY),COMMUNITY_SPENDING,—,—,—,—,—,—,—,—,—,—
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,No,No,No,No,No,No
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,—,—,—,—,—,—,—,—,—,—
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,—,—,—,—,—,—,—,—,—,—
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,—,28.400,41.000,—,—,—,45.000,43.000,43.000,44.000
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,—,44.366,—,—,—,—,-4.444,0.000,2.326
Pct Disabled in Workforce,PCT_DISABLED_IN_WORKFORCE,—,—,—,—,—,—,—,—,0.000,—
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Political Donations,POLITICAL_DONATIONS,—,—,—,—,—,—,—,—,0.000,0.000
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,0.000,—,—,—,—,0.000,0.000,0.000,0.000,0.000
Fatalities - Contractors,FATALITIES_CONTRACTORS,0.000,—,—,—,—,0.000,0.000,0.000,0.000,0.000
Fatalities - Total,FATALITIES_TOTAL,0.000,—,—,1.000,—,0.000,0.000,0.000,0.000,0.000
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,—,0.054,0.024,0.090,0.120,0.000,0.000,0.110,0.106,0.000
    Growth (YoY),LOST_TIME_INCIDENT_RATE,—,—,-55.556,275.000,33.333,—,—,—,-3.636,—
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,—,0.060,—,0.100,—,—,—,—,—,—
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,0.468,0.146,0.210,0.180,0.300,0.100,0.270,0.316,0.056
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,—,-68.803,43.836,-14.286,66.667,-66.667,170.000,17.037,-82.278
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,—,0.460,—,—,—,0.290,0.090,—,—,—
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,—,—,—,—,—,—,-68.966,—,—,—
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,—,"1,664.000","2,234.000","1,762.000","1,537.000","1,220.000","1,114.000",928.000,879.000,788.000
Number of Contractors,NUMBER_OF_CONTRACTORS,—,—,—,—,—,—,—,—,—,—
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,"13,312.000","20,106.000","18,324.801","23,055.000","23,058.000","20,831.801","30,618.000","30,589.000","33,096.000"
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,51.037,-8.859,25.813,0.013,-9.655,46.977,-0.095,8.196
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,4.000,4.000,4.000,3.000,4.000,3.000,3.000,3.000,3.000,3.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,3.000,3.000,3.000,2.000,3.000,3.000,2.000,2.000,2.000,2.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,8.000,6.000,5.000,5.000,4.000,5.000,8.000,7.000,6.000,5.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,96.420,100.000,100.000,94.730,93.330,100.000,100.000,100.000,100.000,100.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,-3.580,3.713,0.000,-5.270,-1.478,7.147,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
