,,,,,
Cia Brasileira de Aluminio (CBAV3 BZ) - Overview,,,,,
,,,,,
In Millions of BRL except Per Share,,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,
BESG ESG Score,ESG_SCORE,—,6.450,4.340,—
    Growth (YoY),ESG_SCORE,—,—,-32.713,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,6.760,6.420,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,-5.058,—
BESG Social Pillar Score,SOCIAL_SCORE,—,8.190,2.200,—
    Growth (YoY),SOCIAL_SCORE,—,—,-73.169,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,4.010,4.380,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,9.192,—
,,,,,
ESG Disclosure Scores,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,47.651,56.644,49.009,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,—,18.873,-13.479,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,52.764,73.180,62.761,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,—,38.695,-14.239,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,28.416,35.006,24.879,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,—,23.191,-28.929,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,61.710,61.710,59.332,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,—,0.000,-3.854,—
,,,,,
Environmental,,,,,
Air Quality,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,0.325,0.133,—,—
    Growth (YoY),NOX_EMISSIONS,—,-59.077,—,—
VOC Emissions,VOC_EMISSIONS,0.008,—,—,—
Particulate Emissions,PARTICULATE_EMISSIONS,0.938,0.995,—,—
    Growth (YoY),PARTICULATE_EMISSIONS,—,6.077,—,—
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,0.036,0.034,—,—
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,-5.556,—,—
,,,,,
Climate Change,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,862.228,911.808,959.752,916.956
    Growth (YoY),CO2_SCOPE_1,—,5.750,5.258,-4.459
CO2 Scope 2 Location-Based,CO2_SCOPE_2_LOCATION_BASED,340.489,792.546,271.096,242.153
    Growth (YoY),CO2_SCOPE_2_LOCATION_BASED,—,132.767,-65.794,-10.676
GHG Scope 1,GHG_SCOPE_1,"1,063.950","1,158.610","1,357.060","1,358.300"
