,,,,,,,,,,,
CNOOC Ltd (883 HK) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of CNY except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,2.880,3.660,3.810,3.680,3.830,4.060,4.100,4.000,4.590
    Growth (YoY),ESG_SCORE,—,—,27.083,4.098,-3.412,4.076,6.005,0.985,-2.439,14.750
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,1.380,2.830,2.710,2.670,2.830,3.040,2.940,2.930,3.380
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,104.796,-4.108,-1.588,5.983,7.626,-3.344,-0.332,15.268
BESG Social Pillar Score,SOCIAL_SCORE,—,4.310,3.600,4.130,3.770,4.230,4.270,4.630,4.210,5.030
    Growth (YoY),SOCIAL_SCORE,—,—,-16.617,14.865,-8.641,12.101,0.939,8.401,-9.118,19.644
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,4.490,5.310,5.580,5.550,5.320,5.760,5.740,5.840,6.410
    Growth (YoY),GOVERNANCE_SCORE,—,—,18.239,4.943,-0.535,-4.046,8.271,-0.374,1.722,9.833
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,45.418,41.344,51.112,55.900,56.715,56.715,57.047,57.047,58.938,59.793
    Growth (YoY),ESG_DISCLOSURE_SCORE,-1.095,-8.970,23.625,9.368,1.458,0.000,0.585,0.000,3.315,1.451
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,23.195,9.997,27.303,41.679,42.163,42.163,45.545,45.545,47.267,47.267
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,-17.419,-56.901,173.112,52.655,1.159,0.000,8.023,0.000,3.780,0.000
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,29.897,32.678,36.034,36.034,37.999,37.999,37.999,37.999,39.571,42.140
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,12.771,9.302,10.268,0.000,5.453,0.000,0.000,0.000,4.137,6.494
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,83.022,81.216,89.856,89.856,89.856,89.856,87.477,87.477,89.856,89.856
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.000,-2.175,10.638,0.000,0.000,0.000,-2.647,0.000,2.719,0.000
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,—,—,0.199,0.272,0.341,0.331,0.418,0.318,0.179,0.249
    Growth (YoY),NOX_EMISSIONS,—,—,—,36.784,25.386,-3.106,26.338,-23.935,-43.549,38.517
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,0.010,0.008,0.018,0.012,0.029,0.022,0.013,0.024
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,—,-11.579,113.095,-32.961,137.500,-24.211,-40.278,86.047
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
GHG Scope 1,GHG_SCOPE_1,—,—,"6,735.400","7,736.000","7,345.000","8,597.000","9,123.000","9,774.000","9,779.000","10,779.000"
    Growth (YoY),GHG_SCOPE_1,—,—,—,14.856,-5.054,17.046,6.118,7.136,0.051,10.226
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,—,360.295,93.000,135.000,186.000,222.000,531.000,"1,101.000","1,484.000"
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,—,-74.188,45.161,37.778,19.355,139.189,107.345,34.787
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,—,—,0.120,0.141,0.133,0.149,0.147,0.160,0.156,0.163
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,—,—,—,17.417,-5.749,12.425,-1.541,8.639,-2.567,4.627
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,"31,334.199","22,559.900","22,363.400","24,536.699","24,614.400","26,907.400","29,009.600","31,311.301","30,737.000","32,036.600"
    Growth (YoY),ENERGY_CONSUMPTION,88.322,-28.002,-0.871,9.718,0.317,9.316,7.813,7.934,-1.834,4.228
Renewable Energy Use,RENEW_ENERGY_USE,—,—,—,—,—,—,—,—,186.000,500.000
    Growth (YoY),RENEW_ENERGY_USE,—,—,—,—,—,—,—,—,—,168.817
Electricity Used,ELECTRICITY_USED,112.000,146.000,132.000,150.000,203.000,254.000,283.000,636.000,"1,285.000","1,701.000"
    Growth (YoY),ELECTRICITY_USED,37.795,30.357,-9.589,13.636,35.333,25.123,11.417,124.735,102.044,32.374
Fuel Used - Natural Gas,NAT_GAS_USED,"1,552,000.000","1,732,000.000","1,732,000.000","1,766,000.000","1,881,000.000","2,051,000.000","2,228,000.000","2,469,000.000","2,582,000.000","2,617,000.000"
    Growth (YoY),NAT_GAS_USED,23.214,11.598,0.000,1.963,6.512,9.038,8.630,10.817,4.577,1.356
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,321.552,387.092,393.240,407.740,410.060,494.624,516.200,464.348,360.528,408.668
    Growth (YoY),OIL_DIESEL_USED,-4.982,20.382,1.588,3.687,0.569,20.622,4.362,-10.045,-22.358,13.353
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,—,—,20.101,22.326,29.426,45.772,28.011,40.918,50.979,63.727
    Growth (YoY),HAZARDOUS_WASTE,—,—,—,11.069,31.802,55.550,-38.803,46.078,24.588,25.006
Total Waste,TOTAL_WASTE,—,—,34.748,38.816,43.396,61.876,58.714,92.413,124.390,135.111
    Growth (YoY),TOTAL_WASTE,—,—,—,11.707,11.800,42.585,-5.110,57.395,34.602,8.619
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Water Consumption,WATER_CONSMPTN,—,—,"1,879.000","1,813.000","1,859.000","2,137.000","2,120.000","2,127.000","1,986.000","2,106.000"
    Growth (YoY),WATER_CONSMPTN,—,—,—,-3.513,2.537,14.954,-0.796,0.330,-6.629,6.042
Water per Unit of Production,WATER_PER_UNIT_OF_PROD,—,—,—,—,—,—,33.300,33.000,28.400,28.000
    Growth (YoY),WATER_PER_UNIT_OF_PROD,—,—,—,—,—,—,—,-0.901,-13.939,-1.408
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,No,No,No,No,No,No,No,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,No,No,No,No,No,No,No,No,No,No
Community Spending,COMMUNITY_SPENDING,9.100,47.000,34.000,26.510,23.000,64.080,93.300,95.810,96.020,158.000
    Growth (YoY),COMMUNITY_SPENDING,160.000,416.484,-27.660,-22.029,-13.240,178.609,45.599,2.690,0.219,64.549
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,n/a,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,18.000,14.350,16.000,16.000,17.000,17.000
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,—,-20.278,11.498,0.000,6.250,0.000
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,14.610,11.630,12.930,13.670,16.000,15.830,14.000,16.000,17.000,17.000
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,-20.397,11.178,5.723,17.045,-1.063,-11.560,14.286,6.250,0.000
Pct Minorities in Workforce,PCT_MINORITY_EMPLOYEES,—,—,—,—,—,—,—,—,4.000,4.000
    Growth (YoY),PCT_MINORITY_EMPLOYEES,—,—,—,—,—,—,—,—,—,0.000
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,0.000,0.000,3.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
Fatalities - Contractors,FATALITIES_CONTRACTORS,1.000,0.000,2.000,2.000,1.000,1.000,1.000,5.000,2.000,0.000
Fatalities - Total,FATALITIES_TOTAL,1.000,0.000,5.000,2.000,2.000,1.000,1.000,5.000,2.000,0.000
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,0.040,0.010,0.030,0.030,0.050,0.020,0.000,0.080,0.020,0.040
    Growth (YoY),LOST_TIME_INCIDENT_RATE,—,-75.000,200.000,0.000,66.667,-60.000,—,—,-75.000,100.000
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,—,—,—,—,—,—,—
    Growth (YoY),LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,—,—,—,—,—,—,—
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,0.040,0.020,0.040,0.030,0.040,0.030,0.100,0.110,0.050,0.020
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,-33.333,-50.000,100.000,-25.000,33.333,-25.000,233.333,10.000,-54.545,-60.000
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,0.070,0.090,0.060,0.059,0.080,0.080,0.020,0.210,0.020,0.040
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,-36.364,28.571,-33.333,-1.667,35.593,0.000,-75.000,950.000,-90.476,100.000
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,—,—,—,—,—,—,—
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,—,—,—,—,—,—,—
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,0.130,0.110,0.120,0.080,0.080,0.070,0.160,0.180,0.110,0.050
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,-27.778,-15.385,9.091,-33.333,0.000,-12.500,128.571,12.500,-38.889,-54.545
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"21,046.000","20,585.000","19,436.000","19,030.000","18,312.000","18,703.000","18,353.000","19,086.000","21,452.000","21,786.000"
Number of Contractors,NUMBER_OF_CONTRACTORS,—,—,—,—,—,—,—,—,—,207.000
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,—,—,2.500,1.600,1.600,1.150,0.640,0.780,0.610,0.590
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,—,—,—,-36.000,0.000,-28.125,-44.348,21.875,-21.795,-3.279
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,"1,502,340.000","1,151,930.000","920,576.000","1,084,230.000","1,235,640.000","1,492,570.000","2,980,200.000","3,850,250.000","5,420,870.000","5,700,230.000"
