,,,,
China National Petroleum Corp (CNPZ CH) - Overview,,,,
,,,,
In Millions of CNY except Per Share,,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,
BESG ESG Score,ESG_SCORE,1.600,1.600,—
    Growth (YoY),ESG_SCORE,—,0.000,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,0.550,0.510,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,-7.023,—
BESG Social Pillar Score,SOCIAL_SCORE,3.520,3.810,—
    Growth (YoY),SOCIAL_SCORE,—,8.283,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,1.940,1.790,—
    Growth (YoY),GOVERNANCE_SCORE,—,-7.418,—
,,,,
ESG Disclosure Scores,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,25.873,24.917,24.917
    Growth (YoY),ESG_DISCLOSURE_SCORE,—,-3.694,0.000
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,26.246,23.377,23.377
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,—,-10.932,0.000
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,26.723,26.723,26.723
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,—,0.000,0.000
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,24.654,24.654,24.654
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,—,0.000,0.000
,,,,
Environmental,,,,
Air Quality,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,108.000,100.000,97.200
    Growth (YoY),NOX_EMISSIONS,—,-7.407,-2.800
VOC Emissions,VOC_EMISSIONS,70.600,68.200,63.900
    Growth (YoY),VOC_EMISSIONS,—,-3.399,-6.305
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,13.600,—,—
,,,,
Climate Change,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes
