,,,,,,,,,,,
Coterra Energy Inc (CTRA US) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,2.950,3.020,3.020,3.010,4.650,4.680,5.060,5.110,5.270
    Growth (YoY),ESG_SCORE,—,—,2.373,0.000,-0.331,54.485,0.645,8.120,0.988,3.131
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,2.180,2.180,2.160,2.110,4.490,4.470,4.740,4.720,4.860
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,-0.178,-0.850,-2.316,112.638,-0.231,5.926,-0.334,2.902
BESG Social Pillar Score,SOCIAL_SCORE,—,1.210,1.550,1.550,1.550,3.090,3.470,3.810,3.750,3.750
    Growth (YoY),SOCIAL_SCORE,—,—,27.882,0.000,0.000,99.064,12.084,9.953,-1.732,0.072
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,6.990,6.760,6.790,6.870,6.780,6.410,7.050,7.390,7.820
    Growth (YoY),GOVERNANCE_SCORE,—,—,-3.346,0.523,1.146,-1.400,-5.355,9.990,4.800,5.786
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,33.186,34.866,34.866,35.238,35.238,46.927,46.565,46.354,49.915,50.397
    Growth (YoY),ESG_DISCLOSURE_SCORE,0.000,5.062,0.000,1.068,0.000,33.172,-0.772,-0.454,7.682,0.967
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,1.510,1.510,1.510,1.993,1.993,26.457,27.877,28.722,29.055,29.478
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,0.000,0.000,0.000,32.000,0.000,"1,227.273",5.365,3.034,1.157,1.455
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,12.334,15.417,15.417,16.052,16.052,26.693,26.693,27.721,35.580,36.608
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,0.000,25.000,0.000,4.118,0.000,66.290,0.000,3.851,28.353,2.889
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,85.521,87.477,87.477,87.477,87.477,87.477,84.979,82.480,84.979,84.979
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.000,2.288,0.000,0.000,0.000,0.000,-2.856,-2.940,3.029,0.000
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,—,—,—,—,—,1.109,0.839,1.130,86.738,56.549
    Growth (YoY),NOX_EMISSIONS,—,—,—,—,—,—,-24.346,34.684,"7,575.929",-34.805
VOC Emissions,VOC_EMISSIONS,—,—,—,—,—,0.058,0.050,0.060,3.998,3.000
    Growth (YoY),VOC_EMISSIONS,—,—,—,—,—,—,-13.793,20.000,"6,563.333",-24.962
Particulate Emissions,PARTICULATE_EMISSIONS,—,—,—,—,—,0.039,0.032,0.034,1.775,1.539
    Growth (YoY),PARTICULATE_EMISSIONS,—,—,—,—,—,—,-17.949,6.250,"5,120.588",-13.296
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,—,—,—,0.002,0.001,0.001,0.068,0.015
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,—,—,—,—,-50.000,0.000,"6,700.000",-77.941
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,No,No,No,No,No,No,No,No,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
GHG Scope 1,GHG_SCOPE_1,—,—,—,—,—,"2,869.330","1,834.660","1,515.280","1,546.920","1,358.410"
    Growth (YoY),GHG_SCOPE_1,—,—,—,—,—,—,-36.060,-17.408,2.088,-12.186
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,—,—,136.224,96.454,168.643,248.029
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,—,—,—,-29.195,74.843,47.073
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,—,—,—,—,—,0.070,0.047,0.040,0.040,0.040
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,—,—,—,—,—,—,-32.857,-14.894,0.000,0.000
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,No,No,No,No,No,No,No,No,No,Yes
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Plastic Packaging Recycled Content Target Indicatr,PLASTIC_PACK_RECYCL_CONT_TGT_IND,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Plastic Packaging RRC Target Indicator,PLASTIC_PACK_RRC_TARGET_IND,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,—,—,—,—,—,"6,117.000","4,169.000","4,498.000","5,555.000","7,082.000"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,—,—,—,—,—,—,-31.846,7.892,23.499,27.489
Total Water Discharged,TOTAL_WATER_DISCHARGED,—,—,—,—,—,0.000,0.000,0.000,0.000,0.000
Water Consumption,WATER_CONSMPTN,—,—,—,—,—,"5,632.000","3,731.000","4,065.000","5,150.000","6,031.000"
    Growth (YoY),WATER_CONSMPTN,—,—,—,—,—,—,-33.754,8.952,26.691,17.107
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,No,No,No,No,No,No,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,No,No,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,No,No,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,No,No,No,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,No,No,No,No,No
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,No,No,No,No,No,No,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,n/a,No,No,No,No,No,No,No,No,No
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,—,—,—,—,—,—,—,—,0.000,15.000
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,—,—,—,—,18.990,16.090
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,—,—,—,—,—,-15.271
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,—,—,—,—,—,—,—,—,23.920,20.890
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,—,—,—,—,—,—,—,—,-12.667
Pct Minorities in Management,PCT_MINORITY_MGT,—,—,—,—,—,—,—,—,18.390,5.000
    Growth (YoY),PCT_MINORITY_MGT,—,—,—,—,—,—,—,—,—,-72.811
Pct Minorities in Workforce,PCT_MINORITY_EMPLOYEES,—,—,—,—,—,—,—,—,37.330,10.680
    Growth (YoY),PCT_MINORITY_EMPLOYEES,—,—,—,—,—,—,—,—,—,-71.390
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,—,—,—,—,—,0.000,0.000,0.000,0.000,0.000
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,—,—,—,—,—,0.460,0.340,0.100,0.230,0.340
    Growth (YoY),LOST_TIME_INCIDENT_RATE,—,—,—,—,—,—,-26.087,-70.588,130.000,47.826
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,—,—,0.100,0.250,0.270,0.190,0.140
    Growth (YoY),LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,—,—,—,150.000,8.000,-29.630,-26.316
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,—,—,—,—,—,0.150,0.270,0.240,0.190,0.160
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,—,—,—,—,—,—,80.000,-11.111,-20.833,-15.789
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,—,—,0.700,0.690,0.300,0.560,0.450
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,—,—,—,-1.429,-56.522,86.667,-19.643
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,—,—,0.590,0.370,0.440,0.390,0.230
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,—,—,—,-37.288,18.919,-11.364,-41.026
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,—,—,—,—,—,0.610,0.420,0.420,0.400,0.240
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,—,—,—,—,—,—,-31.148,0.000,-4.762,-40.000
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,691.000,624.000,576.000,468.000,483.000,547.000,503.000,936.000,"1,208.000","1,067.000"
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,No,No,No,No,No
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,26.000,27.000,28.000,29.000,30.000,31.000,32.000,33.000,34.000,35.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,4.000,3.846,3.704,3.571,3.448,3.333,3.226,3.125,3.030,2.941
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,3.000,3.000,4.000,4.000,4.000,5.000,5.000,4.000,4.000,4.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,3.000,3.000,4.000,4.000,4.000,5.000,5.000,4.000,4.000,4.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,100.000,75.000,100.000,100.000,100.000,75.000,75.000,75.000,75.000,75.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,0.000,-25.000,33.333,0.000,0.000,-25.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,7.000,7.000,6.000,8.000,9.000,9.000,9.000,10.000,10.000,10.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,11.000,10.000,10.000,11.000,12.000,12.000,12.000,11.000,10.000,10.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,6.000,6.000,5.000,7.000,8.000,8.000,8.000,8.000,8.000,9.000
