,,,,,,,,,,,
Canadian Natural Resources Ltd (CNQ CN) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of CAD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,3.210,3.100,3.330,4.310,4.520,4.470,4.820,4.890,—
    Growth (YoY),ESG_SCORE,—,—,-3.427,7.419,29.429,4.872,-1.106,7.830,1.452,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,1.500,1.460,1.910,3.510,3.920,3.920,4.410,4.370,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,-2.544,31.036,83.750,11.758,-0.008,12.305,-0.959,—
BESG Social Pillar Score,SOCIAL_SCORE,—,3.330,3.360,3.300,3.780,3.810,3.410,3.680,4.350,—
    Growth (YoY),SOCIAL_SCORE,—,—,0.659,-1.511,14.436,0.786,-10.483,7.818,18.183,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,6.890,6.440,6.340,6.420,6.410,6.690,6.890,6.420,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,-6.510,-1.560,1.168,-0.045,4.288,2.956,-6.790,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,40.579,42.119,43.487,48.124,53.345,53.345,57.791,57.690,58.837,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,-2.395,3.793,3.248,10.664,10.849,0.000,8.335,-0.174,1.988,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,21.474,14.799,17.095,31.018,37.632,37.632,50.982,50.680,54.123,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,0.000,-31.083,15.510,81.449,21.324,0.000,35.474,-0.592,6.794,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,22.884,23.912,25.726,25.726,28.507,28.507,28.507,28.507,28.507,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,30.293,4.491,7.585,0.000,10.811,0.000,0.000,0.000,0.000,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,77.243,87.477,87.477,87.477,93.739,93.739,93.739,93.739,93.739,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,-9.680,13.250,0.000,0.000,7.158,0.000,0.000,0.000,0.000,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,53.060,—,—,68.393,72.114,66.633,64.959,69.662,70.623,—
    Growth (YoY),NOX_EMISSIONS,75.469,—,—,—,5.441,-7.600,-2.512,7.240,1.380,—
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,8.820,—,—,9.207,9.661,12.280,15.426,14.064,16.309,—
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,-15.638,—,—,—,4.931,27.109,25.619,-8.829,15.963,—
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,n/a
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,—,—,—,—,"16,635.600","17,002.699","18,047.199","19,981.900","20,069.100",—
    Growth (YoY),CO2_SCOPE_1,—,—,—,—,—,2.207,6.143,10.720,0.436,—
GHG Scope 1,GHG_SCOPE_1,"19,470.000","19,780.000","18,780.000","21,030.000","21,970.000","22,120.000","23,810.000","23,150.000","23,243.100",—
    Growth (YoY),GHG_SCOPE_1,9.814,1.592,-5.056,11.981,4.470,0.683,7.640,-2.772,0.402,—
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,"1,697.000","1,768.000","1,790.000","2,690.000","3,130.000","3,090.000","3,220.000","3,260.000","3,092.650",—
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,35.327,4.184,1.244,50.279,16.357,-1.278,4.207,1.242,-5.133,—
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,—,0.000,0.000,0.000,—
GHG Scope 3,GHG_SCOPE_3,—,—,—,—,—,—,—,"132,000.000","124,114.000",—
    Growth (YoY),GHG_SCOPE_3,—,—,—,—,—,—,—,—,-5.974,—
Scope of Disclosure,SCOPE_OF_DISCLOSURE,1.000,—,—,—,1.000,1.000,1.000,1.000,1.000,—
    Growth (YoY),SCOPE_OF_DISCLOSURE,0.000,—,—,—,—,0.000,0.000,0.000,0.000,—
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,—,—,—,0.058,0.396,0.396,0.410,0.374,0.366,—
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,—,—,—,—,582.448,0.000,3.704,-8.929,-1.961,—
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,—,—,—,—,"95,643.500","88,669.297","94,247.102","99,264.703","95,429.000",—
    Growth (YoY),ENERGY_CONSUMPTION,—,—,—,—,—,-7.292,6.291,5.324,-3.864,—
Renewable Energy Use,RENEW_ENERGY_USE,—,—,—,—,204.834,183.106,183.687,184.949,193.733,—
    Growth (YoY),RENEW_ENERGY_USE,—,—,—,—,—,-10.608,0.317,0.687,4.749,—
Electricity Used,ELECTRICITY_USED,"2,499.000","2,863.000","2,890.000","3,700.000","4,752.150","4,430.540","4,576.630","4,817.940","3,805.980",—
    Growth (YoY),ELECTRICITY_USED,37.762,14.566,0.943,28.028,28.436,-6.768,3.297,5.273,-21.004,—
Self Generated Renewable Electricity,SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,—,—,—,0.000,0.000,0.000,—
Fuel Used - Coal/Lignite,COAL_USED,—,—,—,—,—,—,—,—,0.000,—
Fuel Used - Natural Gas,NAT_GAS_USED,—,—,—,—,—,—,"7,300,640.000","7,927,550.000","7,863,630.000",—
    Growth (YoY),NAT_GAS_USED,—,—,—,—,—,—,—,8.587,-0.806,—
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,—,—,—,—,—,—,340.810,—,0.000,—
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Hazardous Waste,HAZARDOUS_WASTE,52.076,57.924,63.195,55.240,78.660,81.360,79.280,120.580,80.000,—
    Growth (YoY),HAZARDOUS_WASTE,-32.359,11.230,9.100,-12.588,42.397,3.432,-2.557,52.094,-33.654,—
Total Waste,TOTAL_WASTE,989.437,"1,839.020","1,872.910","1,517.380","1,538.370","1,370.810","1,079.390","1,421.000","1,479.000",—
    Growth (YoY),TOTAL_WASTE,23.539,85.865,1.843,-18.983,1.383,-10.892,-21.259,31.648,4.082,—
Waste Recycled,WASTE_RECYCLED,—,—,18.990,44.700,63.410,40.340,37.040,38.410,28.300,—
    Growth (YoY),WASTE_RECYCLED,—,—,—,135.387,41.857,-36.382,-8.180,3.699,-26.321,—
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No,No,No,No,No,No,No,n/a
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,"38,210.199","38,612.500","34,779.699","87,100.000","96,700.000","83,200.000","100,900.000","84,700.000","86,742.000",—
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,14.683,1.053,-9.926,150.433,11.022,-13.961,21.274,-16.056,2.411,—
Total Water Discharged,TOTAL_WATER_DISCHARGED,—,—,—,"22,000.000","19,400.000","26,300.000","31,200.000","27,500.000","15,963.000",—
    Growth (YoY),TOTAL_WATER_DISCHARGED,—,—,—,—,-11.818,35.567,18.631,-11.859,-41.953,—
Water Consumption,WATER_CONSMPTN,—,—,—,"86,700.000","90,400.000","82,800.000","75,522.398","75,600.000","70,806.000",—
    Growth (YoY),WATER_CONSMPTN,—,—,—,—,4.268,-8.407,-8.789,0.103,-6.341,—
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,n/a
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,n/a
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,n/a
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,No,No,No,No,No,No,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,10.600,8.300,9.100,12.400,15.300,25.000,25.000,31.000,30.000,—
    Growth (YoY),COMMUNITY_SPENDING,—,-21.698,9.639,36.264,23.387,63.399,0.000,24.000,-3.226,—
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—
Fatalities - Contractors,FATALITIES_CONTRACTORS,0.000,0.000,0.000,0.000,0.000,0.000,2.000,2.000,0.000,—
Fatalities - Total,FATALITIES_TOTAL,1.000,0.000,0.000,0.000,0.000,0.000,2.000,2.000,0.000,—
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,—,—,—,—,—,—,—,—,—,—
    Growth (YoY),LOST_TIME_INCIDENT_RATE,—,—,—,—,—,—,—,—,—,—
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,—,—,0.060,0.070,0.060,0.040,0.030,0.020,0.010,—
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,—,—,—,16.667,-14.286,-33.333,-25.000,-33.333,-50.000,—
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,—,—,—,—,—,—,—
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,—,—,—,—,—,—,—
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,0.730,0.570,0.500,0.430,0.350,0.280,0.210,0.180,0.170,—
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,—,-21.918,-12.281,-14.000,-18.605,-20.000,-25.000,-14.286,-5.556,—
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"7,657.000","7,568.000","7,270.000","9,973.000","9,709.000","10,180.000","9,993.000","9,735.000","10,035.000","10,272.000"
Employee Training Cost,EMPLOYEE_TRAINING_COST,24.000,14.000,10.000,10.000,14.000,12.000,8.000,8.000,10.000,—
    Growth (YoY),EMPLOYEE_TRAINING_COST,—,-41.667,-28.571,0.000,40.000,-14.286,-33.333,0.000,25.000,—
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,No,No,No,No,No,No,No,No,Yes
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,42.000,43.000,44.000,45.000,46.000,47.000,48.000,49.000,50.000,51.000
