,,,,,,,,,,,
Cenovus Energy Inc (CVE CN) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of CAD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,4.740,4.860,4.770,4.700,5.740,5.590,5.140,5.190,3.760
    Growth (YoY),ESG_SCORE,—,—,2.532,-1.852,-1.468,22.128,-2.613,-8.050,0.973,-27.553
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,4.400,4.670,4.720,4.510,5.120,5.030,4.390,4.310,1.560
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,6.052,1.066,-4.417,13.567,-1.893,-12.609,-1.844,-63.829
BESG Social Pillar Score,SOCIAL_SCORE,—,3.140,3.320,2.750,2.490,5.000,4.750,4.520,4.580,5.210
    Growth (YoY),SOCIAL_SCORE,—,—,5.838,-17.241,-9.413,100.703,-5.067,-4.830,1.308,13.789
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,7.290,6.990,7.300,7.840,7.680,7.540,7.230,7.520,7.050
    Growth (YoY),GOVERNANCE_SCORE,—,—,-4.021,4.398,7.357,-1.988,-1.783,-4.178,3.980,-6.163
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,61.604,63.384,64.239,64.581,64.581,53.234,57.882,62.801,59.079,50.538
    Growth (YoY),ESG_DISCLOSURE_SCORE,12.677,2.890,1.349,0.532,0.000,-17.570,8.730,8.498,-5.927,-14.456
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,45.032,48.414,48.414,48.414,48.414,30.957,43.612,43.612,43.612,17.970
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,30.332,7.512,0.000,0.000,0.000,-36.057,40.878,0.000,0.000,-58.795
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,50.393,50.393,52.963,53.990,53.990,37.364,38.664,53.446,42.261,42.261
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,25.811,0.000,5.099,1.941,0.000,-30.795,3.479,38.233,-20.928,0.000
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,89.284,91.240,91.240,91.240,91.240,91.240,91.240,91.240,91.240,91.240
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.000,2.192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,8.060,7.770,7.924,12.078,9.285,8.991,9.552,16.535,16.852,—
    Growth (YoY),NOX_EMISSIONS,-10.155,-3.598,1.982,52.423,-23.125,-3.166,6.240,73.105,1.917,—
VOC Emissions,VOC_EMISSIONS,2.446,5.088,2.306,4.688,3.224,2.802,5.783,8.004,7.400,—
    Growth (YoY),VOC_EMISSIONS,374.031,108.013,-54.678,103.296,-31.229,-13.089,106.388,38.406,-7.546,—
Particulate Emissions,PARTICULATE_EMISSIONS,0.081,0.073,0.097,0.113,0.189,0.193,0.247,0.713,0.716,—
    Growth (YoY),PARTICULATE_EMISSIONS,-28.319,-9.877,32.877,16.495,67.257,2.116,27.979,188.664,0.421,—
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,3.127,3.167,2.572,2.779,1.935,4.179,4.791,9.125,12.308,—
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,51.502,1.279,-18.787,8.048,-30.371,115.969,14.645,90.461,34.882,—
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,"5,079.000","5,398.000","6,086.000","7,458.000","7,617.000",—,—,—,—,—
    Growth (YoY),CO2_SCOPE_1,13.828,6.281,12.745,22.544,2.132,—,—,—,—,—
GHG Scope 1,GHG_SCOPE_1,"5,564.500","5,944.920","6,540.000","8,411.000","8,600.000","8,600.000","8,700.000","17,600.000","16,300.000",—
    Growth (YoY),GHG_SCOPE_1,12.418,6.837,10.010,28.609,2.247,0.000,1.163,102.299,-7.386,—
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,"1,378.650","1,292.690","1,250.000","1,042.000",400.000,200.000,200.000,"1,800.000","1,800.000",—
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,38.357,-6.235,-3.302,-16.640,-61.612,-50.000,0.000,800.000,0.000,—
GHG Scope 3,GHG_SCOPE_3,—,—,—,—,—,"213,300.000","210,200.000","217,800.000","234,400.000",—
    Growth (YoY),GHG_SCOPE_3,—,—,—,—,—,—,-1.453,3.616,7.622,—
Scope of Disclosure,SCOPE_OF_DISCLOSURE,1.000,—,—,—,—,—,—,—,—,—
    Growth (YoY),SCOPE_OF_DISCLOSURE,0.000,—,—,—,—,—,—,—,—,—
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,—,0.280,0.300,0.280,0.330,0.340,0.330,0.387,0.374,—
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,—,—,7.143,-6.667,17.857,3.030,-2.941,17.273,-3.411,—
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,"32,999.699","29,361.100","31,411.000","37,511.102","40,606.102","40,883.301","42,500.000","87,777.797","85,555.602",—
    Growth (YoY),ENERGY_CONSUMPTION,30.948,-11.026,6.982,19.420,8.251,0.683,3.954,106.536,-2.532,—
Energy Per Unit of Production,ENERGY_PER_UNIT_PRODUCTION,1.361,1.189,1.222,1.139,1.389,1.575,—,—,—,—
    Growth (YoY),ENERGY_PER_UNIT_PRODUCTION,16.666,-12.653,2.803,-6.818,21.951,13.400,—,—,—,—
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,232.626,104.988,165.271,21.523,115.860,—,—,—,—,—
    Growth (YoY),HAZARDOUS_WASTE,-32.713,-54.868,57.419,-86.977,438.308,—,—,—,—,—
Total Waste,TOTAL_WASTE,924.683,461.427,421.551,678.668,474.805,—,—,—,—,—
    Growth (YoY),TOTAL_WASTE,-40.047,-50.099,-8.642,60.993,-30.039,—,—,—,—,—
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No,No,No,No,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,"15,966.900","14,067.900","13,888.900","15,185.300","12,310.000","3,147.000","3,450.000","34,738.000","37,567.000",—
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,-1.970,-11.893,-1.272,9.334,-18.935,-74.435,9.628,906.899,8.144,—
Water Consumption,WATER_CONSMPTN,—,"2,756.000","2,638.000","2,349.000","2,611.000","3,019.000","3,352.000","33,302.000","36,070.000",—
    Growth (YoY),WATER_CONSMPTN,—,—,-4.282,-10.955,11.154,15.626,11.030,893.496,8.312,—
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,No,No,No,No,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,No,No,No,No,No,No,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,14.049,8.810,6.381,8.834,6.020,6.620,8.730,19.250,28.230,53.430
    Growth (YoY),COMMUNITY_SPENDING,-10.630,-37.296,-27.563,38.434,-31.854,9.967,31.873,120.504,46.649,89.267
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,No,No,No,No,No,No
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,19.000,18.000,22.000,13.000,20.000,19.000,19.000,21.000,19.000,25.000
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,—,-5.263,22.222,-40.909,53.846,-5.000,0.000,10.526,-9.524,31.579
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,27.000,26.000,25.000,23.000,23.000,21.000,—,—,—,—
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,-3.704,-3.846,-8.000,0.000,-8.696,—,—,—,—
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,30.000,28.000,27.000,29.111,28.130,29.000,29.000,29.000,28.000,27.000
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,-6.667,-3.571,7.819,-3.370,3.093,0.000,0.000,-3.448,-3.571
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Political Donations,POLITICAL_DONATIONS,0.131,0.062,0.015,0.000,0.000,—,—,0.000,—,—
    Growth (YoY),POLITICAL_DONATIONS,30.576,-52.672,-76.290,—,—,—,—,—,—,—
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Fatalities - Contractors,FATALITIES_CONTRACTORS,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
Fatalities - Total,FATALITIES_TOTAL,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,0.030,0.060,0.000,0.030,0.000,—,0.000,0.010,0.010,0.070
    Growth (YoY),LOST_TIME_INCIDENT_RATE,-66.667,100.000,—,—,—,—,—,—,0.000,600.000
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,0.060,0.060,0.070,0.070,0.040,—,0.030,0.030,0.060,0.030
    Growth (YoY),LOST_TIME_INCIDENT_RT_CNTRCTR,-25.000,0.000,16.667,0.000,-42.857,—,—,0.000,100.000,-50.000
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,0.060,0.060,0.050,0.060,0.030,—,0.020,0.030,0.050,0.040
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,-25.000,0.000,-16.667,20.000,-50.000,—,—,50.000,66.667,-20.000
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,0.140,0.140,0.180,0.150,0.180,0.150,0.330,0.170,0.140,0.310
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,-63.158,0.000,28.571,-16.667,20.000,-16.667,120.000,-48.485,-17.647,121.429
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,0.750,0.460,0.500,0.430,0.260,0.350,0.220,0.330,0.320,0.320
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,-14.773,-38.667,8.696,-14.000,-39.535,34.615,-37.143,50.000,-3.030,0.000
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,0.650,0.390,0.420,0.360,0.240,0.300,0.250,0.290,0.280,0.320
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,-18.750,-40.000,7.692,-14.286,-33.333,25.000,-16.667,16.000,-3.448,14.286
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
