,,,,,,,,,,,
Chevron Corp (CVX US) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,5.010,5.130,5.130,5.330,5.250,5.170,5.250,5.360,5.470
    Growth (YoY),ESG_SCORE,—,—,2.395,0.000,3.899,-1.501,-1.524,1.547,2.095,2.052
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,4.660,4.710,4.890,4.980,4.950,5.030,5.100,5.330,5.410
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,1.119,3.708,1.976,-0.716,1.630,1.435,4.516,1.466
BESG Social Pillar Score,SOCIAL_SCORE,—,3.310,3.200,3.050,3.600,3.410,3.100,3.070,3.000,3.170
    Growth (YoY),SOCIAL_SCORE,—,—,-3.490,-4.633,18.129,-5.445,-8.840,-1.230,-2.216,5.816
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,7.700,8.300,8.150,8.000,8.020,7.920,8.190,8.320,8.390
    Growth (YoY),GOVERNANCE_SCORE,—,—,7.682,-1.702,-1.838,0.200,-1.244,3.370,1.654,0.760
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,60.004,57.610,58.787,61.543,61.543,61.835,61.835,61.835,61.835,62.308
    Growth (YoY),ESG_DISCLOSURE_SCORE,18.025,-3.990,2.043,4.689,0.000,0.474,0.000,0.000,0.000,0.765
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,42.223,27.847,30.686,45.062,45.062,45.545,45.545,45.545,45.545,46.965
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,51.627,-34.049,10.195,46.850,0.000,1.072,0.000,0.000,0.000,3.117
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,50.786,51.814,51.814,45.707,45.707,46.100,46.100,46.100,46.100,46.100
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,44.082,2.024,0.000,-11.785,0.000,0.860,0.000,0.000,0.000,0.000
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,86.906,93.046,93.739,93.739,93.739,93.739,93.739,93.739,93.739,93.739
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,-2.664,7.066,0.744,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,139.000,148.000,148.000,147.000,141.000,130.000,112.000,113.000,106.000,103.000
    Growth (YoY),NOX_EMISSIONS,-5.442,6.475,0.000,-0.676,-4.082,-7.801,-13.846,0.893,-6.195,-2.830
VOC Emissions,VOC_EMISSIONS,135.000,144.000,150.000,142.000,115.000,102.000,81.000,91.000,63.000,57.000
    Growth (YoY),VOC_EMISSIONS,-8.163,6.667,4.167,-5.333,-19.014,-11.304,-20.588,12.346,-30.769,-9.524
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,113.000,84.000,66.000,52.000,40.000,36.000,41.000,87.000,70.000,48.000
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,-19.858,-25.664,-21.429,-21.212,-23.077,-10.000,13.889,112.195,-19.540,-31.429
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,—,—,"59,000.000","61,000.000","68,000.000","58,000.000","51,000.000","53,000.000","50,000.000","50,000.000"
    Growth (YoY),CO2_SCOPE_1,—,—,—,3.390,11.475,-14.706,-12.069,3.922,-5.660,0.000
GHG Scope 1,GHG_SCOPE_1,"66,000.000","68,000.000","66,000.000","67,000.000","68,000.000","63,000.000","56,000.000","57,000.000","53,000.000","52,000.000"
    Growth (YoY),GHG_SCOPE_1,-4.348,3.030,-2.941,1.515,1.493,-7.353,-11.111,1.786,-7.018,-1.887
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,"6,000.000",—,—,—,—,—,—,—,—,"2,000.000"
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,0.000,—,—,—,—,—,—,—,—,—
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,"2,000.000","2,000.000","2,000.000","2,000.000","1,000.000","1,000.000","2,000.000","1,000.000","1,000.000"
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,—,0.000,0.000,0.000,-50.000,0.000,100.000,-50.000,0.000
GHG Scope 3,GHG_SCOPE_3,"363,000.000","366,000.000","539,000.000","608,000.000","617,000.000","622,000.000","588,000.000","621,000.000","592,000.000","576,000.000"
    Growth (YoY),GHG_SCOPE_3,-1.359,0.826,47.268,12.801,1.480,0.810,-5.466,5.612,-4.670,-2.703
Scope of Disclosure,SCOPE_OF_DISCLOSURE,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
    Growth (YoY),SCOPE_OF_DISCLOSURE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,—,—,268.278,0.253,0.253,0.263,0.281,0.278,0.271,0.264
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,—,—,—,-99.906,0.000,4.058,6.685,-1.044,-2.375,-2.703
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,"257,500.000","253,611.000","243,333.000","246,944.000","275,556.000","268,611.000","249,444.000","251,667.000","230,000.000","230,278.000"
    Growth (YoY),ENERGY_CONSUMPTION,-0.215,-1.510,-4.053,1.484,11.586,-2.520,-7.136,0.891,-8.609,0.121
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,971.000,700.000,600.000,400.000,400.000,400.000,200.000,300.000,300.000,300.000
    Growth (YoY),HAZARDOUS_WASTE,2.643,-27.909,-14.286,-33.333,0.000,0.000,-50.000,50.000,0.000,0.000
Plastic Packaging Recycled Content Target Indicatr,PLASTIC_PACK_RECYCL_CONT_TGT_IND,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Plastic Packaging RRC Target Indicator,PLASTIC_PACK_RRC_TARGET_IND,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,"126,000.000","121,000.000","116,000.000","113,000.000","110,000.000","115,000.000","97,000.000","100,000.000","96,000.000","96,000.000"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,-3.077,-3.968,-4.132,-2.586,-2.655,4.545,-15.652,3.093,-4.000,0.000
Water Consumption,WATER_CONSMPTN,—,"77,000.000","79,000.000","73,000.000","70,000.000","69,000.000","62,000.000","66,000.000","62,000.000","62,000.000"
    Growth (YoY),WATER_CONSMPTN,—,—,2.597,-7.595,-4.110,-1.429,-10.145,6.452,-6.061,0.000
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,No,No,No,No,No,No,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,240.000,213.000,185.000,—,—,—,—,—,—,—
    Growth (YoY),COMMUNITY_SPENDING,-6.250,-11.250,-13.146,—,—,—,—,—,—,—
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,n/a,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,16.000,16.000,16.000,18.000,19.000,19.000,20.000,21.000,22.000,23.000
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,—,0.000,0.000,12.500,5.556,0.000,5.263,5.000,4.762,4.545
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,16.000,17.000,18.000,19.000,19.000,20.000,22.000,23.000,24.000,24.000
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,19.403,6.250,5.882,5.556,0.000,5.263,10.000,4.545,4.348,0.000
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,24.700,24.300,24.200,25.000,25.000,30.000,28.030,28.650,28.490,29.370
    Growth (YoY),PCT_WOMEN_EMPLOYEES,1.646,-1.619,-0.412,3.306,0.000,20.000,-6.567,2.212,-0.558,3.089
Pct Minorities in Management,PCT_MINORITY_MGT,—,—,—,—,—,—,—,—,—,—
    Growth (YoY),PCT_MINORITY_MGT,—,—,—,—,—,—,—,—,—,—
Pct Minorities in Workforce,PCT_MINORITY_EMPLOYEES,—,—,—,—,—,—,—,—,—,—
    Growth (YoY),PCT_MINORITY_EMPLOYEES,—,—,—,—,—,—,—,—,—,—
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Political Donations,POLITICAL_DONATIONS,0.500,0.010,0.500,12.200,21.100,15.356,16.829,9.507,16.182,12.874
    Growth (YoY),POLITICAL_DONATIONS,—,-98.000,"4,900.000","2,340.000",72.951,-27.224,9.593,-43.509,70.219,-20.442
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,0.000,0.000,1.000,2.000,0.000,0.000,1.000,0.000,0.000,0.000
Fatalities - Contractors,FATALITIES_CONTRACTORS,3.000,3.000,9.000,4.000,0.000,2.000,0.000,2.000,5.000,2.000
Fatalities - Total,FATALITIES_TOTAL,3.000,3.000,10.000,6.000,0.000,2.000,1.000,2.000,5.000,2.000
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,0.012,0.020,0.020,0.016,0.014,0.034,0.026,0.054,0.046,0.034
    Growth (YoY),LOST_TIME_INCIDENT_RATE,-57.143,66.667,0.000,-20.000,-12.500,142.857,-23.529,107.692,-14.815,-26.087
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,0.024,0.020,0.022,0.020,0.016,0.016,0.026,0.024,0.026,0.044
    Growth (YoY),LOST_TIME_INCIDENT_RT_CNTRCTR,0.000,-16.667,10.000,-9.091,-20.000,0.000,62.500,-7.692,8.333,69.231
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,0.022,0.020,0.020,0.018,0.016,0.020,0.026,0.032,0.032,0.040
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,-15.385,-9.091,0.000,-10.000,-11.111,25.000,30.000,23.077,0.000,25.000
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,0.100,0.100,0.100,0.090,0.070,0.130,0.110,0.170,0.180,0.140
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,-33.333,0.000,0.000,-10.000,-22.222,85.714,-15.385,54.545,5.882,-22.222
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,0.210,0.200,0.160,0.150,0.150,0.160,0.140,0.200,0.220,0.240
