,,,,,,,,,,,
ConocoPhillips (COP US) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
12 Months Ending,,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023,12/31/2024
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,5.390,5.170,5.580,5.830,6.250,6.360,6.080,6.240,—,—
    Growth (YoY),ESG_SCORE,—,-4.082,7.930,4.480,7.204,1.760,-4.403,2.632,—,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,4.170,4.270,4.540,4.980,5.630,6.200,5.980,6.170,—,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,2.464,6.319,9.789,12.963,10.110,-3.603,3.196,—,—
BESG Social Pillar Score,SOCIAL_SCORE,5.550,5.100,5.500,5.470,5.930,5.870,5.530,5.860,—,—
    Growth (YoY),SOCIAL_SCORE,—,-7.987,7.807,-0.577,8.433,-0.974,-5.806,6.006,—,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,7.540,6.910,7.590,7.770,7.680,7.160,6.840,6.730,—,—
    Growth (YoY),GOVERNANCE_SCORE,—,-8.432,9.899,2.350,-1.090,-6.790,-4.437,-1.622,—,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,63.213,65.768,67.197,66.543,67.307,67.368,68.152,67.911,—,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,5.525,4.042,2.172,-0.973,1.149,0.090,1.165,-0.354,—,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,55.542,60.646,62.368,58.985,60.646,57.264,58.623,62.066,—,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,-3.312,9.190,2.839,-5.424,2.816,-5.578,2.373,5.873,—,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,40.236,42.805,45.375,46.796,47.431,50.998,51.995,47.824,—,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,9.818,6.386,6.003,3.131,1.357,7.521,1.956,-8.023,—,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,93.739,93.739,93.739,93.739,93.739,93.739,93.739,93.739,—,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,9.609,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,88.500,57.200,33.900,36.100,36.100,28.200,42.000,48.528,47.682,—
    Growth (YoY),NOX_EMISSIONS,-12.456,-35.367,-40.734,6.490,0.000,-21.884,48.936,15.543,-1.743,—
VOC Emissions,VOC_EMISSIONS,97.900,93.100,62.700,69.200,69.900,60.800,96.400,98.508,115.587,—
    Growth (YoY),VOC_EMISSIONS,12.260,-4.903,-32.653,10.367,1.012,-13.019,58.553,2.187,17.338,—
Particulate Emissions,PARTICULATE_EMISSIONS,1.600,1.300,1.200,1.300,1.400,1.100,1.700,1.978,1.818,—
    Growth (YoY),PARTICULATE_EMISSIONS,-21.105,-18.750,-7.692,8.333,7.692,-21.429,54.545,16.353,-8.089,—
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,7.100,7.400,4.200,4.900,4.700,2.700,2.900,2.701,2.607,—
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,-16.755,4.225,-43.243,16.667,-4.082,-42.553,7.407,-6.862,-3.480,—
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,n/a
Risks of Climate Change Discussed,CLIMATE_RISKS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
CO2 Scope 1,CO2_SCOPE_1,"18,600.000","19,900.000","17,700.000","18,000.000","17,700.000","13,883.900","15,900.000","13,228.000","13,113.000",—
    Growth (YoY),CO2_SCOPE_1,-4.589,6.989,-11.055,1.695,-1.667,-21.560,14.521,-16.805,-0.869,—
CO2 Scope 2 Location-Based,CO2_SCOPE_2_LOCATION_BASED,"1,300.000","1,500.000","1,200.000","1,100.000","1,000.000",700.000,"1,000.000","1,060.000","1,001.000",—
    Growth (YoY),CO2_SCOPE_2_LOCATION_BASED,-8.542,15.385,-20.000,-8.333,-9.091,-30.000,42.857,6.000,-5.566,—
GHG Scope 1,GHG_SCOPE_1,"24,445.000","25,300.000","19,400.000","19,200.000","19,500.000","15,500.000","17,720.000","15,008.000","16,432.000",—
    Growth (YoY),GHG_SCOPE_1,-6.123,3.498,-23.320,-1.031,1.563,-20.513,14.323,-15.305,9.488,—
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,"1,305.010","1,500.000","1,200.000","1,100.000","1,000.000",700.000,"1,000.000","1,060.000","1,001.000",—
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,-8.189,14.942,-20.000,-8.333,-9.091,-30.000,42.857,6.000,-5.566,—
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,—,"1,030.000","1,060.000","1,000.000",—
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,—,—,2.913,-5.660,—
GHG Scope 3,GHG_SCOPE_3,"223,978.000","223,817.000","189,083.000","180,179.000","195,165.000","162,700.000","224,600.000","235,000.000","242,000.000",—
    Growth (YoY),GHG_SCOPE_3,3.843,-0.072,-15.519,-4.709,8.317,-16.635,38.045,4.630,2.979,—
Scope of Disclosure,SCOPE_OF_DISCLOSURE,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,—
    Growth (YoY),SCOPE_OF_DISCLOSURE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,0.037,0.301,0.268,0.256,0.268,0.251,0.197,0.171,0.185,—
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,—,707.638,-10.976,-4.384,4.585,-6.027,-21.574,-13.383,8.321,—
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Total Energy Consumption,ENERGY_CONSUMPTION,"64,680.000","71,442.000","67,326.000","68,208.000","65,268.000","53,802.000","63,798.000","60,564.000","60,270.000",—
    Growth (YoY),ENERGY_CONSUMPTION,-9.799,10.455,-5.761,1.310,-4.310,-17.568,18.579,-5.069,-0.485,—
Renewable Energy Use,RENEW_ENERGY_USE,—,—,—,—,—,—,—,0.000,—,—
Electricity Used,ELECTRICITY_USED,"1,764.000","1,764.000","1,470.000","1,470.000","1,176.000","1,176.000","1,764.000","2,352.000","2,352.000",—
    Growth (YoY),ELECTRICITY_USED,1.695,0.000,-16.667,0.000,-20.000,0.000,50.000,33.333,0.000,—
Self Generated Renewable Electricity,SELF_GEN_RENEWABLE_ELECTRICITY,—,—,0.000,0.000,—,—,—,0.000,—,—
Fuel Used - Natural Gas,NAT_GAS_USED,"5,797,150.000","6,095,790.000","6,031,790.000","6,148,670.000","6,054,020.000","4,755,910.000",—,—,—,—
    Growth (YoY),NAT_GAS_USED,—,5.151,-1.050,1.938,-1.539,-21.442,—,—,—,—
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,444.620,421.047,376.995,423.845,422.981,336.231,—,—,—,—
    Growth (YoY),OIL_DIESEL_USED,—,-5.302,-10.462,12.427,-0.204,-20.509,—,—,—,—
Energy Per Unit of Production,ENERGY_PER_UNIT_PRODUCTION,—,0.797,0.840,0.840,0.862,0.840,0.690,0.647,0.647,—
    Growth (YoY),ENERGY_PER_UNIT_PRODUCTION,—,—,5.395,0.000,2.619,-2.552,-17.857,-6.232,0.000,—
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Hazardous Waste,HAZARDOUS_WASTE,13.800,20.700,15.000,18.800,21.900,28.200,23.000,78.600,107.611,—
    Growth (YoY),HAZARDOUS_WASTE,-64.048,50.000,-27.536,25.333,16.489,28.767,-18.440,241.739,36.910,—
Total Waste,TOTAL_WASTE,337.500,428.000,318.400,363.600,431.300,295.100,427.900,666.596,"1,497.840",—
    Growth (YoY),TOTAL_WASTE,-29.575,26.815,-25.607,14.196,18.619,-31.579,45.002,55.783,124.700,—
Waste Recycled,WASTE_RECYCLED,130.700,148.300,103.500,120.200,130.400,107.500,191.700,265.508,38.075,—
    Growth (YoY),WASTE_RECYCLED,-60.063,13.466,-30.209,16.135,8.486,-17.561,78.326,38.502,-85.660,—
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,"61,700.000","53,000.000","61,600.000","67,500.000","65,700.000","59,300.000","65,000.000","61,800.000","64,100.000",—
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,409.328,-14.100,16.226,9.578,-2.667,-9.741,9.612,-4.923,3.722,—
Total Water Discharged,TOTAL_WATER_DISCHARGED,—,—,—,—,—,—,—,—,—,—
    Growth (YoY),TOTAL_WATER_DISCHARGED,—,—,—,—,—,—,—,—,—,—
Water per Unit of Production,WATER_PER_UNIT_OF_PROD,—,—,—,—,—,—,34.961,34.961,34.961,—
    Growth (YoY),WATER_PER_UNIT_OF_PROD,—,—,—,—,—,—,—,0.000,0.000,—
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,No,No,Yes,Yes,Yes,n/a
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,No,No,n/a,n/a
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a,n/a
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,No,No,No,No,Yes,Yes,Yes,Yes,Yes,n/a
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Community Spending,COMMUNITY_SPENDING,44.000,34.800,36.700,33.700,43.900,31.300,33.600,33.900,33.800,—
    Growth (YoY),COMMUNITY_SPENDING,-12.000,-20.909,5.460,-8.174,30.267,-28.702,7.348,0.893,-0.295,—
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,Yes,No,Yes,Yes,Yes,Yes,n/a
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,14.000,17.000,17.000,19.000,20.000,19.000,22.000,25.000,26.000,26.000
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,-30.000,21.429,0.000,11.765,5.263,-5.000,15.789,13.636,4.000,0.000
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,21.000,21.000,22.000,23.000,25.000,24.000,25.000,26.000,26.000,26.000
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,5.000,0.000,4.762,4.545,8.696,-4.000,4.167,4.000,0.000,0.000
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,27.000,27.000,26.000,26.000,26.000,27.000,26.000,27.000,27.000,27.000
