,,,,,,,,,,,
Contact Energy Ltd (CEN NZ) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of NZD except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
12 Months Ending,,06/30/2015,06/30/2016,06/30/2017,06/30/2018,06/30/2019,06/30/2020,06/30/2021,06/30/2022,06/30/2023,06/30/2024
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,1.540,1.920,3.970,4.280,4.550,4.640,4.810,4.900,5.590,—
    Growth (YoY),ESG_SCORE,—,24.675,106.771,7.809,6.308,1.978,3.664,1.871,14.082,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,0.150,0.500,3.370,3.980,5.070,5.120,4.750,4.820,5.470,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,236.950,571.325,18.195,27.216,1.007,-7.158,1.508,13.439,—
BESG Social Pillar Score,SOCIAL_SCORE,1.310,0.930,2.150,2.890,2.180,2.300,2.740,2.780,3.900,—
    Growth (YoY),SOCIAL_SCORE,—,-29.175,131.424,34.615,-24.465,5.288,19.244,1.347,40.570,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,5.450,7.060,7.510,6.460,6.580,6.690,7.440,7.660,7.770,—
    Growth (YoY),GOVERNANCE_SCORE,—,29.527,6.415,-14.028,1.794,1.655,11.258,2.939,1.450,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,39.242,38.286,43.145,47.782,48.215,54.532,58.716,63.314,60.095,57.328
    Growth (YoY),ESG_DISCLOSURE_SCORE,3.338,-2.435,12.690,10.748,0.905,13.102,7.674,7.829,-5.084,-4.603
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,10.450,12.202,14.044,22.531,28.269,42.646,44.065,52.673,44.065,38.327
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,37.302,16.763,15.099,60.430,25.469,50.855,3.329,19.534,-16.342,-13.023
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,28.537,28.809,30.381,35.822,31.379,35.973,47.128,52.328,51.270,48.700
