,,,,,,,,,,,
Crescent Energy Co (CRGY US) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,—,—,—,—,—,—,3.680,4.020,—
    Growth (YoY),ESG_SCORE,—,—,—,—,—,—,—,—,9.239,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,—,—,—,—,—,—,2.650,3.260,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,—,—,—,—,—,—,23.080,—
BESG Social Pillar Score,SOCIAL_SCORE,—,—,—,—,—,—,—,3.020,3.150,—
    Growth (YoY),SOCIAL_SCORE,—,—,—,—,—,—,—,—,4.084,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,—,—,—,—,—,—,6.520,6.500,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,—,—,—,—,—,—,-0.344,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,30.731,31.928,32.270,33.105,33.105,33.296,39.936,35.349,35.157,23.388
    Growth (YoY),ESG_DISCLOSURE_SCORE,29.889,3.895,1.071,2.587,0.000,0.577,19.940,-11.486,-0.541,-33.476
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,0.332,0.332,0.332,0.332,0.332,0.332,8.064,11.870,11.870,2.265
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,0.000,0.000,0.000,0.000,0.000,0.000,"2,327.272",47.191,0.000,-80.916
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,11.155,11.548,12.576,12.576,12.576,12.576,24.788,32.044,32.044,12.576
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,-3.403,3.523,8.901,0.000,0.000,0.000,97.115,29.268,0.000,-60.755
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,80.524,83.715,83.715,86.213,86.213,86.785,86.785,62.041,61.469,55.208
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,36.549,3.963,0.000,2.985,0.000,0.663,0.000,-28.512,-0.922,-10.186
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,No,No,No,No,No,No,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,No,No,No,No,No,No,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
GHG Scope 1,GHG_SCOPE_1,—,—,—,—,—,—,452.016,"1,358.080","1,123.250",—
    Growth (YoY),GHG_SCOPE_1,—,—,—,—,—,—,—,200.450,-17.291,—
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,—,—,533.269,710.186,857.825,—
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,—,—,—,33.176,20.789,—
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,No,No,No,No,No,No,No,Yes,Yes,Yes
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,No,No,No,No,No,No,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,—,—,—,—,—,—,17.473,634.401,"5,046.050",—
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,—,—,—,—,—,—,—,"3,530.709",695.404,—
Water Consumption,WATER_CONSMPTN,—,—,—,—,—,—,—,"3,990.260","5,046.050",—
    Growth (YoY),WATER_CONSMPTN,—,—,—,—,—,—,—,—,26.459,—
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,No,No,No,No,No,No,No,No,No
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,No,No,No,No,No,No,No,No,No,No
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,No,No,No,No,No,No,No
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,n/a,n/a,No,No,No,No,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,n/a,No,No,No,No,No,No,No,No,No
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,—,—,—,—,—,—,29.000,29.000,29.000,—
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,—,—,—,—,—,—,—,0.000,0.000,—
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,—,—,—,—,—,—,16.000,13.000,14.000,—
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,—,—,—,—,—,—,-18.750,7.692,—
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,—,—,—,—,—,—,0.000,0.000,0.000,—
Fatalities - Contractors,FATALITIES_CONTRACTORS,—,—,—,—,—,—,0.000,0.000,0.000,—
Fatalities - Total,FATALITIES_TOTAL,—,—,—,—,—,—,0.000,0.000,0.000,—
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,—,—,—,—,—,—,0.230,0.760,0.240,—
    Growth (YoY),LOST_TIME_INCIDENT_RATE,—,—,—,—,—,—,—,230.435,-68.421,—
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,—,—,—,—,0.050,0.080,—
    Growth (YoY),LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,—,—,—,—,—,60.000,—
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,—,—,—,—,—,—,—,0.210,0.120,—
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,—,—,—,—,—,—,—,—,-42.857,—
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,—,—,—,1.150,0.910,1.670,—
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,—,—,—,—,-20.870,83.516,—
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,—,—,—,—,0.230,0.510,—
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,—,—,—,—,—,121.739,—
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,—,—,—,—,—,—,—,0.380,0.810,—
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,—,—,—,—,—,—,—,—,113.158,—
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,No,No,No,No,No,No,No,No,No,No
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,92.000,73.000,67.000,63.000,46.000,124.000,652.000,732.000,870.000,904.000
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,—,14.000,15.000,16.000,17.000,18.000,19.000,1.000,2.000,3.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,—,—,7.143,6.667,6.250,5.882,5.556,-94.737,100.000,50.000
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,5.000,4.000,4.000,4.000,4.000,4.000,5.000,—,—,—
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,75.000,75.000,75.000,75.000,100.000,100.000,100.000,—,—,—
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,0.000,0.000,0.000,33.333,0.000,0.000,—,—,—
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,No,No,No,No,Yes,Yes,Yes,No,No
Board Size,BOARD_SIZE,7.000,7.000,6.000,6.000,7.000,6.000,5.000,9.000,9.000,9.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,6.000,6.000,4.000,4.000,3.000,4.000,5.000,5.000,5.000,5.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,6.000,6.000,5.000,5.000,6.000,5.000,4.000,7.000,7.000,7.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,10.000,15.000,12.000,8.000,9.000,13.000,13.000,—,—,—
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,75.000,75.000,75.000,75.000,100.000,100.000,100.000,—,—,—
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,—,0.000,0.000,0.000,33.333,0.000,0.000,—,—,—
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,n/a,No,No,No,No,No,No,No,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,n/a,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,3.000,3.000,3.000,3.000,3.000,4.000,3.000,3.000,3.000,3.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,3.000,3.000,3.000,3.000,3.000,4.000,3.000,3.000,2.000,2.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,3.000,4.000,2.000,2.000,2.000,1.000,1.000,—,—,—
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,75.000,75.000,75.000,75.000,100.000,100.000,100.000,—,—,—
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,—,0.000,0.000,0.000,33.333,0.000,0.000,—,—,—
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,4.000,4.000
Board Age Limit,BOARD_AGE_LIMIT,—,—,—,75.000,75.000,75.000,75.000,—,—,—
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,46.000,47.000,48.000,49.000,34.000,35.000,36.000,33.000,34.000,35.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,70.000,71.000,72.000,73.000,74.000,72.000,73.000,73.000,75.000,76.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,5.000,5.000,4.000,5.000,6.000,5.000,4.000,7.000,7.000,7.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,2.000,2.000,2.000,3.000,3.000,3.000,4.000,3.000,3.000,—
