,,,,,,,,,,,
Veren Inc (VRN CN) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of CAD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,2.340,3.850,4.120,5.010,5.030,5.150,5.570,5.940,—
    Growth (YoY),ESG_SCORE,—,—,64.530,7.013,21.602,0.399,2.386,8.155,6.643,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,1.160,3.280,3.300,4.080,4.130,4.320,4.620,4.890,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,181.523,0.674,23.783,1.109,4.645,6.897,5.895,—
BESG Social Pillar Score,SOCIAL_SCORE,—,1.180,1.800,3.200,3.800,3.890,3.830,4.810,5.270,—
    Growth (YoY),SOCIAL_SCORE,—,—,52.723,78.281,18.726,2.197,-1.618,25.735,9.581,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,6.670,7.760,6.800,8.240,8.120,8.330,8.220,8.670,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,16.276,-12.340,21.186,-1.402,2.487,-1.271,5.447,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,30.751,32.965,46.243,50.840,59.129,61.925,63.354,65.245,65.627,62.267
    Growth (YoY),ESG_DISCLOSURE_SCORE,0.725,7.197,40.281,9.941,16.304,4.730,2.307,2.985,0.586,-5.120
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,0.665,1.842,25.551,26.971,40.501,48.112,52.401,50.982,49.562,49.079
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,—,177.273,"1,286.885",5.556,50.168,18.792,8.914,-2.709,-2.784,-0.975
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,8.374,12.576,28.053,40.447,43.017,43.803,43.803,53.416,55.986,46.372
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,0.000,50.180,123.077,44.181,6.353,1.827,0.000,21.946,4.810,-17.171
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,83.022,84.287,84.979,84.979,93.739,93.739,93.739,91.240,91.240,91.240
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.000,1.523,0.821,0.000,10.308,0.000,0.000,-2.665,0.000,0.000
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,—,—,2.441,1.187,2.038,1.147,1.865,1.681,6.123,7.637
    Growth (YoY),NOX_EMISSIONS,—,—,—,-51.380,71.693,-43.719,62.598,-9.866,264.247,24.726
VOC Emissions,VOC_EMISSIONS,—,—,21.363,22.184,18.302,16.170,5.808,3.585,3.366,2.818
    Growth (YoY),VOC_EMISSIONS,—,—,—,3.843,-17.499,-11.649,-64.082,-38.275,-6.109,-16.280
Particulate Emissions,PARTICULATE_EMISSIONS,—,—,0.569,0.326,0.194,0.227,0.170,0.155,0.274,0.342
    Growth (YoY),PARTICULATE_EMISSIONS,—,—,—,-42.701,-40.491,17.010,-25.110,-8.824,76.774,24.818
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,4.216,0.917,0.300,0.374,0.449,0.616,0.580,0.684
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,—,-78.249,-67.285,24.667,20.053,37.194,-5.844,17.931
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
GHG Scope 1,GHG_SCOPE_1,—,—,"2,411.090","2,080.220","1,905.320","1,927.930",906.320,903.522,963.414,"1,016.590"
    Growth (YoY),GHG_SCOPE_1,—,—,—,-13.723,-8.408,1.187,-52.990,-0.309,6.629,5.520
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,—,911.173,739.416,777.108,727.257,603.445,628.512,541.284,614.387
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,—,-18.850,5.098,-6.415,-17.025,4.154,-13.878,13.505
GHG Scope 3,GHG_SCOPE_3,—,—,—,—,—,—,—,0.006,—,—
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,—,—,—,0.053,0.039,0.040,0.030,0.028,0.024,0.023
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,—,—,—,—,-26.415,2.564,-25.000,-6.667,-14.286,-4.167
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,No,No,No,No,No,No,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,—,—,"3,424.540","3,866.500","4,269.840","4,500.460","3,400.120","15,275.600","4,624.260","4,800.540"
    Growth (YoY),ENERGY_CONSUMPTION,—,—,—,12.906,10.432,5.401,-24.449,349.266,-69.728,3.812
Electricity Used,ELECTRICITY_USED,—,—,"1,128.280",907.181,"1,044.050","1,017.480",855.342,888.848,870.939,859.645
    Growth (YoY),ELECTRICITY_USED,—,—,—,-19.596,15.087,-2.545,-15.935,3.917,-2.015,-1.297
Energy Per Unit of Production,ENERGY_PER_UNIT_PRODUCTION,—,—,55.833,72.222,44.444,44.722,62.222,76.667,72.778,68.333
    Growth (YoY),ENERGY_PER_UNIT_PRODUCTION,—,—,—,29.353,-38.462,0.625,39.130,23.214,-5.072,-6.107
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,No,No,No,No,No,No,Yes,Yes,Yes,No
Hazardous Waste,HAZARDOUS_WASTE,—,—,—,—,—,—,—,0.021,0.016,0.032
    Growth (YoY),HAZARDOUS_WASTE,—,—,—,—,—,—,—,—,-23.810,100.000
Total Waste,TOTAL_WASTE,—,—,—,—,—,—,—,16.162,42.437,52.581
    Growth (YoY),TOTAL_WASTE,—,—,—,—,—,—,—,—,162.573,23.904
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,—,—,"6,107.720","5,047.020","6,567.110","6,311.320","8,007.770","9,169.750","59,710.301","69,461.102"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,—,—,—,-17.367,30.119,-3.895,26.879,14.511,551.166,16.330
Water per Unit of Production,WATER_PER_UNIT_OF_PROD,—,—,—,—,—,—,12.814,28.840,45.518,38.157
    Growth (YoY),WATER_PER_UNIT_OF_PROD,—,—,—,—,—,—,—,125.062,57.828,-16.172
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,Yes,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,No,No
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,No,No,No,No,No,No,No
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,No,No,No,No,No,No,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,—,—,4.400,3.400,3.100,2.700,2.200,1.400,2.200,2.600
    Growth (YoY),COMMUNITY_SPENDING,—,—,—,-22.727,-8.824,-12.903,-18.519,-36.364,57.143,18.182
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,n/a,No,No,No,No,No,No,No,No,No
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,—,—,—,—,—,—,—,—,—,32.000
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,59.700,55.400,57.400,58.300,49.100,—,—,—
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,-7.203,3.610,1.568,-15.780,—,—,—
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,—,—,34.800,34.700,33.500,33.600,33.800,34.900,34.800,34.000
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,—,—,-0.287,-3.458,0.299,0.595,3.254,-0.287,-2.299
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Political Donations,POLITICAL_DONATIONS,—,—,—,—,—,—,—,0.000,0.000,—
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,—,—,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Fatalities - Contractors,FATALITIES_CONTRACTORS,—,—,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000
Fatalities - Total,FATALITIES_TOTAL,—,—,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,—,—,—,0.170,0.260,0.100,0.000,0.130,0.120,0.000
    Growth (YoY),LOST_TIME_INCIDENT_RATE,—,—,—,—,52.941,-61.538,—,—,-7.692,—
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,0.130,0.120,0.080,0.060,0.080,0.080,0.040
    Growth (YoY),LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,—,-7.692,-33.333,-25.000,33.333,0.000,-50.000
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,—,—,0.230,0.130,0.130,0.080,0.060,0.080,0.080,0.030
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,—,—,—,-43.478,0.000,-38.462,-25.000,33.333,0.000,-62.500
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,0.860,0.680,0.290,0.250,0.400,0.370,0.370
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,—,-20.930,-57.353,-13.793,60.000,-7.500,0.000
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,0.590,0.530,0.630,0.480,0.360,0.310,0.190
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,—,-10.169,18.868,-23.810,-25.000,-13.889,-38.710
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,—,—,0.660,0.630,0.550,0.580,0.440,0.360,0.310,0.210
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,—,—,—,-4.545,-12.698,5.455,-24.138,-18.182,-13.889,-32.258
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"1,007.000","1,072.000","1,086.000","1,155.000","1,067.000",914.000,748.000,760.000,768.000,777.000
Number of Contractors,NUMBER_OF_CONTRACTORS,216.000,317.000,—,—,—,—,—,—,—,—
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,—,—,—,7.000,18.100,25.200,21.100,16.400,10.400,15.400
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,—,—,—,—,158.571,39.227,-16.270,-22.275,-36.585,48.077
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,—,—,—,—,0.000,0.000,0.000,0.000,0.000,0.000
Employee Training Cost,EMPLOYEE_TRAINING_COST,—,—,—,0.918,0.933,1.199,0.656,0.908,1.256,0.875
    Growth (YoY),EMPLOYEE_TRAINING_COST,—,—,—,—,1.653,28.438,-45.308,38.538,38.296,-30.321
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,—,—,—,—,—,"8,437.000","22,533.000"
