,,,,,,,,,,
CorEnergy Infrastructure Trust Inc (CORRQ US) - Overview,,,,,,,,,,
,,,,,,,,,,
In Millions of USD except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,—,—,—,—,—,1.810,1.870,—
    Growth (YoY),ESG_SCORE,—,—,—,—,—,—,—,3.315,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,—,—,—,—,—,0.150,0.150,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,—,—,—,—,—,0.000,—
BESG Social Pillar Score,SOCIAL_SCORE,—,—,—,—,—,—,1.500,1.500,—
    Growth (YoY),SOCIAL_SCORE,—,—,—,—,—,—,—,0.000,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,—,—,—,—,—,5.290,5.550,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,—,—,—,—,—,4.795,—
,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,25.158,31.114,32.059,32.059,32.059,32.059,32.914,32.914,21.919
    Growth (YoY),ESG_DISCLOSURE_SCORE,—,23.671,3.039,0.000,0.000,0.000,2.667,0.000,-33.405
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,0.000,0.000,0.332,0.332,0.332,0.332,0.332,0.332,0.332
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,—,—,—,0.000,0.000,0.000,0.000,0.000,0.000
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,0.000,9.553,9.553,9.553,9.553,9.553,12.122,12.122,12.576
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,—,—,0.000,0.000,0.000,0.000,26.899,0.000,3.741
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,75.286,83.594,86.093,86.093,86.093,86.093,86.093,86.093,52.739
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,—,11.036,2.989,0.000,0.000,0.000,0.000,0.000,-38.741
,,,,,,,,,,
Environmental,,,,,,,,,,
Air Quality,,,,,,,,,,
,,,,,,,,,,
Climate Change,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,n/a,No,No,No,No,No,No,No,No
