,,,,,,,,,,,
ACS Actividades de Construccion y Servicios SA (ACS SM) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of EUR except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,1.850,2.170,2.760,2.630,2.790,3.400,4.030,4.700,—
    Growth (YoY),ESG_SCORE,—,—,17.297,27.189,-4.710,6.084,21.864,18.529,16.625,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,0.660,1.130,1.130,1.110,1.310,2.400,3.500,4.990,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,71.049,-0.079,-1.374,17.755,83.339,46.224,42.456,—
BESG Social Pillar Score,SOCIAL_SCORE,—,2.380,2.370,4.300,4.200,4.210,4.230,4.280,4.480,—
    Growth (YoY),SOCIAL_SCORE,—,—,-0.593,81.842,-2.375,0.344,0.275,1.259,4.710,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,3.660,4.050,4.110,3.640,3.870,4.150,4.640,4.530,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,10.566,1.576,-11.424,6.137,7.395,11.739,-2.505,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,50.729,55.296,55.497,57.248,62.609,64.390,64.953,67.679,68.253,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,11.055,9.003,0.364,3.154,9.366,2.844,0.875,4.197,0.847,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,37.511,42.616,48.354,50.317,52.280,57.626,58.291,66.475,68.197,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,62.141,13.607,13.466,4.060,3.902,10.225,1.153,14.041,2.590,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,33.676,41.717,36.578,44.891,59.039,59.039,60.067,60.067,60.067,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,2.390,23.878,-12.319,22.727,31.515,0.000,1.741,0.000,0.000,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,80.885,81.457,81.457,76.460,76.460,76.460,76.460,76.460,76.460,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.000,0.707,0.000,-6.135,0.000,0.000,0.000,0.000,0.000,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,—,—,0.505,0.531,0.473,12.151,1.305,1.377,1.371,1.342
    Growth (YoY),NOX_EMISSIONS,—,—,—,5.111,-10.972,"2,471.164",-89.262,5.573,-0.449,-2.113
Particulate Emissions,PARTICULATE_EMISSIONS,—,—,—,—,—,—,—,—,—,—
    Growth (YoY),PARTICULATE_EMISSIONS,—,—,—,—,—,—,—,—,—,—
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,0.006,0.009,0.009,0.007,0.001,0.001,0.001,0.001
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,—,39.280,3.334,-24.519,-85.768,12.750,-17.570,13.605
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,Yes,Yes,Yes,Yes
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,No,No,Yes,Yes,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,—,—,—,—,—,—,—,—,—,380.722
GHG Scope 1,GHG_SCOPE_1,"5,798.390","3,288.760","2,169.790","2,436.360","3,073.380",532.412,391.217,371.978,378.893,380.722
    Growth (YoY),GHG_SCOPE_1,53.735,-43.281,-34.024,12.286,26.146,-82.677,-26.520,-4.918,1.859,0.483
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,463.901,294.523,242.119,371.274,265.501,184.456,115.173,128.440,161.034,151.266
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,53.529,-36.512,-17.793,53.344,-28.489,-30.525,-37.561,11.519,25.377,-6.066
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,—,—,104.367,147.274,134.034
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,—,—,—,41.112,-8.990
GHG Scope 3,GHG_SCOPE_3,"10,719.000","9,131.960","4,621.960","3,126.090","3,026.370","2,538.220","1,864.850","3,495.020","7,345.110","7,726.250"
    Growth (YoY),GHG_SCOPE_3,50.902,-14.806,-49.387,-32.364,-3.190,-16.130,-26.529,87.416,110.159,5.189
Scope of Disclosure,SCOPE_OF_DISCLOSURE,1.000,1.000,1.000,1.000,1.000,1.000,1.000,2.000,2.000,—
    Growth (YoY),SCOPE_OF_DISCLOSURE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,—
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,"22,686.801","13,875.600","8,810.050","10,004.900","12,088.600","12,669.400","1,663.430","1,864.000","1,852.100","1,983.480"
    Growth (YoY),ENERGY_CONSUMPTION,60.314,-38.838,-36.507,13.562,20.827,4.805,-86.870,12.058,-0.638,7.094
Renewable Energy Use,RENEW_ENERGY_USE,—,18.437,25.313,28.357,23.771,63.323,51.651,70.556,57.979,62.227
    Growth (YoY),RENEW_ENERGY_USE,—,—,37.298,12.025,-16.172,166.388,-18.432,36.601,-17.826,7.327
Electricity Used,ELECTRICITY_USED,861.156,759.020,491.425,660.173,539.982,637.493,278.156,293.521,385.578,392.374
    Growth (YoY),ELECTRICITY_USED,52.144,-11.860,-35.255,34.339,-18.206,18.058,-56.367,5.524,31.363,1.763
Fuel Used - Coal/Lignite,COAL_USED,—,—,—,—,—,—,—,—,0.000,—
Fuel Used - Natural Gas,NAT_GAS_USED,402.636,"3,019.490","2,400.340","2,507.720","3,808.900","4,076.700","3,635.080","5,857.100","5,242.740","3,474.430"
    Growth (YoY),NAT_GAS_USED,17.213,649.930,-20.505,4.474,51.887,7.031,-10.833,61.127,-10.489,-33.729
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,"2,108.100","1,255.200",831.000,928.000,"1,138.000","1,189.000",134.000,141.800,130.600,133.000
    Growth (YoY),OIL_DIESEL_USED,54.180,-40.458,-33.795,11.673,22.629,4.482,-88.730,5.821,-7.898,1.838
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,176.526,327.729,50.860,130.882,42.717,130.343,358.311,400.892,138.334,167.247
    Growth (YoY),HAZARDOUS_WASTE,-34.165,85.655,-84.481,157.338,-67.362,205.131,174.899,11.884,-65.493,20.901
Total Waste,TOTAL_WASTE,"8,923.270","4,461.370","2,920.680","9,476.580","17,353.699","12,800.300","16,300.100","18,745.301","15,900.100","14,260.400"
    Growth (YoY),TOTAL_WASTE,163.703,-50.003,-34.534,224.465,83.122,-26.239,27.342,15.001,-15.178,-10.313
Waste Recycled,WASTE_RECYCLED,—,—,—,—,—,"9,817.840","13,773.600","15,534.500","12,818.200","11,328.100"
    Growth (YoY),WASTE_RECYCLED,—,—,—,—,—,—,40.292,12.785,-17.486,-11.625
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,—,—,—,—,"1,011.960","2,896.460","2,241.030","2,843.360","2,670.460","1,696.690"
    Growth (YoY),WASTE_SENT_TO_LANDFILLS,—,—,—,—,—,186.223,-22.629,26.877,-6.081,-36.465
Raw Materials Used,RAW_MAT_USED,—,—,—,"5,140.650","8,653.300","8,594.770","6,173.810","5,148.610","5,453.200","7,424.270"
    Growth (YoY),RAW_MAT_USED,—,—,—,—,68.331,-0.676,-28.168,-16.606,5.916,36.145
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,—,"40,783.500","46,570.898","14,406.200","24,264.400","27,068.199","27,681.000","12,649.100","13,735.100","11,716.700"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,—,—,14.191,-69.066,68.430,11.555,2.264,-54.304,8.586,-14.695
Total Water Discharged,TOTAL_WATER_DISCHARGED,"9,467.890","12,672.400","15,339.500","23,662.301","25,519.301","18,455.699","7,327.050","6,776.490","11,288.800","7,423.600"
    Growth (YoY),TOTAL_WATER_DISCHARGED,20.861,33.846,21.047,54.257,7.848,-27.679,-60.299,-7.514,66.588,-34.239
Water Consumption,WATER_CONSMPTN,—,—,—,—,—,"8,612.440","2,540.420","5,872.610","2,446.250","4,293.120"
    Growth (YoY),WATER_CONSMPTN,—,—,—,—,—,—,-70.503,131.167,-58.345,75.498
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,No,No,No,No,No,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,—,—,—,6.900,8.200,8.100,11.000,6.100,8.500,8.100
    Growth (YoY),COMMUNITY_SPENDING,—,—,—,—,18.841,-1.220,35.802,-44.545,39.344,-4.706
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,—,—,11.790,10.980,12.610,12.090,12.250,15.080,15.500,18.400
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,—,—,—,-6.870,14.845,-4.124,1.323,23.102,2.785,18.710
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,14.900,16.530,16.440,12.610,17.510,—,—,—,—
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,10.940,-0.544,-23.297,38.858,—,—,—,—
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,37.400,40.100,42.800,41.200,38.800,41.500,51.970,58.000,56.700,55.500
    Growth (YoY),PCT_WOMEN_EMPLOYEES,152.703,7.219,6.733,-3.738,-5.825,6.959,25.229,11.603,-2.241,-2.116
Pct Disabled in Workforce,PCT_DISABLED_IN_WORKFORCE,2.293,2.940,—,4.300,3.620,4.170,4.420,6.250,6.380,5.700
    Growth (YoY),PCT_DISABLED_IN_WORKFORCE,227.626,28.195,—,—,-15.814,15.193,5.995,41.403,2.080,-10.658
Percentage Gender Pay Gap Mid & Other Management,PCT_GENDER_PAY_GAP_MID_OTH_MGMT,—,—,—,—,—,—,76.700,75.000,76.600,—
    Growth (YoY),PCT_GENDER_PAY_GAP_MID_OTH_MGMT,—,—,—,—,—,—,—,-2.216,2.133,—
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Political Donations,POLITICAL_DONATIONS,—,—,—,—,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,—,3.000,7.000,1.000,4.000,4.000,4.000,2.000,0.000,0.000
Fatalities - Contractors,FATALITIES_CONTRACTORS,—,10.000,6.000,2.000,7.000,4.000,2.000,5.000,2.000,3.000
