,,,,,,,,,,,
ENEOS Holdings Inc (5020 JP) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Billions of JPY except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
12 Months Ending,,03/31/2015,03/31/2016,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,2.270,2.400,3.610,4.790,4.450,4.490,5.000,5.390,5.270,—
    Growth (YoY),ESG_SCORE,—,5.727,50.417,32.687,-7.098,0.899,11.359,7.800,-2.226,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,1.470,1.780,3.480,5.620,5.400,5.600,6.520,6.760,6.160,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,21.537,95.272,61.647,-4.069,3.713,16.455,3.667,-8.874,—
BESG Social Pillar Score,SOCIAL_SCORE,1.940,2.110,3.400,3.370,2.670,2.820,2.220,2.980,3.040,—
    Growth (YoY),SOCIAL_SCORE,—,9.127,60.773,-0.821,-20.608,5.498,-21.458,34.492,2.184,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,4.270,3.910,4.070,4.990,4.880,4.540,5.850,5.920,6.340,—
    Growth (YoY),GOVERNANCE_SCORE,—,-8.600,4.261,22.465,-2.150,-7.054,28.919,1.176,7.152,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,49.150,52.741,65.356,67.971,69.037,73.011,76.733,77.910,74.228,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,25.604,7.307,23.918,4.002,1.569,5.756,5.098,1.534,-4.726,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,46.089,46.421,62.791,68.137,68.137,76.442,76.442,78.164,66.717,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,23.864,0.721,35.264,8.514,0.000,12.190,0.000,2.252,-14.645,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,28.295,29.323,44.559,44.559,42.745,46.372,57.557,59.371,59.764,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,116.166,3.632,51.959,0.000,-4.071,8.487,24.120,3.151,0.662,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,72.968,82.360,88.621,91.120,96.117,96.117,96.117,96.117,96.117,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,8.944,12.871,7.602,2.819,5.484,0.000,0.000,0.000,0.000,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,15.640,15.606,14.666,15.449,16.878,14.044,11.969,13.237,13.315,11.821
    Growth (YoY),NOX_EMISSIONS,42.311,-0.217,-6.023,5.339,9.250,-16.791,-14.775,10.594,0.589,-11.220
VOC Emissions,VOC_EMISSIONS,0.032,17.841,17.819,15.872,14.825,14.317,11.886,11.873,12.117,11.114
    Growth (YoY),VOC_EMISSIONS,—,"55,653.125",-0.123,-10.927,-6.597,-3.427,-16.980,-0.109,2.055,-8.278
Particulate Emissions,PARTICULATE_EMISSIONS,1.125,1.001,0.936,1.062,1.192,1.037,0.871,0.885,0.941,0.801
    Growth (YoY),PARTICULATE_EMISSIONS,—,-11.022,-6.494,13.462,12.241,-13.003,-16.008,1.607,6.328,-14.878
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,14.310,13.011,16.049,13.398,13.208,13.054,10.626,11.201,11.171,9.556
