,,,,,,,,,,,
Eni SpA (ENI IM) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of EUR except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,5.510,5.870,6.290,6.150,6.420,6.450,6.700,6.720,—
    Growth (YoY),ESG_SCORE,—,—,6.534,7.155,-2.226,4.390,0.467,3.876,0.299,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,5.570,6.100,6.460,6.360,6.730,6.600,6.870,6.640,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,9.606,5.962,-1.647,5.803,-1.899,4.168,-3.411,—
BESG Social Pillar Score,SOCIAL_SCORE,—,4.200,4.560,5.320,5.350,5.420,5.860,5.900,6.210,—
    Growth (YoY),SOCIAL_SCORE,—,—,8.520,16.691,0.562,1.400,8.168,0.631,5.210,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,6.860,6.920,7.050,6.640,6.950,6.790,7.260,7.400,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,0.751,1.892,-5.703,4.610,-2.348,6.959,1.876,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,56.916,68.092,71.331,74.298,75.294,75.294,76.421,76.994,76.290,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,-1.239,19.636,4.757,4.160,1.340,0.000,1.496,0.750,-0.915,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,52.703,56.086,59.529,59.529,61.492,61.492,64.875,66.596,68.016,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,-6.933,6.418,6.139,0.000,3.298,0.000,5.501,2.654,2.132,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,49.728,58.253,58.253,67.171,68.198,68.198,68.198,68.198,64.661,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,3.720,17.143,0.000,15.309,1.530,0.000,0.000,0.000,-5.186,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,68.272,89.856,96.117,96.117,96.117,96.117,96.117,96.117,96.117,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.000,31.614,6.968,0.000,0.000,0.000,0.000,0.000,0.000,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,89.916,66.523,56.005,55.607,53.100,52.000,51.700,48.800,48.800,44.800
    Growth (YoY),NOX_EMISSIONS,-11.702,-26.017,-15.811,-0.711,-4.508,-2.072,-0.577,-5.609,0.000,-8.197
VOC Emissions,VOC_EMISSIONS,27.978,17.227,15.948,21.500,23.100,24.100,21.400,24.000,23.100,22.100
    Growth (YoY),VOC_EMISSIONS,-35.736,-38.427,-7.424,34.813,7.442,4.329,-11.203,12.150,-3.750,-4.329
Particulate Emissions,PARTICULATE_EMISSIONS,2.256,1.763,1.447,1.500,1.500,1.400,1.300,1.400,1.400,1.400
    Growth (YoY),PARTICULATE_EMISSIONS,-20.787,-21.853,-17.924,3.663,0.000,-6.667,-7.143,7.692,0.000,0.000
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,24.891,10.501,8.946,8.400,16.500,15.200,15.300,18.500,17.900,16.700
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,-10.941,-57.812,-14.808,-6.103,96.429,-7.879,0.658,20.915,-3.243,-6.704
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
