,,,,,,,,,,,
Ecopetrol SA (ECOPETL CB) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of COP except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,4.000,3.980,5.000,5.170,5.080,4.800,5.930,5.900,—
    Growth (YoY),ESG_SCORE,—,—,-0.500,25.628,3.400,-1.741,-5.512,23.542,-0.506,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,3.870,3.820,4.040,4.000,4.480,5.010,5.880,5.650,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,-1.484,5.779,-0.996,12.145,11.743,17.429,-3.922,—
BESG Social Pillar Score,SOCIAL_SCORE,—,3.350,3.220,6.250,6.920,6.030,4.050,6.320,6.790,—
    Growth (YoY),SOCIAL_SCORE,—,—,-3.867,94.130,10.717,-12.791,-32.804,55.841,7.467,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,4.940,5.090,5.500,5.610,5.200,5.250,5.630,5.470,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,3.138,8.021,2.080,-7.423,1.027,7.337,-2.947,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,64.189,63.243,62.871,71.110,70.124,69.470,69.309,71.452,69.128,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,16.208,-1.473,-0.589,13.104,-1.386,-0.932,-0.232,3.091,-3.252,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,63.969,63.969,62.851,72.999,75.536,69.103,69.103,71.398,69.979,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,12.063,0.000,-1.747,16.146,3.475,-8.517,0.000,3.322,-1.988,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,52.418,44.226,44.226,50.393,49.909,49.365,48.882,53.023,52.479,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,28.349,-15.629,0.000,13.944,-0.960,-1.090,-0.980,8.472,-1.026,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,76.129,81.457,81.457,89.856,84.859,89.856,89.856,89.856,84.859,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,12.400,6.999,0.000,10.310,-5.561,5.889,0.000,0.000,-5.561,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,22.800,19.400,21.100,28.770,25.760,28.090,29.700,28.600,29.120,29.780
    Growth (YoY),NOX_EMISSIONS,-0.437,-14.912,8.763,36.351,-10.462,9.045,5.732,-3.704,1.818,2.266
VOC Emissions,VOC_EMISSIONS,108.200,111.800,107.200,108.010,106.690,113.800,131.160,121.120,127.610,123.330
    Growth (YoY),VOC_EMISSIONS,29.271,3.327,-4.114,0.756,-1.222,6.664,15.255,-7.655,5.358,-3.354
Carbon Monoxide Emissions,CARBON_MONOXIDE_EMISSIONS,227.400,205.600,203.100,277.760,255.060,241.370,245.850,—,—,—
    Growth (YoY),CARBON_MONOXIDE_EMISSIONS,-8.084,-9.587,-1.216,36.760,-8.173,-5.367,1.856,—,—,—
Particulate Emissions,PARTICULATE_EMISSIONS,2.600,2.600,2.900,4.300,1.570,1.700,1.510,1.400,1.590,1.820
    Growth (YoY),PARTICULATE_EMISSIONS,-21.212,0.000,11.538,48.276,-63.488,8.280,-11.176,-7.285,13.571,14.465
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,16.500,17.100,21.200,26.610,16.930,17.520,13.430,14.530,15.410,15.800
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,-3.509,3.636,23.977,25.519,-36.377,3.485,-23.345,8.191,6.056,2.531
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
ODS Emissions,ODS_EMISSIONS,—,—,—,—,0.001,0.001,0.001,0.000,0.000,—
    Growth (YoY),ODS_EMISSIONS,—,—,—,—,—,60.976,0.000,-85.606,84.211,—
CO2 Scope 1,CO2_SCOPE_1,"6,718.000","7,235.000",—,—,—,—,—,—,—,—
    Growth (YoY),CO2_SCOPE_1,-11.302,7.696,—,—,—,—,—,—,—,—
CO2 Scope 2 Location-Based,CO2_SCOPE_2_LOCATION_BASED,226.000,243.000,—,—,—,—,—,—,—,—
    Growth (YoY),CO2_SCOPE_2_LOCATION_BASED,-25.166,7.522,—,—,—,—,—,—,—,—
GHG Scope 1,GHG_SCOPE_1,"7,379.000","7,853.000","8,110.000","10,219.000","11,170.100","13,009.000","11,976.000","11,960.000","11,950.000","12,005.000"
    Growth (YoY),GHG_SCOPE_1,-10.849,6.424,3.273,26.005,9.307,16.463,-7.941,-0.134,-0.084,0.460
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,227.000,243.000,525.000,455.000,277.378,697.000,862.000,581.000,506.000,744.000
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,-25.083,7.048,116.049,-13.333,-39.038,151.282,23.673,-32.599,-12.909,47.036
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,—,—,—,428.830,—,—,—,—,—
GHG Scope 3,GHG_SCOPE_3,—,—,—,—,—,"143,770.000","138,718.000","140,905.000","150,989.000","155,106.000"
    Growth (YoY),GHG_SCOPE_3,—,—,—,—,—,—,-3.514,1.577,7.157,2.727
Scope of Disclosure,SCOPE_OF_DISCLOSURE,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,—
    Growth (YoY),SCOPE_OF_DISCLOSURE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,—,—,—,—,0.188,0.196,0.211,0.217,—,—
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,—,—,—,—,—,3.891,7.865,2.778,—,—
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,"5,861.000","6,741.000","5,408.280","6,333.340","6,999.000","7,383.900","7,226.400","6,610.860","7,319.580","7,929.000"
    Growth (YoY),ENERGY_CONSUMPTION,—,15.015,-19.770,17.105,10.510,5.499,-2.133,-8.518,10.721,8.326
Renewable Energy Use,RENEW_ENERGY_USE,—,—,—,—,105.000,88.200,65.400,54.600,168.700,211.450
    Growth (YoY),RENEW_ENERGY_USE,—,—,—,—,—,-16.000,-25.850,-16.514,208.974,25.341
Electricity Used,ELECTRICITY_USED,164.098,578.788,"1,356.440","1,699.690","2,531.000","2,423.500","2,519.000","2,309.840","2,881.300","3,111.120"
    Growth (YoY),ELECTRICITY_USED,—,252.709,134.359,25.305,48.910,-4.247,3.941,-8.303,24.740,7.976
Self Generated Renewable Electricity,SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,—,—,—,—,"2,103.800",27.115,—
    Growth (YoY),SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,—,—,—,—,—,-98.711,—
Fuel Used - Coal/Lignite,COAL_USED,—,—,—,—,—,—,—,39.309,0.000,—
Fuel Used - Natural Gas,NAT_GAS_USED,"483,305.000","484,710.000","332,461.000","343,885.000",—,—,—,—,"3,270,420.000",—
    Growth (YoY),NAT_GAS_USED,—,0.291,-31.410,3.436,—,—,—,—,—,—
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,60.313,110.448,61.891,96.333,—,—,—,104.616,315.430,—
    Growth (YoY),OIL_DIESEL_USED,—,83.123,-43.963,55.648,—,—,—,—,201.512,—
Energy Per Unit of Production,ENERGY_PER_UNIT_PRODUCTION,—,—,0.001,0.001,0.001,0.001,0.001,0.001,—,—
    Growth (YoY),ENERGY_PER_UNIT_PRODUCTION,—,—,—,18.000,-11.864,11.538,-7.759,-0.654,—,—
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,243.516,117.151,49.056,35.186,111.738,203.833,140.434,137.376,188.711,114.990
    Growth (YoY),HAZARDOUS_WASTE,59.574,-51.892,-58.126,-28.274,217.566,82.420,-31.103,-2.178,37.368,-39.066
Total Waste,TOTAL_WASTE,491.643,146.820,98.221,138.813,290.032,415.340,298.135,459.089,459.089,569.019
    Growth (YoY),TOTAL_WASTE,62.433,-70.137,-33.101,41.328,108.937,43.205,-28.219,53.987,0.000,23.945
Waste Recycled,WASTE_RECYCLED,90.670,8.335,24.225,26.506,129.210,193.131,24.916,47.448,43.479,10.358
    Growth (YoY),WASTE_RECYCLED,37.448,-90.807,190.635,9.416,387.469,49.471,-87.099,90.431,-8.366,-76.177
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,38.261,97.448,35.232,17.809,69.043,16.106,156.002,115.778,115.778,225.633
    Growth (YoY),WASTE_SENT_TO_LANDFILLS,536.503,154.693,-63.845,-49.452,287.686,-76.673,868.620,-25.784,0.000,94.884
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,"55,530.000","53,760.000","56,560.000","56,500.000","57,523.000","54,635.398","51,113.000","40,090.000","69,632.000","41,264.000"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,-0.126,-3.187,5.208,-0.106,1.811,-5.020,-6.447,-21.566,73.689,-40.740
Total Water Discharged,TOTAL_WATER_DISCHARGED,"79,800.000","72,540.000","86,170.000","91,160.000","100,011.000","96,686.000","87,278.000","61,555.000","10,621.400","85,130.000"
    Growth (YoY),TOTAL_WATER_DISCHARGED,-22.169,-9.098,18.790,5.791,9.709,-3.325,-9.730,-29.472,-82.745,701.495
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,Yes,Yes
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,n/a,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,"328,107.000","55,876.000","14,855.000","18,502.000","45,088.000","229,685.000","226,295.000","199,588.000","285,146.000","366,233.000"
    Growth (YoY),COMMUNITY_SPENDING,-3.939,-82.970,-73.414,24.551,143.693,409.415,-1.476,-11.802,42.867,28.437
Number of Customer Complaints,CUSTOMER_COMPLAINTS,"9,781.000","9,028.000",565.000,516.000,—,—,—,—,—,—
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,—,—,—,—,12.000,—,16.120,19.350,22.222,22.220
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,—,—,—,—,—,—,—,20.037,14.842,-0.009
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,20.000,—,23.580,29.730,30.747,31.300
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,—,—,—,26.081,3.421,1.799
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,24.000,23.420,22.290,22.120,22.440,23.000,23.260,25.200,27.000,25.940
    Growth (YoY),PCT_WOMEN_EMPLOYEES,-0.785,-2.417,-4.825,-0.763,1.447,2.496,1.130,8.341,7.143,-3.926
Pct Disabled in Workforce,PCT_DISABLED_IN_WORKFORCE,—,—,—,—,6.140,7.590,7.070,6.000,6.000,2.000
