,,,,,,,,,,,
Enbridge Inc (ENB CN) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of CAD except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
12 Months Ending,,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023,12/31/2024
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,4.160,4.680,4.000,4.470,4.690,5.570,5.230,5.730,—,—
    Growth (YoY),ESG_SCORE,—,12.500,-14.530,11.750,4.922,18.763,-6.104,9.560,—,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,2.900,4.030,3.940,4.270,4.760,6.620,5.720,7.010,—,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,38.957,-2.090,8.361,11.509,38.870,-13.581,22.624,—,—
BESG Social Pillar Score,SOCIAL_SCORE,2.670,2.670,0.670,1.910,1.910,1.910,1.910,1.910,—,—
    Growth (YoY),SOCIAL_SCORE,—,0.000,-74.761,183.601,0.000,0.000,0.000,0.000,—,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,7.430,7.330,7.320,6.950,6.930,7.240,7.400,7.240,—,—
    Growth (YoY),GOVERNANCE_SCORE,—,-1.381,-0.084,-4.980,-0.325,4.444,2.152,-2.049,—,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,66.834,67.066,66.442,70.275,70.617,72.578,78.614,79.992,—,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,11.758,0.346,-0.930,5.768,0.487,2.778,8.316,1.753,—,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,51.797,51.797,57.143,57.475,57.475,58.895,75.204,75.204,—,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,-9.499,0.000,10.321,0.581,0.000,2.470,27.692,0.000,—,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,61.850,61.850,54.625,65.810,66.838,65.024,66.838,70.979,—,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,69.231,0.000,-11.681,20.476,1.562,-2.714,2.789,6.196,—,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,86.785,87.477,87.477,87.477,87.477,93.739,93.739,93.739,—,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,1.478,0.798,0.000,0.000,0.000,7.158,0.000,0.000,—,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,2.399,2.267,17.042,17.588,10.955,9.414,11.070,9.456,9.945,—
    Growth (YoY),NOX_EMISSIONS,-7.755,-5.520,651.767,3.207,-37.713,-14.067,17.591,-14.580,5.171,—
VOC Emissions,VOC_EMISSIONS,4.635,4.479,5.821,4.803,4.727,4.901,4.142,4.193,3.767,—
    Growth (YoY),VOC_EMISSIONS,15.306,-3.362,29.944,-17.486,-1.582,3.681,-15.487,1.231,-10.160,—
Carbon Monoxide Emissions,CARBON_MONOXIDE_EMISSIONS,1.472,1.489,7.651,7.121,3.694,3.232,3.354,2.963,3.392,—
    Growth (YoY),CARBON_MONOXIDE_EMISSIONS,-6.653,1.148,413.825,-6.925,-48.125,-12.507,3.775,-11.658,14.479,—
Particulate Emissions,PARTICULATE_EMISSIONS,2.809,2.534,3.224,3.283,1.396,1.173,1.806,1.156,1.274,—
    Growth (YoY),PARTICULATE_EMISSIONS,347.309,-9.800,27.243,1.827,-57.478,-15.974,53.964,-35.991,10.208,—
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,0.398,0.518,8.829,6.757,0.100,0.112,0.121,0.120,0.130,—
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,-1.241,30.219,"1,603.456",-23.464,-98.520,12.000,8.036,-0.826,8.333,—
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,n/a
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,n/a
CO2 Scope 1,CO2_SCOPE_1,—,—,—,—,—,"5,337.000","6,082.000","6,425.000",—,—
    Growth (YoY),CO2_SCOPE_1,—,—,—,—,—,—,13.959,5.640,—,—
GHG Scope 1,GHG_SCOPE_1,"2,206.500","2,454.700","10,212.000","10,042.000","6,962.000","6,853.000","7,431.000","7,715.000","7,480.000",—
    Growth (YoY),GHG_SCOPE_1,-3.435,11.249,316.018,-1.665,-30.671,-1.566,8.434,3.822,-3.046,—
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,"4,757.300","5,224.800","6,436.000","6,786.000","6,489.000","5,827.000","5,997.000","6,693.000","7,148.000",—
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,20.713,9.827,23.182,5.438,-4.377,-10.202,2.917,11.606,6.798,—
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,—,"6,039.330","6,117.000","5,961.000",—
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,—,—,1.286,-2.550,—
GHG Scope 3,GHG_SCOPE_3,"22,705.600","21,504.301","46,507.102","50,226.199","50,902.602","47,477.398","50,172.602","55,913.898","54,634.102",—
    Growth (YoY),GHG_SCOPE_3,-5.811,-5.291,116.269,7.997,1.347,-6.729,5.677,11.443,-2.289,—
Scope of Disclosure,SCOPE_OF_DISCLOSURE,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,—,—
    Growth (YoY),SCOPE_OF_DISCLOSURE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—,—
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Total Energy Consumption,ENERGY_CONSUMPTION,"16,428.199","17,259.699","47,150.801","46,412.500","41,792.199","40,841.898","46,521.398","42,602.102","48,595.801",—
    Growth (YoY),ENERGY_CONSUMPTION,4.744,5.061,173.184,-1.566,-9.955,-2.274,13.906,-8.425,14.069,—
Renewable Energy Use,RENEW_ENERGY_USE,—,—,—,—,—,—,101.224,"2,333.990",—,—
    Growth (YoY),RENEW_ENERGY_USE,—,—,—,—,—,—,—,"2,205.767",—,—
Electricity Used,ELECTRICITY_USED,"7,478.060","8,721.940","11,616.700","12,366.400","12,229.700","11,617.500","13,150.600","8,495.150","15,615.300",—
    Growth (YoY),ELECTRICITY_USED,25.570,16.634,33.189,6.454,-1.105,-5.006,13.196,-35.401,83.814,—
Self Generated Renewable Electricity,SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,—,—,—,101.224,14.673,—,—
    Growth (YoY),SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,—,—,—,—,-85.504,—,—
Fuel Used - Coal/Lignite,COAL_USED,—,—,—,—,—,—,0.000,0.000,—,—
Fuel Used - Natural Gas,NAT_GAS_USED,—,—,—,—,—,—,"926,142.000","3,417,760.000",—,—
    Growth (YoY),NAT_GAS_USED,—,—,—,—,—,—,—,269.032,—,—
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,—,—,—,—,—,—,0.000,0.000,—,—
    Growth (YoY),OIL_DIESEL_USED,—,—,—,—,—,—,—,—,—,—
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,n/a
Hazardous Waste,HAZARDOUS_WASTE,3.318,4.538,12.613,3.636,1.091,0.617,0.592,0.363,0.473,—
    Growth (YoY),HAZARDOUS_WASTE,—,36.769,177.942,-71.173,-69.994,-43.446,-4.052,-38.682,30.303,—
Total Waste,TOTAL_WASTE,51.352,60.504,124.289,68.609,23.557,20.870,180.773,137.848,44.210,—
    Growth (YoY),TOTAL_WASTE,—,17.822,105.423,-44.799,-65.665,-11.406,766.186,-23.745,-67.928,—
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,—,—,0.525,0.424,1.043,1.044,0.934,1.251,0.966,—
    Growth (YoY),WASTE_SENT_TO_LANDFILLS,—,—,—,-19.238,145.991,0.096,-10.536,33.940,-22.782,—
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,—,—,727.000,"8,421.000",121.000,18.000,209.000,81.000,42.000,—
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,—,—,—,"1,058.322",-98.563,-85.124,"1,061.111",-61.244,-48.148,—
Total Water Discharged,TOTAL_WATER_DISCHARGED,—,—,—,—,—,—,209.000,81.000,42.000,—
    Growth (YoY),TOTAL_WATER_DISCHARGED,—,—,—,—,—,—,—,-61.244,-48.148,—
Water Consumption,WATER_CONSMPTN,—,—,—,—,—,—,0.000,0.000,0.000,—
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,n/a
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,No,No,n/a,n/a
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,No,No,n/a,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,No,No,n/a,n/a
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,No,No,No,No,No,No,No,No,No,n/a
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,No,No,No,No,Yes,Yes,Yes,Yes,Yes,n/a
Community Spending,COMMUNITY_SPENDING,19.000,13.400,23.900,17.400,23.000,25.200,23.000,22.000,23.400,—
    Growth (YoY),COMMUNITY_SPENDING,18.750,-29.474,78.358,-27.197,32.184,9.565,-8.730,-4.348,6.364,—
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,21.600,19.000,24.660,22.800,28.300,28.620,30.502,31.420,33.100,—
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,-7.613,-12.037,29.789,-7.543,24.123,1.131,6.575,3.010,5.347,—
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,27.750,27.100,28.100,27.130,31.760,32.360,31.320,30.580,31.740,—
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,-2.342,3.690,-3.452,17.066,1.889,-3.214,-2.363,3.793,—
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,33.500,33.100,30.040,30.300,31.300,31.000,30.800,30.900,31.200,—
    Growth (YoY),PCT_WOMEN_EMPLOYEES,-2.361,-1.194,-9.245,0.866,3.300,-0.958,-0.645,0.325,0.971,—
Pct Minorities in Management,PCT_MINORITY_MGT,—,—,12.900,12.300,16.900,18.800,20.500,22.100,22.800,—
    Growth (YoY),PCT_MINORITY_MGT,—,—,—,-4.651,37.398,11.243,9.043,7.805,3.167,—
Pct Minorities in Workforce,PCT_MINORITY_EMPLOYEES,—,—,14.700,15.700,18.600,21.100,23.100,24.500,26.300,—
    Growth (YoY),PCT_MINORITY_EMPLOYEES,—,—,—,6.803,18.471,13.441,9.479,6.061,7.347,—
