,,,,,,,,,,,
Energy Transfer LP (ET US) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
12 Months Ending,,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023,12/31/2024
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,1.120,1.090,1.080,1.220,2.070,3.200,3.110,3.310,—,—
    Growth (YoY),ESG_SCORE,—,-2.679,-0.917,12.963,69.672,54.589,-2.813,6.431,—,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,0.000,0.000,0.000,0.500,1.650,3.400,2.930,3.570,—,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,—,—,231.299,105.981,-13.676,21.968,—,—
BESG Social Pillar Score,SOCIAL_SCORE,0.000,0.000,0.000,0.000,0.990,1.910,1.910,1.910,—,—
    Growth (YoY),SOCIAL_SCORE,—,—,—,—,—,92.088,0.000,0.000,—,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,4.590,4.450,4.420,3.720,3.610,3.920,4.310,4.000,—,—
    Growth (YoY),GOVERNANCE_SCORE,—,-2.999,-0.697,-15.815,-3.013,8.529,9.890,-7.086,—,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,18.399,19.002,19.213,23.982,27.180,31.395,30.872,33.890,—,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,-0.164,3.280,1.112,24.817,13.339,15.507,-1.666,9.775,—,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,0.332,0.332,0.332,3.171,4.772,5.618,5.618,14.225,—,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,-66.667,0.000,0.000,854.545,50.476,17.722,0.000,153.226,—,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,11.729,13.543,14.178,25.665,26.693,38.513,36.941,37.394,—,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,40.072,15.464,4.688,81.023,4.005,44.281,-4.082,1.227,—,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,43.046,43.046,43.046,43.046,50.000,50.000,50.000,50.000,—,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,-6.045,0.000,0.000,0.000,16.154,0.000,0.000,0.000,—,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,—,—,—,—,—,—,—,0.859,0.915,—
    Growth (YoY),NOX_EMISSIONS,—,—,—,—,—,—,—,—,6.519,—
VOC Emissions,VOC_EMISSIONS,—,—,—,—,—,—,—,0.570,0.603,—
    Growth (YoY),VOC_EMISSIONS,—,—,—,—,—,—,—,—,5.789,—
Carbon Monoxide Emissions,CARBON_MONOXIDE_EMISSIONS,—,—,—,—,—,—,—,0.899,0.958,—
    Growth (YoY),CARBON_MONOXIDE_EMISSIONS,—,—,—,—,—,—,—,—,6.563,—
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,No,No,No,No,Yes,Yes,Yes,Yes,Yes,n/a
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,n/a
Climate Change Policy,CLIMATE_CHG_POLICY,No,No,No,No,No,No,No,No,No,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,—,—,—,"10,019.800","10,451.600","13,765.700","12,993.700","13,458.200",—,—
    Growth (YoY),CO2_SCOPE_1,—,—,—,—,4.309,31.709,-5.608,3.575,—,—
GHG Scope 1,GHG_SCOPE_1,—,—,—,"13,549.500","12,672.300","17,328.500","16,560.699","17,343.500",—,—
    Growth (YoY),GHG_SCOPE_1,—,—,—,—,-6.474,36.743,-4.431,4.727,—,—
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,No,No,No,No,Yes,Yes,Yes,Yes,Yes,n/a
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,No,No,No,No,No,No,No,No,No,n/a
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No,No,No,No,No,No,No,n/a
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,No,No,No,No,No,Yes,Yes,Yes,Yes,n/a
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,No,No,No,Yes,Yes,Yes,Yes,Yes,n/a
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,n/a
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,n/a
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,n/a
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,No,No,No,No,Yes,Yes,Yes,Yes,Yes,n/a
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,No,No,No,No,No,No,n/a
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,No,No,No,No,No,No,No,No,No,n/a
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,—,—,—,—,—,7.700,7.400,6.800,6.530,—
    Growth (YoY),COMMUNITY_SPENDING,—,—,—,—,—,—,-3.896,-8.108,-3.971,—
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,No,No,No,No,No,Yes,Yes,Yes,Yes,n/a
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,No,No,No,No,No,n/a
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,—,—,—,18.700,18.880,19.080,—,—,—,—
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,—,—,—,—,0.963,1.059,—,—,—,—
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,18.700,18.900,19.100,19.300,18.000,18.200,—
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,1.070,1.058,1.047,-6.736,1.111,—
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,—,—,—,16.630,16.900,16.400,16.000,14.000,14.400,—
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,—,—,—,1.624,-2.959,-2.439,-12.500,2.857,—
Pct Minorities in Management,PCT_MINORITY_MGT,—,—,—,27.300,27.800,27.300,19.700,17.000,17.000,—
    Growth (YoY),PCT_MINORITY_MGT,—,—,—,—,1.832,-1.799,-27.839,-13.706,0.000,—
Pct Minorities in Workforce,PCT_MINORITY_EMPLOYEES,—,—,—,27.300,27.800,27.300,27.600,27.000,28.000,—
    Growth (YoY),PCT_MINORITY_EMPLOYEES,—,—,—,—,1.832,-1.799,1.099,-2.174,3.704,—
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,No,No,No,No,No,No,No,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,—,—,—,1.000,0.000,1.000,0.000,0.000,0.000,—
Fatalities - Contractors,FATALITIES_CONTRACTORS,—,—,—,—,—,0.000,0.000,0.000,0.000,—
Fatalities - Total,FATALITIES_TOTAL,—,—,—,—,—,1.000,0.000,0.000,0.000,—
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,—,—,—,0.390,0.270,0.350,0.540,0.650,0.380,—
    Growth (YoY),LOST_TIME_INCIDENT_RATE,—,—,—,—,-30.769,29.630,54.286,20.370,-41.538,—
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,—,—,0.000,0.570,0.670,1.000,—
    Growth (YoY),LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,—,—,—,—,17.544,49.254,—
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,1.670,1.160,1.290,0.940,0.860,0.880,1.010,0.770,0.700
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,—,-30.539,11.207,-27.132,-8.511,2.326,14.773,-23.762,-9.091
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,—,—,0.530,0.620,0.630,—,—
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,—,—,—,16.981,1.613,—,—
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,n/a
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"30,078.000","30,992.000","29,486.000","11,768.000","12,812.000","11,421.000","12,558.000","12,565.000","13,786.000","16,248.000"
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,5.850,5.670,5.200,12.000,12.100,10.650,10.860,10.890,10.310,9.030
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,0.343,-3.077,-8.289,130.769,0.833,-11.983,1.972,0.276,-5.326,-12.415
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,n/a
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,No,No,No,No,No,No,No,No,n/a
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,12.000,13.000,14.000,15.000,16.000,17.000,18.000,19.000,20.000,21.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,9.091,8.333,7.692,7.143,6.667,6.250,5.882,5.556,5.263,5.000
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,—
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,—
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,No,No,No,No,No,No,No,No,No,n/a
Board Size,BOARD_SIZE,7.000,7.000,7.000,8.000,10.000,11.000,11.000,10.000,9.000,—
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,6.000,5.000,5.000,7.000,7.000,7.000,7.000,8.000,8.000,—
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,4.000,4.000,4.000,4.000,6.000,7.000,7.000,7.000,6.000,—
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,No,No,No,No,Yes,Yes,Yes,Yes,Yes,n/a
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,No,No,No,No,No,No,No,No,No,n/a
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,—,—,—,—,—,—,—,—,—,—
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—
