,,,,,,
Eneva SA (ENEV3 BZ) - Overview,,,,,,
,,,,,,
In Millions of BRL except Per Share,,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,
BESG ESG Score,ESG_SCORE,—,—,3.550,3.740,—
    Growth (YoY),ESG_SCORE,—,—,—,5.352,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,—,2.860,3.290,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,—,14.736,—
BESG Social Pillar Score,SOCIAL_SCORE,—,—,3.680,3.780,—
    Growth (YoY),SOCIAL_SCORE,—,—,—,2.803,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,—,4.670,4.520,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,—,-3.179,—
,,,,,,
ESG Disclosure Scores,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,47.752,55.246,57.620,57.147,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,—,15.694,4.297,-0.821,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,36.062,49.290,64.089,68.016,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,—,36.683,30.025,6.126,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,43.742,47.461,44.075,44.075,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,—,8.500,-7.134,0.000,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,63.396,68.934,64.660,59.332,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,—,8.737,-6.201,-8.240,—
,,,,,,
Environmental,,,,,,
Air Quality,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,3.397,2.590,4.713,0.490,1.040
    Growth (YoY),NOX_EMISSIONS,—,-23.770,82.013,-89.610,112.281
Carbon Monoxide Emissions,CARBON_MONOXIDE_EMISSIONS,—,0.124,3.498,0.202,0.181
    Growth (YoY),CARBON_MONOXIDE_EMISSIONS,—,—,"2,720.076",-94.216,-10.528
Particulate Emissions,PARTICULATE_EMISSIONS,0.283,0.181,0.403,0.000,0.026
    Growth (YoY),PARTICULATE_EMISSIONS,—,-35.885,121.932,—,—
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,11.186,7.482,13.393,0.000,0.356
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,-33.113,79.013,—,—
,,,,,,
Climate Change,,,,,,
