,,,,,,,,,,,
Equinor ASA (EQNR NO) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,5.610,5.380,5.820,6.200,6.160,6.100,6.130,6.270,—
    Growth (YoY),ESG_SCORE,—,—,-4.100,8.178,6.529,-0.645,-0.974,0.492,2.284,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,6.040,5.990,6.330,6.400,6.760,6.620,6.750,6.910,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,-0.757,5.587,1.144,5.557,-1.982,1.859,2.418,—
BESG Social Pillar Score,SOCIAL_SCORE,—,3.150,2.390,3.970,4.770,4.270,4.310,4.270,4.500,—
    Growth (YoY),SOCIAL_SCORE,—,—,-24.163,66.258,20.151,-10.395,0.786,-0.802,5.472,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,7.820,8.100,7.060,7.440,7.260,7.200,7.180,7.140,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,3.596,-12.922,5.366,-2.421,-0.740,-0.355,-0.442,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,52.792,60.145,60.970,61.422,63.112,63.686,64.994,67.337,67.337,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,0.633,13.929,1.371,0.742,2.751,0.909,2.053,3.606,0.000,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,52.613,55.754,57.656,57.989,61.492,63.214,67.140,73.150,73.150,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,0.000,5.970,3.413,0.576,6.042,2.800,6.211,8.952,0.000,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,35.187,41.566,41.566,42.594,44.166,44.166,44.166,45.194,45.194,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,2.918,18.127,0.000,2.473,3.691,0.000,0.000,2.327,0.000,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,70.500,83.022,83.594,83.594,83.594,83.594,83.594,83.594,83.594,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.000,17.763,0.689,0.000,0.000,0.000,0.000,0.000,0.000,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,46.700,42.000,39.000,40.000,42.000,41.000,36.000,34.000,32.000,30.000
    Growth (YoY),NOX_EMISSIONS,1.302,-10.064,-7.143,2.564,5.000,-2.381,-12.195,-5.556,-5.882,-6.250
VOC Emissions,VOC_EMISSIONS,71.800,60.000,49.000,49.000,46.000,40.000,35.000,26.000,23.000,33.000
    Growth (YoY),VOC_EMISSIONS,24.653,-16.435,-18.333,0.000,-6.122,-13.043,-12.500,-25.714,-11.538,43.478
Particulate Emissions,PARTICULATE_EMISSIONS,—,—,—,—,—,—,—,0.300,0.400,0.300
    Growth (YoY),PARTICULATE_EMISSIONS,—,—,—,—,—,—,—,—,33.333,-25.000
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,2.200,2.500,1.800,1.700,1.800,2.200,1.300,0.900,1.100,1.100
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,10.000,13.636,-28.000,-5.556,5.882,22.222,-40.909,-30.769,22.222,0.000
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Risks of Climate Change Discussed,CLIMATE_RISKS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,"15,300.000","15,400.000","14,800.000","14,900.000","14,400.000","14,200.000","12,900.000","11,600.000","11,100.000","11,100.000"
    Growth (YoY),CO2_SCOPE_1,1.325,0.654,-3.896,0.676,-3.356,-1.389,-9.155,-10.078,-4.310,0.000
CO2 Scope 2 Location-Based,CO2_SCOPE_2_LOCATION_BASED,269.000,311.000,—,—,—,—,—,—,—,—
    Growth (YoY),CO2_SCOPE_2_LOCATION_BASED,-38.388,15.613,—,—,—,—,—,—,—,—
GHG Scope 1,GHG_SCOPE_1,"16,300.000","16,300.000","15,400.000","15,400.000","14,900.000","14,700.000","13,300.000","12,000.000","11,400.000","11,500.000"
    Growth (YoY),GHG_SCOPE_1,1.875,0.000,-5.521,0.000,-3.247,-1.342,-9.524,-9.774,-5.000,0.877
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,300.000,300.000,300.000,300.000,200.000,200.000,300.000,100.000,100.000,100.000
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,-31.287,0.000,0.000,0.000,-33.333,0.000,50.000,-66.667,0.000,0.000
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,"2,500.000","2,600.000","2,600.000","3,000.000","2,900.000","2,500.000","2,700.000","2,500.000","3,100.000"
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,—,4.000,0.000,15.385,-3.333,-13.793,8.000,-7.407,24.000
GHG Scope 3,GHG_SCOPE_3,"288,000.000","239,000.000","296,100.000","310,100.000","252,100.000","247,100.000","254,920.000","252,810.000","246,850.000","254,190.000"
    Growth (YoY),GHG_SCOPE_3,3.597,-17.014,23.891,4.728,-18.704,-1.983,3.165,-0.828,-2.358,2.973
Scope of Disclosure,SCOPE_OF_DISCLOSURE,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
    Growth (YoY),SCOPE_OF_DISCLOSURE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,—,—,—,—,—,—,—,0.053,0.052,—
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,—,—,—,—,—,—,—,—,-1.113,—
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,"73,100.000","75,000.000","73,000.000","70,000.000","71,000.000","70,000.000","65,000.000","59,000.000","56,000.000","58,000.000"
    Growth (YoY),ENERGY_CONSUMPTION,0.967,2.599,-2.667,-4.110,1.429,-1.408,-7.143,-9.231,-5.085,3.571
Renewable Energy Use,RENEW_ENERGY_USE,—,—,—,—,"5,756.880","5,256.160","6,214.540","6,705.850","6,266.020",—
    Growth (YoY),RENEW_ENERGY_USE,—,—,—,—,—,-8.698,18.233,7.906,-6.559,—
Electricity Used,ELECTRICITY_USED,"4,280.870","5,339.550",—,—,"6,248.770","5,757.130","7,000.000","7,000.000","6,000.000","7,000.000"
    Growth (YoY),ELECTRICITY_USED,-0.286,24.730,—,—,—,-7.868,21.588,0.000,-14.286,16.667
Self Generated Renewable Electricity,SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,—,—,0.000,0.000,0.000,13.064,—
Fuel Used - Coal/Lignite,COAL_USED,—,0.000,—,—,—,—,—,0.000,0.000,—
Fuel Used - Natural Gas,NAT_GAS_USED,—,—,—,—,"4,297,510.000","4,111,750.000","5,013,930.000","4,512,540.000","4,211,700.000","4,311,980.000"
    Growth (YoY),NAT_GAS_USED,—,—,—,—,—,-4.323,21.942,-10.000,-6.667,2.381
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,—,—,—,—,413.547,452.448,499.679,499.679,499.679,499.679
    Growth (YoY),OIL_DIESEL_USED,—,—,—,—,—,9.407,10.439,0.000,0.000,0.000
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,339.000,309.000,438.000,296.000,244.000,313.000,318.000,280.000,304.000,339.000
    Growth (YoY),HAZARDOUS_WASTE,-10.317,-8.850,41.748,-32.420,-17.568,28.279,1.597,-11.950,8.571,11.513
Total Waste,TOTAL_WASTE,593.000,464.000,569.000,435.000,330.000,437.000,364.000,313.000,342.200,389.000
    Growth (YoY),TOTAL_WASTE,34.467,-21.754,22.629,-23.550,-24.138,32.424,-16.705,-14.011,9.329,13.676
Waste Recycled,WASTE_RECYCLED,—,—,—,—,—,—,28.340,21.010,28.600,22.800
    Growth (YoY),WASTE_RECYCLED,—,—,—,—,—,—,—,-25.865,36.126,-20.280
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,—,—,—,—,—,—,96.000,58.090,55.200,73.000
    Growth (YoY),WASTE_SENT_TO_LANDFILLS,—,—,—,—,—,—,—,-39.490,-4.975,32.246
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,"15,000.000","12,000.000","11,000.000","12,000.000","13,000.000","12,000.000","8,000.000","8,000.000","6,000.000","6,000.000"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,25.000,-20.000,-8.333,9.091,8.333,-7.692,-33.333,0.000,-25.000,0.000
Total Water Discharged,TOTAL_WATER_DISCHARGED,"4,000.000",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Water Consumption,WATER_CONSMPTN,"15,000.000","12,000.000","11,000.000","12,000.000","13,000.000","12,000.000","8,000.000","8,000.000","6,000.000","6,000.000"
    Growth (YoY),WATER_CONSMPTN,—,-20.000,-8.333,9.091,8.333,-7.692,-33.333,0.000,-25.000,0.000
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,n/a
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,No,No,No,No,No,No,Yes,Yes,Yes
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,—,46.000,5.673,5.100,2.100,3.100,1.400,1.900,6.300,3.400
    Growth (YoY),COMMUNITY_SPENDING,—,—,-87.667,-10.100,-58.824,47.619,-54.839,35.714,231.579,-46.032
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,—,—,—,—,—,—,—,—,—,—
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,—,—,—,—,—,—,—,—,—,—
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,29.000,30.000,32.000,35.000,35.000,35.000
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,—,3.448,6.667,9.375,0.000,0.000
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,31.000,30.000,31.000,30.000,31.000,30.000,31.000,31.000,31.000,32.000
    Growth (YoY),PCT_WOMEN_EMPLOYEES,0.000,-3.226,3.333,-3.226,3.333,-3.226,3.333,0.000,0.000,3.226
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Political Donations,POLITICAL_DONATIONS,—,—,—,—,—,—,—,—,—,0.000
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
