,,,,,,,,,,,
Exxon Mobil Corp (XOM US) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
12 Months Ending,,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023,12/31/2024
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,4.260,4.470,4.760,4.770,5.230,5.110,5.260,5.400,5.330,—
    Growth (YoY),ESG_SCORE,—,4.930,6.488,0.210,9.644,-2.294,2.935,2.662,-1.296,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,2.960,3.360,3.490,3.750,4.450,4.680,4.630,4.630,4.720,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,13.394,3.962,7.378,18.574,5.334,-1.101,0.074,1.839,—
BESG Social Pillar Score,SOCIAL_SCORE,4.330,4.410,4.390,4.170,4.720,3.800,3.860,4.130,4.080,—
    Growth (YoY),SOCIAL_SCORE,—,1.792,-0.433,-5.004,13.042,-19.492,1.705,7.053,-1.322,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,6.760,6.660,7.670,7.420,7.260,7.410,8.100,8.310,7.900,—
    Growth (YoY),GOVERNANCE_SCORE,—,-1.465,15.202,-3.280,-2.066,1.975,9.346,2.642,-5.007,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,62.609,64.943,66.724,66.915,67.619,67.619,67.619,66.231,66.331,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,2.757,3.728,2.742,0.286,1.052,0.000,0.000,-2.053,0.152,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,46.089,48.928,52.854,52.854,54.274,54.274,54.274,54.274,54.274,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,3.178,6.160,8.025,0.000,2.686,0.000,0.000,0.000,0.000,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,49.849,54.021,55.441,55.441,55.441,55.441,55.441,51.270,50.877,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,7.848,8.369,2.630,0.000,0.000,0.000,0.000,-7.525,-0.767,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,91.782,91.782,91.782,92.354,93.046,93.046,93.046,93.046,93.739,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.000,0.000,0.000,0.623,0.750,0.000,0.000,0.000,0.744,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,140.000,130.000,120.000,120.000,120.000,100.000,100.000,110.000,120.000,—
    Growth (YoY),NOX_EMISSIONS,0.000,-7.143,-7.692,0.000,0.000,-16.667,0.000,10.000,9.091,—
VOC Emissions,VOC_EMISSIONS,160.000,150.000,150.000,170.000,150.000,100.000,120.000,110.000,100.000,—
    Growth (YoY),VOC_EMISSIONS,-20.000,-6.250,0.000,13.333,-11.765,-33.333,20.000,-8.333,-9.091,—
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,110.000,110.000,100.000,100.000,90.000,70.000,80.000,80.000,60.000,—
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,10.000,0.000,-9.091,0.000,-10.000,-22.222,14.286,0.000,-25.000,—
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,No,No,No,Yes,Yes,n/a
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,n/a
Risks of Climate Change Discussed,CLIMATE_RISKS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
CO2 Scope 1,CO2_SCOPE_1,"114,000.000","99,000.000","95,000.000","97,000.000","94,000.000","90,000.000","91,000.000","91,000.000","88,000.000",—
    Growth (YoY),CO2_SCOPE_1,—,-13.158,-4.040,2.105,-3.093,-4.255,1.111,0.000,-3.297,—
GHG Scope 1,GHG_SCOPE_1,"118,000.000","112,000.000","107,000.000","109,000.000","102,000.000","97,000.000","98,000.000","98,000.000","94,000.000",—
    Growth (YoY),GHG_SCOPE_1,-2.479,-5.085,-4.464,1.869,-6.422,-4.902,1.031,0.000,-4.082,—
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,"8,000.000","8,000.000","9,000.000","9,000.000","9,000.000","7,000.000","7,000.000","7,000.000","7,000.000",—
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,0.000,0.000,12.500,0.000,0.000,-22.222,0.000,0.000,0.000,—
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,"8,000.000","9,000.000","9,000.000","9,000.000","7,000.000","7,000.000","4,000.000","6,000.000",—
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,—,12.500,0.000,0.000,-22.222,0.000,-42.857,50.000,—
GHG Scope 3,GHG_SCOPE_3,—,—,—,—,"730,000.000","650,000.000","690,000.000","720,000.000","730,000.000",—
    Growth (YoY),GHG_SCOPE_3,—,—,—,—,—,-10.959,6.154,4.348,1.389,—
Scope of Disclosure,SCOPE_OF_DISCLOSURE,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,—
    Growth (YoY),SCOPE_OF_DISCLOSURE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,—,0.260,0.260,0.260,0.256,0.250,0.240,0.232,0.233,—
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,—,—,0.000,0.000,-1.538,-2.344,-4.000,-3.333,0.431,—
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Total Energy Consumption,ENERGY_CONSUMPTION,"472,222.000","416,667.000","388,889.000","416,667.000","416,667.000","416,667.000","416,667.000","416,667.000","388,889.000",—
    Growth (YoY),ENERGY_CONSUMPTION,6.250,-11.765,-6.667,7.143,0.000,0.000,0.000,0.000,-6.667,—
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Hazardous Waste,HAZARDOUS_WASTE,200.000,100.000,400.000,400.000,500.000,300.000,500.000,500.000,600.000,—
    Growth (YoY),HAZARDOUS_WASTE,-33.333,-50.000,300.000,0.000,25.000,-40.000,66.667,0.000,20.000,—
Total Waste,TOTAL_WASTE,—,—,"1,000.000","1,100.000","2,200.000","1,100.000","1,200.000","1,000.000","1,300.000",—
    Growth (YoY),TOTAL_WASTE,—,—,—,10.000,100.000,-50.000,9.091,-16.667,30.000,—
Waste Recycled,WASTE_RECYCLED,—,—,400.000,500.000,"1,200.000",600.000,400.000,300.000,400.000,—
    Growth (YoY),WASTE_RECYCLED,—,—,—,25.000,140.000,-50.000,-33.333,-25.000,33.333,—
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,"450,000.000","430,000.000","440,000.000","470,000.000","460,000.000","460,000.000","440,000.000","450,000.000","440,000.000",—
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,7.143,-4.444,2.326,6.818,-2.128,0.000,-4.348,2.273,-2.222,—
Water Consumption,WATER_CONSMPTN,—,"280,000.000","290,000.000","310,000.000","300,000.000","300,000.000","270,000.000","290,000.000","290,000.000",—
    Growth (YoY),WATER_CONSMPTN,—,—,3.571,6.897,-3.226,0.000,-10.000,7.407,0.000,—
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,No,No,No,No,No,n/a
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,No,No,No,No,No,n/a
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,No,No,No,No,No,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,No,No,No,No,No,n/a
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,No,No,No,No,No,No,No,No,No,n/a
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,—,241.500,204.000,211.000,252.500,202.800,163.400,158.300,158.500,—
    Growth (YoY),COMMUNITY_SPENDING,—,—,-15.528,3.431,19.668,-19.683,-19.428,-3.121,0.126,—
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,n/a
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,17.000,18.000,20.000,20.000,22.000,24.000,27.000,29.000,30.000,—
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,0.000,5.882,11.111,0.000,10.000,9.091,12.500,7.407,3.448,—
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,28.000,28.000,28.000,29.000,29.000,29.000,29.000,28.000,28.000,—
    Growth (YoY),PCT_WOMEN_EMPLOYEES,0.000,0.000,0.000,3.571,0.000,0.000,0.000,-3.448,0.000,—
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Political Donations,POLITICAL_DONATIONS,0.580,0.520,0.510,0.620,1.130,0.540,0.520,0.490,0.570,—
    Growth (YoY),POLITICAL_DONATIONS,-50.427,-10.345,-1.923,21.569,82.258,-52.212,-3.704,-5.769,16.327,—
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Fatalities - Employees,FATALITIES_EMPLOYEES,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,—
Fatalities - Contractors,FATALITIES_CONTRACTORS,2.000,3.000,2.000,3.000,1.000,0.000,1.000,3.000,1.000,—
Fatalities - Total,FATALITIES_TOTAL,2.000,3.000,2.000,3.000,1.000,1.000,1.000,3.000,2.000,—
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,0.045,0.027,0.030,0.040,0.030,0.020,0.020,0.030,0.010,—
    Growth (YoY),LOST_TIME_INCIDENT_RATE,40.625,-40.000,11.111,33.333,-25.000,-33.333,0.000,50.000,-66.667,—
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,0.029,0.030,0.030,0.030,0.030,0.020,0.030,0.020,0.030,—
    Growth (YoY),LOST_TIME_INCIDENT_RT_CNTRCTR,-3.333,3.448,0.000,0.000,0.000,-33.333,50.000,-33.333,50.000,—
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,0.035,0.029,0.030,0.030,0.030,0.020,0.020,0.020,0.020,—
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,—,-17.143,3.448,0.000,0.000,-33.333,0.000,0.000,0.000,—
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,0.210,0.160,0.150,0.150,0.150,0.100,0.110,0.120,0.100,—
