,,,,,,,,,,,
Fonterra Co-operative Group Ltd (FSF NZ) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of NZD except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
12 Months Ending,,07/31/2015,07/31/2016,07/31/2017,07/31/2018,07/31/2019,07/31/2020,07/31/2021,07/31/2022,07/31/2023,07/31/2024
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,1.300,1.710,3.180,3.640,3.910,4.060,4.040,4.290,4.790,—
    Growth (YoY),ESG_SCORE,—,31.538,85.965,14.465,7.418,3.836,-0.493,6.188,11.655,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,0.650,1.330,2.440,2.830,3.240,2.770,2.740,2.920,4.190,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,105.987,83.025,16.053,14.365,-14.516,-1.161,6.893,43.256,—
BESG Social Pillar Score,SOCIAL_SCORE,0.790,0.960,2.760,3.720,3.580,4.050,4.120,4.620,4.650,—
    Growth (YoY),SOCIAL_SCORE,—,21.266,189.092,34.692,-3.794,12.963,1.867,12.222,0.551,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,3.040,3.210,4.790,4.770,5.250,6.100,5.980,6.050,5.810,—
    Growth (YoY),GOVERNANCE_SCORE,—,5.381,49.276,-0.429,10.245,16.023,-1.896,1.227,-4.093,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,33.317,43.346,55.427,58.002,59.129,59.602,61.060,64.823,64.350,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,21.586,30.103,27.872,4.646,1.942,0.800,2.447,6.161,-0.729,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,6.071,33.615,52.280,52.280,55.663,57.083,57.083,59.015,57.596,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,191.304,453.731,55.526,0.000,6.470,2.550,0.000,3.386,-2.405,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,15.115,17.684,29.021,36.759,36.759,36.759,41.143,50.514,50.514,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,4.384,17.000,64.103,26.667,0.000,0.000,11.924,22.777,0.000,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,78.597,78.597,84.859,84.859,84.859,84.859,84.859,84.859,84.859,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,19.991,0.000,7.966,0.000,0.000,0.000,0.000,0.000,0.000,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,n/a
Climate Change Policy,CLIMATE_CHG_POLICY,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,Yes
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,No,No,No,Yes,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,—,—,—,—,—,"1,478.260","1,377.420","1,333.200",—,—
    Growth (YoY),CO2_SCOPE_1,—,—,—,—,—,—,-6.822,-3.210,—,—
GHG Scope 1,GHG_SCOPE_1,—,"1,445.000","1,440.000","1,726.000","1,701.000","1,695.670","1,547.000","1,314.000","1,311.000","1,304.000"
    Growth (YoY),GHG_SCOPE_1,—,—,-0.346,19.861,-1.448,-0.313,-8.768,-15.061,-0.228,-0.534
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,656.000,630.000,701.000,662.000,627.784,652.000,523.000,468.000,383.000
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,-3.963,11.270,-5.563,-5.169,3.857,-19.785,-10.516,-18.162
GHG Scope 3,GHG_SCOPE_3,—,—,"19,876.000","24,440.000","23,788.000","21,240.400","24,887.000","24,230.000","23,976.000","24,335.000"
    Growth (YoY),GHG_SCOPE_3,—,—,—,22.962,-2.668,-10.710,17.168,-2.640,-1.048,1.497
Scope of Disclosure,SCOPE_OF_DISCLOSURE,—,—,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
    Growth (YoY),SCOPE_OF_DISCLOSURE,—,—,—,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,0.609,0.592,0.530,0.530,0.530,0.590,0.550,0.560,0.540,0.510
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,—,-2.791,-10.473,0.000,0.000,11.321,-6.780,1.818,-3.571,-5.556
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Total Energy Consumption,ENERGY_CONSUMPTION,—,"8,166.670","8,169.440","8,194.440","8,055.560","7,399.920","7,944.440","7,305.560","7,361.110","7,305.560"
    Growth (YoY),ENERGY_CONSUMPTION,—,—,0.034,0.306,-1.695,-8.139,7.358,-8.042,0.760,-0.755
Renewable Energy Use,RENEW_ENERGY_USE,—,55.556,52.778,819.444,886.111,817.476,"1,112.220",949.722,"1,104.170","1,388.060"
    Growth (YoY),RENEW_ENERGY_USE,—,—,-5.000,"1,452.630",8.136,-7.746,36.055,-14.610,16.262,25.711
Electricity Used,ELECTRICITY_USED,—,"1,388.890","1,430.560","1,444.440","1,416.670","1,430.070","1,416.670","1,416.670","1,388.890",—
    Growth (YoY),ELECTRICITY_USED,—,—,3.000,0.970,-1.923,0.946,-0.937,0.000,-1.961,—
Self Generated Renewable Electricity,SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,—,—,0.000,18.468,—,—,—
Fuel Used - Coal/Lignite,COAL_USED,—,391.998,386.679,873.000,892.000,390.216,346.951,—,—,—
    Growth (YoY),COAL_USED,—,—,-1.357,125.769,2.176,-56.254,-11.087,—,—,—
Fuel Used - Natural Gas,NAT_GAS_USED,—,"198,655.000","205,331.000","579,592.000","561,905.000","210,483.000","207,901.000",—,—,—
    Growth (YoY),NAT_GAS_USED,—,—,3.361,182.272,-3.052,-62.541,-1.227,—,—,—
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,—,70.370,68.213,166.476,167.491,—,—,—,—,—
    Growth (YoY),OIL_DIESEL_USED,—,—,-3.065,144.052,0.610,—,—,—,—,—
Energy Per Unit of Production,ENERGY_PER_UNIT_PRODUCTION,2.319,2.283,2.097,2.031,2.025,2.008,1.972,1.967,2.083,—
    Growth (YoY),ENERGY_PER_UNIT_PRODUCTION,—,-1.557,-8.151,-3.178,-0.274,-0.823,-1.798,-0.281,5.932,—
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
