,,,,,,,,,,,
Galp Energia SGPS SA (GALP PL) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of EUR except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,3.670,4.480,5.250,5.290,5.570,5.880,6.360,5.960,—
    Growth (YoY),ESG_SCORE,—,—,22.071,17.188,0.762,5.293,5.566,8.163,-6.289,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,3.800,4.440,5.830,5.850,5.980,6.160,6.930,6.740,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,16.964,31.260,0.268,2.264,2.916,12.640,-2.808,—
BESG Social Pillar Score,SOCIAL_SCORE,—,3.330,4.820,5.230,5.140,5.120,6.090,6.140,5.480,—
    Growth (YoY),SOCIAL_SCORE,—,—,44.645,8.404,-1.655,-0.480,19.014,0.793,-10.701,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,3.810,4.210,4.360,4.550,5.360,5.240,5.660,5.190,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,10.573,3.652,4.161,17.954,-2.195,7.995,-8.326,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,36.998,48.456,52.520,59.612,60.658,59.823,61.282,64.571,69.621,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,-0.054,30.968,8.387,13.503,1.755,-1.376,2.438,5.368,7.821,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,32.921,47.297,47.297,53.156,56.297,56.297,56.539,61.341,65.328,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,2.830,43.670,0.000,12.388,5.909,0.000,0.429,8.494,6.499,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,36.366,43.380,42.775,55.713,55.713,55.713,59.855,62.424,73.609,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,4.066,19.285,-1.394,30.247,0.000,0.000,7.434,4.293,17.918,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,41.692,54.666,67.429,69.928,69.928,67.429,67.429,69.928,69.928,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,-5.396,31.119,23.348,3.705,0.000,-3.573,0.000,3.705,0.000,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,1.295,1.691,1.571,1.617,1.530,1.458,1.384,1.349,1.538,0.918
    Growth (YoY),NOX_EMISSIONS,-39.627,30.579,-7.096,2.928,-5.380,-4.706,-5.075,-2.529,14.010,-40.312
VOC Emissions,VOC_EMISSIONS,3.235,3.240,3.274,—,—,—,—,—,—,—
    Growth (YoY),VOC_EMISSIONS,—,0.155,1.049,—,—,—,—,—,—,—
Particulate Emissions,PARTICULATE_EMISSIONS,0.243,0.250,0.183,0.227,0.221,0.243,0.182,0.183,0.070,0.013
    Growth (YoY),PARTICULATE_EMISSIONS,-30.571,2.881,-26.800,24.044,-2.643,9.955,-25.103,0.549,-61.749,-81.429
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,5.134,6.008,5.233,5.664,3.957,3.069,1.113,0.922,1.454,1.394
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,-31.620,17.024,-12.899,8.236,-30.138,-22.441,-63.734,-17.161,57.701,-4.127
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,—,—,—,—,—,—,—,"3,185.900","3,408.870",—
    Growth (YoY),CO2_SCOPE_1,—,—,—,—,—,—,—,—,6.999,—
GHG Scope 1,GHG_SCOPE_1,"3,481.130","3,766.630","3,759.930","3,624.710","3,700.190","3,745.540","3,591.890","3,198.740","3,442.510","2,991.740"
    Growth (YoY),GHG_SCOPE_1,-16.090,8.201,-0.178,-3.596,2.082,1.226,-4.102,-10.945,7.621,-13.094
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,161.626,273.458,171.950,228.035,140.199,103.343,80.286,55.808,55.507,980.000
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,4.606,69.192,-37.120,32.617,-38.519,-26.288,-22.311,-30.489,-0.539,"1,665.543"
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,—,—,—,133.516,112.504,42.026,9.149,9.138,9.848
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,-15.737,-62.645,-78.230,-0.120,7.770
GHG Scope 3,GHG_SCOPE_3,"28,936.199","36,201.398","36,453.500","37,051.801","84,096.000","58,434.199","47,265.301","46,253.602","46,244.000","42,100.000"
    Growth (YoY),GHG_SCOPE_3,-7.042,25.108,0.696,1.641,126.969,-30.515,-19.114,-2.140,-0.021,-8.961
Scope of Disclosure,SCOPE_OF_DISCLOSURE,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,—
    Growth (YoY),SCOPE_OF_DISCLOSURE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,—,—,—,—,—,—,—,0.000,—,—
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,"12,995.600","14,248.300","13,177.800","14,368.300","12,071.900","11,806.400","11,178.100","9,899.440","8,819.720","7,050.560"
    Growth (YoY),ENERGY_CONSUMPTION,-10.855,9.639,-7.513,9.034,-15.982,-2.199,-5.322,-11.439,-10.907,-20.059
Renewable Energy Use,RENEW_ENERGY_USE,—,—,—,—,293.451,290.886,—,—,—,—
    Growth (YoY),RENEW_ENERGY_USE,—,—,—,—,—,-0.874,—,—,—,—
Electricity Used,ELECTRICITY_USED,517.222,557.778,480.000,530.833,491.944,443.611,432.778,385.833,353.056,418.333
    Growth (YoY),ELECTRICITY_USED,4.548,7.841,-13.944,10.590,-7.326,-9.825,-2.442,-10.847,-8.495,18.489
Fuel Used - Coal/Lignite,COAL_USED,—,—,—,—,—,—,—,—,—,—
Fuel Used - Natural Gas,NAT_GAS_USED,—,—,—,—,—,—,—,—,"1,006,750.000","1,383,840.000"
    Growth (YoY),NAT_GAS_USED,—,—,—,—,—,—,—,—,—,37.456
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,—,—,—,—,—,—,—,—,13.230,—
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,—,—,—,23.283,31.758,28.526,21.701,16.268,17.671,24.776
    Growth (YoY),HAZARDOUS_WASTE,—,—,—,—,36.400,-10.177,-23.926,-25.036,8.624,40.207
Total Waste,TOTAL_WASTE,22.680,25.434,27.215,30.115,44.201,39.674,27.894,20.355,22.167,29.240
    Growth (YoY),TOTAL_WASTE,9.932,12.143,7.002,10.656,46.774,-10.242,-29.692,-27.027,8.902,31.908
Waste Recycled,WASTE_RECYCLED,—,—,—,—,—,—,15.621,12.213,13.743,15.416
    Growth (YoY),WASTE_RECYCLED,—,—,—,—,—,—,—,-21.815,12.532,12.169
Raw Materials Used,RAW_MAT_USED,—,—,—,—,—,—,—,"21,278.301","22,675.600","20,514.100"
    Growth (YoY),RAW_MAT_USED,—,—,—,—,—,—,—,—,6.567,-9.532
Pct Recycled Materials,PCT_RECYCLED_MATERIALS,—,—,—,—,—,—,—,—,0.230,0.240
    Growth (YoY),PCT_RECYCLED_MATERIALS,—,—,—,—,—,—,—,—,—,4.348
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,"10,058.000","10,535.000","10,176.000","10,822.400","10,327.000","10,774.000","9,881.000","9,435.000","9,343.000","9,125.000"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,-18.506,4.742,-3.408,6.352,-4.578,4.328,-8.288,-4.514,-0.975,-2.333
Total Water Discharged,TOTAL_WATER_DISCHARGED,"5,562.000","6,543.000","6,336.000","5,697.300","6,455.800","5,989.000","5,913.000","5,822.000","6,125.000","6,109.000"
    Growth (YoY),TOTAL_WATER_DISCHARGED,-2.267,17.638,-3.164,-10.080,13.313,-7.231,-1.269,-1.539,5.204,-0.261
Water Consumption,WATER_CONSMPTN,—,—,—,—,—,—,—,—,—,"3,017.000"
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,Yes,Yes
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,n/a
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,n/a
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,3.851,3.367,6.100,5.400,18.074,21.670,21.400,23.600,29.700,35.000
    Growth (YoY),COMMUNITY_SPENDING,-56.155,-12.575,81.177,-11.475,234.704,19.896,-1.246,10.280,25.847,17.845
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,9.250,8.770,20.250,20.980,21.780,21.050,25.000,25.000,19.000,30.000
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,43.411,-5.189,130.901,3.605,3.813,-3.352,18.765,0.000,-24.000,57.895
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,22.440,24.040,37.790,35.980,36.580,35.000,37.000,39.000,37.000
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,7.130,57.196,-4.790,1.668,-4.319,5.714,5.405,-5.128
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,39.000,40.000,40.970,41.580,42.000,43.000,43.000,44.070,44.690,45.290
    Growth (YoY),PCT_WOMEN_EMPLOYEES,0.334,2.564,2.425,1.489,1.010,2.381,0.000,2.488,1.407,1.343
Pct Disabled in Workforce,PCT_DISABLED_IN_WORKFORCE,—,—,—,1.260,1.160,1.230,0.750,0.630,1.100,1.260
    Growth (YoY),PCT_DISABLED_IN_WORKFORCE,—,—,—,—,-7.937,6.034,-39.024,-16.000,74.603,14.545
Percentage Gender Pay Gap for Senior Management,PCT_GENDER_PAY_GAP_SEN_MGMT,—,—,—,—,—,—,—,—,—,93.000
Percentage Gender Pay Gap Mid & Other Management,PCT_GENDER_PAY_GAP_MID_OTH_MGMT,—,—,—,86.000,87.000,89.000,93.000,89.000,91.000,97.000
    Growth (YoY),PCT_GENDER_PAY_GAP_MID_OTH_MGMT,—,—,—,—,1.163,2.299,4.494,-4.301,2.247,6.593
Percentage Gender Pay Gap Employees Ex Management,PCT_GENDER_PAY_GAP_EMPL_EX_MGMT,—,—,—,88.000,88.000,87.000,86.000,90.000,88.000,89.000
    Growth (YoY),PCT_GENDER_PAY_GAP_EMPL_EX_MGMT,—,—,—,—,0.000,-1.136,-1.149,4.651,-2.222,1.136
80%+ Workforce Gender Pay Gap Waterfall,GENDER_PAY_GAP_WATERFALL,—,—,—,—,—,—,21.000,19.000,19.000,18.000
    Growth (YoY),GENDER_PAY_GAP_WATERFALL,—,—,—,—,—,—,—,-9.524,0.000,-5.263
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
