,,,,
Floene Energias SA (1429580D PL) - Overview,,,,
,,,,
In Millions of EUR except Per Share,,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,
BESG ESG Score,ESG_SCORE,—,1.750,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,0.950,—
BESG Social Pillar Score,SOCIAL_SCORE,—,2.160,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,2.700,—
,,,,
ESG Disclosure Scores,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,—,28.478,27.321
    Growth (YoY),ESG_DISCLOSURE_SCORE,—,—,-4.062
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,—,29.447,29.145
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,—,—,-1.026
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,—,20.405,17.231
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,—,—,-15.556
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,—,35.551,35.551
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,—,—,0.000
,,,,
Environmental,,,,
Air Quality,,,,
,,,,
Climate Change,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,No,No,No
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,No,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,Yes,Yes
GHG Scope 1,GHG_SCOPE_1,15.002,15.008,23.470
    Growth (YoY),GHG_SCOPE_1,—,0.040,56.383
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,1.193,—,—
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,0.147,0.000,0.000
GHG Scope 3,GHG_SCOPE_3,—,—,0.322
,,,,
Ecological & Biodiversity Impacts,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,No,No
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,No,No,No
