,,,,,,,,,,,
General Mills Inc (GIS US) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
12 Months Ending,,05/31/2015,05/29/2016,05/28/2017,05/27/2018,05/26/2019,05/31/2020,05/30/2021,05/29/2022,05/28/2023,05/26/2024
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,4.140,4.160,4.360,#N/A Requesting Data...,5.700,6.200,6.320,6.330,6.410,—
    Growth (YoY),ESG_SCORE,—,0.483,4.808,9.633,19.247,8.772,1.935,0.158,1.264,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,4.390,4.060,4.170,4.220,6.010,6.910,6.950,7.030,6.990,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,-7.573,2.747,1.250,42.479,14.949,0.479,1.264,-0.673,—
BESG Social Pillar Score,SOCIAL_SCORE,1.600,2.070,2.310,#N/A Requesting Data...,3.630,4.070,4.410,4.230,4.590,—
    Growth (YoY),SOCIAL_SCORE,—,29.473,11.826,37.550,14.159,12.028,8.457,-3.965,8.407,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,7.110,6.960,7.230,#N/A Requesting Data...,7.660,7.670,7.600,7.730,7.640,—
    Growth (YoY),GOVERNANCE_SCORE,—,-2.165,3.810,4.252,1.733,0.025,-0.894,1.808,-1.273,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,52.882,60.769,64.410,63.837,66.211,68.243,67.639,66.020,63.766,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,9.887,14.913,5.992,-0.890,3.719,3.069,-0.884,-2.394,-3.413,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,49.079,53.337,52.552,50.831,57.958,57.958,57.958,52.915,43.189,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,19.838,8.677,-1.472,-3.276,14.023,0.000,0.000,-8.702,-18.379,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,24.456,41.385,46.826,#N/A Requesting Data...,46.826,52.932,51.119,51.300,54.262,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,20.746,69.221,13.148,0.000,0.000,13.041,-3.427,0.355,5.775,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,84.979,87.477,93.739,93.739,93.739,93.739,93.739,93.739,93.739,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,2.357,2.940,7.158,0.000,0.000,0.000,0.000,0.000,0.000,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,n/a
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
CO2 Scope 1,CO2_SCOPE_1,—,0.265,—,—,—,—,—,—,—,—
CO2 Scope 2 Location-Based,CO2_SCOPE_2_LOCATION_BASED,—,0.616,—,#N/A Requesting Data...,—,—,—,—,—,—
GHG Scope 1,GHG_SCOPE_1,316.437,339.437,324.749,300.309,300.532,334.903,364.311,318.785,335.600,—
    Growth (YoY),GHG_SCOPE_1,11.421,7.268,-4.327,-7.526,0.074,11.437,8.781,-12.496,5.275,—
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,784.719,754.923,638.985,#N/A Requesting Data...,591.854,610.022,579.210,514.700,—,—
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,15.230,-3.797,-15.358,-12.120,5.398,3.070,-5.051,-11.138,—,—
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,754.923,642.798,563.497,412.516,411.548,194.792,74.100,20.700,—
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,—,-14.853,-12.337,-26.794,-0.235,-52.668,-61.959,-72.065,—
GHG Scope 3,GHG_SCOPE_3,"14,474.200","13,707.900","14,466.900","14,239.500","14,606.300","16,696.000","19,254.801","19,234.400","19,110.801",—
    Growth (YoY),GHG_SCOPE_3,—,-5.294,5.537,-1.572,2.576,14.307,15.326,-0.106,-0.643,—
Scope of Disclosure,SCOPE_OF_DISCLOSURE,1.000,1.000,1.000,#N/A Requesting Data...,1.000,1.000,1.000,1.000,1.000,—
    Growth (YoY),SCOPE_OF_DISCLOSURE,—,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,0.171,0.162,0.167,#N/A Requesting Data...,0.160,0.150,0.080,0.067,—,—
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,-1.156,-5.263,3.086,-4.192,0.000,-6.250,-46.667,-16.250,—,—
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Total Energy Consumption,ENERGY_CONSUMPTION,"2,877.220","2,812.220","2,675.610","2,508.060","2,718.160","3,035.030","3,131.610","2,687.000","2,647.000",—
    Growth (YoY),ENERGY_CONSUMPTION,-1.598,-2.259,-4.858,-6.262,8.377,11.658,3.182,-14.197,-1.489,—
Renewable Energy Use,RENEW_ENERGY_USE,—,—,—,—,380.000,537.259,920.320,"1,171.460","2,567.590",—
    Growth (YoY),RENEW_ENERGY_USE,—,—,—,—,—,41.384,71.299,27.288,119.179,—
