,,,,,,,,,,,
HELLENiQ ENERGY Holdings S.A. (ELPE GA) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of EUR except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,2.610,3.430,3.720,3.640,3.860,4.830,5.170,3.200,—
    Growth (YoY),ESG_SCORE,—,—,31.418,8.455,-2.151,6.044,25.130,7.039,-38.104,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,3.560,4.150,4.530,4.260,4.610,6.400,6.410,2.600,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,16.622,9.303,-6.004,8.139,39.002,0.041,-59.464,—
BESG Social Pillar Score,SOCIAL_SCORE,—,1.470,2.500,2.550,2.740,2.620,3.170,4.210,2.450,—
    Growth (YoY),SOCIAL_SCORE,—,—,69.409,2.283,7.150,-4.119,20.838,32.870,-41.865,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,2.380,3.270,3.660,3.580,3.990,4.190,4.240,5.240,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,37.044,12.066,-2.210,11.438,5.097,1.012,23.770,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,46.444,61.272,65.929,66.452,61.372,65.295,65.949,67.870,59.300,59.431
    Growth (YoY),ESG_DISCLOSURE_SCORE,12.775,31.925,7.601,0.793,-7.645,6.392,1.001,2.913,-12.628,0.221
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,62.459,64.180,65.600,63.636,63.636,67.019,68.982,69.647,53.821,53.821
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,33.851,2.756,2.212,-2.993,0.000,5.316,2.929,0.963,-22.723,0.000
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,43.863,52.902,52.902,53.930,41.173,52.358,52.358,42.745,39.117,39.510
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,0.000,20.606,0.000,1.943,-23.655,27.166,0.000,-18.360,-8.487,1.005
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,33.052,66.707,79.229,81.728,79.229,76.460,76.460,91.120,84.859,84.859
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.000,101.821,18.773,3.153,-3.057,-3.495,0.000,19.173,-6.871,0.000
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,1.139,3.319,3.683,3.206,3.370,3.160,2.334,2.697,2.617,2.378
    Growth (YoY),NOX_EMISSIONS,-72.558,191.414,10.938,-12.947,5.121,-6.227,-26.141,15.531,-2.942,-9.153
VOC Emissions,VOC_EMISSIONS,1.835,1.604,2.169,2.879,3.094,2.264,1.960,1.506,1.448,1.505
    Growth (YoY),VOC_EMISSIONS,-15.701,-12.582,35.199,32.726,7.476,-26.815,-13.446,-23.141,-3.907,3.982
Particulate Emissions,PARTICULATE_EMISSIONS,0.250,0.224,0.192,0.183,0.203,0.174,0.169,0.209,0.182,0.115
    Growth (YoY),PARTICULATE_EMISSIONS,-25.000,-10.136,-14.356,-4.898,11.073,-14.212,-2.935,23.915,-13.277,-36.750
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,6.179,6.421,6.571,5.998,5.972,5.197,4.214,3.999,4.947,4.145
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,-15.106,3.911,2.334,-8.728,-0.419,-12.987,-18.909,-5.102,23.696,-16.197
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,Yes,Yes,Yes
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,No,No,No,Yes,Yes,Yes
ODS Emissions,ODS_EMISSIONS,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—,—
    Growth (YoY),ODS_EMISSIONS,257.143,—,—,—,—,—,—,—,—,—
CO2 Scope 1,CO2_SCOPE_1,"3,553.210","3,310.630","3,723.170","3,316.970","3,624.870","3,360.910","3,279.090","1,755.150",—,—
    Growth (YoY),CO2_SCOPE_1,3.300,-6.827,12.461,-10.910,9.283,-7.282,-2.434,-46.474,—,—
CO2 Scope 2 Location-Based,CO2_SCOPE_2_LOCATION_BASED,855.318,895.583,854.727,800.149,837.551,838.678,519.707,443.189,—,—
    Growth (YoY),CO2_SCOPE_2_LOCATION_BASED,-5.808,4.708,-4.562,-6.385,4.674,0.135,-38.033,-14.723,—,—
GHG Scope 1,GHG_SCOPE_1,"3,565.560","3,318.920","3,731.770","3,319.910","3,636.640","3,378.380","3,298.590","3,766.690","3,643.350","3,825.000"
    Growth (YoY),GHG_SCOPE_1,3.008,-6.917,12.439,-11.037,9.540,-7.102,-2.362,14.191,-3.274,4.986
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,857.124,895.683,854.727,801.909,837.551,839.903,521.878,445.000,305.110,336.000
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,-28.039,4.499,-4.573,-6.180,4.445,0.281,-37.864,-14.731,-31.436,10.124
GHG Scope 3,GHG_SCOPE_3,467.829,490.381,742.424,646.455,584.917,513.043,668.407,567.628,499.924,"54,791.102"
    Growth (YoY),GHG_SCOPE_3,65.288,4.821,51.397,-12.926,-9.519,-12.288,30.283,-15.077,-11.928,"10,859.886"
Scope of Disclosure,SCOPE_OF_DISCLOSURE,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,—,—
    Growth (YoY),SCOPE_OF_DISCLOSURE,—,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—,—
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,"12,707.400","12,901.600","15,492.200","13,233.600","13,872.800","14,104.700","13,729.600","14,701.200","13,365.600","15,156.900"
    Growth (YoY),ENERGY_CONSUMPTION,1.714,1.528,20.080,-14.579,4.830,1.672,-2.659,7.077,-9.085,13.402
Renewable Energy Use,RENEW_ENERGY_USE,—,145.204,164.143,176.530,200.192,295.246,232.680,251.443,271.322,353.156
    Growth (YoY),RENEW_ENERGY_USE,—,—,13.043,7.546,13.404,47.481,-21.191,8.064,7.906,30.161
Electricity Used,ELECTRICITY_USED,"1,202.810","1,195.030","1,305.450","1,237.110","1,355.540","1,292.880","1,262.440","1,303.900","1,184.190",859.396
    Growth (YoY),ELECTRICITY_USED,-25.192,-0.647,9.240,-5.235,9.573,-4.623,-2.354,3.284,-9.181,-27.428
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,2.446,3.676,6.318,10.237,8.906,7.903,18.617,12.921,58.317,13.796
    Growth (YoY),HAZARDOUS_WASTE,-26.898,50.286,71.872,62.035,-13.002,-11.260,135.557,-30.595,351.328,-76.343
Total Waste,TOTAL_WASTE,11.857,15.502,22.615,22.047,21.064,25.673,40.230,28.496,69.780,25.017
    Growth (YoY),TOTAL_WASTE,-36.060,30.741,45.884,-2.510,-4.461,21.881,56.703,-29.167,144.875,-64.148
Waste Recycled,WASTE_RECYCLED,0.539,1.562,3.211,11.556,7.182,4.473,14.063,12.022,60.729,21.792
    Growth (YoY),WASTE_RECYCLED,-88.481,189.688,105.570,259.872,-37.852,-37.716,214.410,-14.517,405.160,-64.116
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,4.118,7.444,—,—,—,—,12.706,2.523,8.911,3.378
    Growth (YoY),WASTE_SENT_TO_LANDFILLS,-42.232,80.759,—,—,—,—,—,-80.142,253.174,-62.093
Raw Materials Used,RAW_MAT_USED,"14,633.400","12,616.900","14,287.400",—,—,—,—,—,—,—
    Growth (YoY),RAW_MAT_USED,-87.069,-13.780,13.240,—,—,—,—,—,—,—
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,"16,560.000","18,217.100","18,553.600","15,099.000","14,592.500","14,429.000","14,815.800","13,581.900","13,945.900","14,420.200"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,-10.640,10.007,1.847,-18.620,-3.355,-1.120,2.681,-8.328,2.680,3.401
Total Water Discharged,TOTAL_WATER_DISCHARGED,"8,502.160","7,390.970","7,473.510","7,291.000","7,840.590","7,725.030","8,785.380","6,933.000",—,—
    Growth (YoY),TOTAL_WATER_DISCHARGED,4.797,-13.070,1.117,-2.442,7.538,-1.474,13.726,-21.085,—,—
Water Consumption,WATER_CONSMPTN,—,—,—,—,—,"6,582.640","5,445.280","11,592.600","6,464.630","6,894.270"
    Growth (YoY),WATER_CONSMPTN,—,—,—,—,—,—,-17.278,112.893,-44.235,6.646
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,3.367,3.654,3.234,4.795,6.687,6.868,10.200,17.000,17.000,20.800
    Growth (YoY),COMMUNITY_SPENDING,-3.814,8.537,-11.492,48.273,39.448,2.710,48.517,66.667,0.000,22.353
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,n/a,No,No,No,No,No,No,No,No,Yes
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,6.000,16.000,—,—,—,—,—,—,—,—
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,-53.846,166.667,—,—,—,—,—,—,—,—
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,18.350,18.410,17.820,16.670,16.360,21.700,22.000,22.390
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,0.327,-3.205,-6.453,-1.860,32.641,1.382,1.773
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,20.000,20.000,20.090,19.520,19.430,19.000,19.500,20.000,19.900,20.490
    Growth (YoY),PCT_WOMEN_EMPLOYEES,0.000,0.000,0.450,-2.837,-0.461,-2.213,2.632,2.564,-0.500,2.965
Pct Disabled in Workforce,PCT_DISABLED_IN_WORKFORCE,3.890,2.800,2.900,1.420,—,—,—,—,—,—
    Growth (YoY),PCT_DISABLED_IN_WORKFORCE,-4.657,-28.021,3.571,-51.034,—,—,—,—,—,—
80%+ Workforce Gender Pay Gap Waterfall,GENDER_PAY_GAP_WATERFALL,—,—,—,—,—,—,—,25.490,24.330,24.290
    Growth (YoY),GENDER_PAY_GAP_WATERFALL,—,—,—,—,—,—,—,—,-4.551,-0.164
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Political Donations,POLITICAL_DONATIONS,0.000,0.000,0.000,0.000,—,0.000,0.000,—,—,—
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,—,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Fatalities - Contractors,FATALITIES_CONTRACTORS,—,1.000,0.000,0.000,0.000,0.000,0.000,0.000,—,—
