,,,,,,,,,,,
Helmerich & Payne Inc (HP US) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
12 Months Ending,,09/30/2015,09/30/2016,09/30/2017,09/30/2018,09/30/2019,09/30/2020,09/30/2021,09/30/2022,09/30/2023,09/30/2024
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,1.770,1.720,1.830,2.240,2.070,3.120,3.020,2.800,3.570,—
    Growth (YoY),ESG_SCORE,—,-2.825,6.395,22.404,-7.589,50.725,-3.205,-7.285,27.500,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,0.000,0.000,0.000,0.310,0.260,1.350,1.300,1.500,2.450,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,—,—,-14.527,416.555,-4.076,15.968,62.630,—
BESG Social Pillar Score,SOCIAL_SCORE,0.890,0.890,0.890,1.510,1.180,2.570,2.500,1.900,2.640,—
    Growth (YoY),SOCIAL_SCORE,—,0.000,0.000,69.613,-21.797,118.092,-2.863,-24.207,39.495,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,7.040,6.780,7.410,7.360,7.210,7.000,6.820,6.220,6.500,—
    Growth (YoY),GOVERNANCE_SCORE,—,-3.676,9.180,-0.592,-2.050,-2.978,-2.604,-8.721,4.463,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,31.707,31.707,32.462,41.817,41.817,45.810,48.577,53.365,53.838,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,6.993,0.000,2.379,28.819,0.000,9.550,6.039,9.857,0.886,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,0.332,0.332,1.571,13.017,13.017,13.863,16.128,30.504,31.924,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,0.000,0.000,372.727,728.846,0.000,6.497,16.340,89.139,4.653,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,9.613,9.613,10.641,21.010,21.010,32.164,31.923,31.923,31.923,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,79.661,0.000,10.692,97.443,0.000,53.094,-0.752,0.000,0.000,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,84.979,84.979,84.979,91.240,91.240,91.240,97.502,97.502,97.502,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,2.357,0.000,0.000,7.368,0.000,0.000,6.862,0.000,0.000,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,No,No,No,No,No,No,No,No,No,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
GHG Scope 1,GHG_SCOPE_1,—,—,—,"1,235.000","1,400.000",845.000,735.000,"1,080.000","1,142.000","1,036.000"
    Growth (YoY),GHG_SCOPE_1,—,—,—,—,13.360,-39.643,-13.018,46.939,5.741,-9.282
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,—,—,7.600,7.900,6.800,6.300,37.300,43.300,47.200
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,3.947,-13.924,-7.353,492.063,16.086,9.007
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,—,—,—,46.300,57.400
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,—,—,—,—,23.974
Scope of Disclosure,SCOPE_OF_DISCLOSURE,—,—,—,—,—,—,1.000,1.000,1.000,1.000
    Growth (YoY),SCOPE_OF_DISCLOSURE,—,—,—,—,—,—,—,0.000,0.000,0.000
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,—,—,—,"4,871.190","5,520.400","3,340.640","2,907.820","4,346.110","4,624.010","4,223.260"
    Growth (YoY),ENERGY_CONSUMPTION,—,—,—,—,13.328,-39.486,-12.956,49.463,6.394,-8.667
Renewable Energy Use,RENEW_ENERGY_USE,—,—,—,4.848,5.497,3.319,2.888,4.248,4.517,14.747
