,,,,,,,,,,,
Hess Corp (HES US) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,5.020,4.940,4.490,4.660,4.660,5.210,5.840,4.950,—
    Growth (YoY),ESG_SCORE,—,—,-1.594,-9.109,3.786,0.000,11.803,12.092,-15.240,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,5.080,5.100,4.000,4.380,4.460,4.630,5.470,4.990,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,0.322,-21.442,9.349,1.918,3.708,18.192,-8.709,—
BESG Social Pillar Score,SOCIAL_SCORE,—,3.030,2.970,3.110,3.340,3.070,4.210,5.050,2.740,—
    Growth (YoY),SOCIAL_SCORE,—,—,-1.776,4.689,7.343,-8.205,37.438,19.738,-45.658,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,7.300,6.980,7.030,6.700,6.890,7.420,7.370,7.580,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,-4.346,0.791,-4.786,2.892,7.608,-0.675,2.959,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,65.919,64.491,64.722,69.510,69.460,71.965,71.965,72.820,71.361,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,3.933,-2.167,0.359,7.398,-0.072,3.606,0.000,1.188,-2.003,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,48.747,53.337,53.337,67.714,69.133,72.516,72.516,72.516,71.368,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,12.317,9.418,0.000,26.954,2.096,4.893,0.000,0.000,-1.583,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,57.134,46.977,46.977,46.977,45.405,49.547,49.547,52.116,48.882,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,3.903,-17.778,0.000,0.000,-3.346,9.121,0.000,5.186,-6.206,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,91.782,93.046,93.739,93.739,93.739,93.739,93.739,93.739,93.739,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.000,1.378,0.744,0.000,0.000,0.000,0.000,0.000,0.000,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,9.595,11.504,10.261,12.665,14.306,9.909,7.629,5.835,8.582,8.502
    Growth (YoY),NOX_EMISSIONS,-8.164,19.896,-10.805,23.429,12.957,-30.735,-23.009,-23.516,47.078,-0.932
VOC Emissions,VOC_EMISSIONS,13.288,13.766,9.441,10.724,10.303,13.000,11.659,8.207,10.133,6.271
    Growth (YoY),VOC_EMISSIONS,-30.422,3.597,-31.418,13.590,-3.926,26.177,-10.315,-29.608,23.468,-38.113
Particulate Emissions,PARTICULATE_EMISSIONS,—,0.514,0.874,1.342,1.531,1.002,0.731,0.587,—,0.489
    Growth (YoY),PARTICULATE_EMISSIONS,—,—,69.998,53.529,14.036,-34.572,-27.049,-19.655,—,—
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,2.016,3.727,3.804,2.987,1.655,1.711,0.500,0.417,0.583,0.543
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,-30.194,84.871,2.066,-21.477,-44.593,3.384,-70.777,-16.600,39.808,-6.861
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,"4,400.000","4,700.000","3,700.000","3,400.000","3,190.000","3,510.000","2,880.000","2,300.000","2,058.320","1,984.000"
    Growth (YoY),CO2_SCOPE_1,4.762,6.818,-21.277,-8.108,-6.176,10.031,-17.949,-20.139,-10.508,-3.611
CO2 Scope 2 Location-Based,CO2_SCOPE_2_LOCATION_BASED,600.000,500.000,500.000,400.000,348.000,425.000,424.000,400.000,433.000,—
    Growth (YoY),CO2_SCOPE_2_LOCATION_BASED,-25.000,-16.667,0.000,-20.000,-13.000,22.126,-0.235,-5.660,8.250,—
GHG Scope 1,GHG_SCOPE_1,"4,800.000","5,100.000","4,100.000","3,700.000","3,500.000","3,830.000","3,130.000","2,450.000","2,231.000","2,140.000"
    Growth (YoY),GHG_SCOPE_1,9.091,6.250,-19.608,-9.756,-5.405,9.429,-18.277,-21.725,-8.939,-4.079
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,640.000,550.000,500.000,400.000,350.000,428.000,428.000,388.000,435.933,464.000
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,-20.000,-14.063,-9.091,-20.000,-12.500,22.286,0.000,-9.346,12.354,6.438
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,—,—,—,303.833,100.241,102.781,0.000,0.000,0.000
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,-67.008,2.534,—,—,—
GHG Scope 3,GHG_SCOPE_3,"14,900.000","14,010.000","12,605.000","43,700.000","38,700.000","43,500.000","45,800.000","43,400.301","48,245.602","55,102.301"
    Growth (YoY),GHG_SCOPE_3,-40.637,-5.973,-10.029,246.688,-11.442,12.403,5.287,-5.240,11.164,14.212
Scope of Disclosure,SCOPE_OF_DISCLOSURE,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
    Growth (YoY),SCOPE_OF_DISCLOSURE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,0.301,0.242,0.242,0.249,0.249,0.221,0.163,0.132,0.140,—
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,—,-19.512,0.000,3.030,0.000,-11.176,-26.547,-18.881,6.141,—
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,"9,562.780","10,041.100","10,623.900","9,200.280","8,514.720","7,828.330","7,665.560","7,372.500","7,727.520","8,327.220"
    Growth (YoY),ENERGY_CONSUMPTION,-8.361,5.002,5.804,-13.400,-7.452,-8.061,-2.079,-3.823,4.815,7.761
Renewable Energy Use,RENEW_ENERGY_USE,137.000,297.000,597.494,607.500,605.475,"1,814.440",293.650,356.700,"2,483.860","2,813.770"
    Growth (YoY),RENEW_ENERGY_USE,65.949,116.788,101.176,1.675,-0.333,199.672,-83.816,21.471,596.344,13.282
Electricity Used,ELECTRICITY_USED,"2,388.060","2,400.560","2,298.060","2,025.000","1,552.500","1,814.440","2,150.560","2,230.560","2,483.860","2,791.390"
    Growth (YoY),ELECTRICITY_USED,-18.950,0.523,-4.270,-11.882,-23.333,16.872,18.525,3.720,11.356,12.381
Fuel Used - Coal/Lignite,COAL_USED,—,—,—,—,—,—,—,—,0.000,89.122
Fuel Used - Natural Gas,NAT_GAS_USED,"546,600.000","649,246.000","722,796.000","567,342.000","529,934.000","487,800.000","464,811.000","444,758.000","414,965.000","460,306.000"
    Growth (YoY),NAT_GAS_USED,-8.800,18.779,11.329,-21.507,-6.594,-7.951,-4.713,-4.314,-6.699,10.926
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,156.729,97.806,79.000,124.746,141.972,92.008,66.564,50.453,0.000,"94,494.797"
    Growth (YoY),OIL_DIESEL_USED,18.188,-37.595,-19.228,57.906,13.809,-35.193,-27.655,-24.203,—,—
Energy Per Unit of Production,ENERGY_PER_UNIT_PRODUCTION,—,0.064,0.081,0.089,0.078,0.058,0.047,0.053,0.061,—
    Growth (YoY),ENERGY_PER_UNIT_PRODUCTION,—,—,26.087,10.344,-12.500,-25.001,-19.048,11.766,15.789,—
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,1.100,0.400,0.900,2.600,1.714,0.782,0.982,0.212,0.564,0.283
    Growth (YoY),HAZARDOUS_WASTE,-84.058,-63.636,125.000,188.889,-34.077,-54.376,25.575,-78.411,166.038,-49.823
Total Waste,TOTAL_WASTE,204.793,327.400,140.604,203.000,188.146,161.674,62.757,47.127,59.022,74.043
    Growth (YoY),TOTAL_WASTE,4.380,59.869,-57.054,44.377,-7.317,-14.070,-61.183,-24.906,25.240,25.450
Waste Recycled,WASTE_RECYCLED,5.091,96.218,2.036,6.939,3.591,2.398,1.870,2.844,1.200,2.515
    Growth (YoY),WASTE_RECYCLED,—,"1,789.918",-97.884,240.909,-48.246,-33.216,-22.031,52.086,-57.806,109.558
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,97.877,149.322,91.158,149.406,42.767,78.118,20.370,27.313,33.500,—
    Growth (YoY),WASTE_SENT_TO_LANDFILLS,—,52.561,-38.952,63.898,-71.375,82.660,-73.924,34.084,22.652,—
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,"9,290.000","8,890.000","7,500.000","7,600.000","3,840.000","4,930.000","3,640.000","3,000.000","4,000.000","91,070.000"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,-11.943,-4.306,-15.636,1.333,-49.474,28.385,-26.166,-17.582,33.333,"2,176.750"
Total Water Discharged,TOTAL_WATER_DISCHARGED,"6,000.000","6,500.000","6,400.000","5,700.000","1,350.000","1,860.000","1,140.000","1,000.000",850.000,—
    Growth (YoY),TOTAL_WATER_DISCHARGED,-64.072,8.333,-1.538,-10.938,-76.316,37.778,-38.710,-12.281,-15.000,—
Water per Unit of Production,WATER_PER_UNIT_OF_PROD,—,—,—,—,—,—,—,—,—,—
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,Yes,Yes
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,No,No,No,No,No,No,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,42.000,22.000,20.000,16.000,7.000,7.700,11.000,15.700,20.700,—
    Growth (YoY),COMMUNITY_SPENDING,13.514,-47.619,-9.091,-20.000,-56.250,10.000,42.857,42.727,31.847,—
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,No,No,No,No,Yes,Yes
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,14.000,19.000,12.000,12.000,—,16.000,13.000,16.000,16.660,17.000
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,7.692,35.714,-36.842,0.000,—,—,-18.750,23.077,4.125,2.041
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,20.000,18.000,21.000,20.000,21.000,22.000,23.000,23.000,23.000,24.000
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,-10.000,16.667,-4.762,5.000,4.762,4.545,0.000,0.000,4.348
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,28.000,27.000,27.000,28.000,26.000,26.000,26.000,27.000,27.000,27.000
    Growth (YoY),PCT_WOMEN_EMPLOYEES,-34.884,-3.571,0.000,3.704,-7.143,0.000,0.000,3.846,0.000,0.000
Pct Minorities in Management,PCT_MINORITY_MGT,7.000,8.000,11.000,11.000,17.690,18.500,19.400,19.000,33.330,19.000
    Growth (YoY),PCT_MINORITY_MGT,—,14.286,37.500,0.000,60.818,4.579,4.865,-2.062,75.421,-42.994
