,,,,,,,,,
ITC Holdings Corp (ITC US) - Overview,,,,,,,,,
,,,,,,,,,
In Millions of USD except Per Share,,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015
12 Months Ending,,12/31/2008,12/31/2009,12/31/2010,12/31/2011,12/31/2012,12/31/2013,12/31/2014,12/31/2015
ESG Financial Materiality Scores,,,,,,,,,
,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,8.33,14.67,34.17,35.01,29.52,29.52,29.66,30.58
    Growth (YoY),ESG_DISCLOSURE_SCORE,—,76.1,133.0,2.4,-15.7,0.0,0.4,3.1
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,0.00,16.46,16.46,16.46,0.00,0.00,0.00,0.00
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,—,—,0.0,0.0,—,—,—,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,2.78,5.35,5.35,5.35,5.35,5.35,5.74,8.52
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,—,92.4,0.0,0.0,0.0,0.0,7.3,48.4
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,22.16,22.16,80.52,83.02,83.02,83.02,83.02,83.02
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,—,0.0,263.5,3.1,0.0,0.0,0.0,0.0
,,,,,,,,,
Environmental,,,,,,,,,
Air Quality,,,,,,,,,
,,,,,,,,,
Climate Change,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,No,Yes,Yes,Yes,No,No,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,No,No,No,No,No,No,No,No
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,No,No,No,No
,,,,,,,,,
Energy,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,No,Yes,Yes,Yes,No,No,No,No
