,,,,,,,,,,,,,,,,,,
Idemitsu Kosan Co Ltd (5019 JP) - Overview,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
In Billions of JPY except Per Share,,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
12 Months Ending,,03/31/2008,03/31/2009,03/31/2010,03/31/2011,03/31/2012,03/31/2013,03/31/2014,03/31/2015,03/31/2016,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024
ESG Financial Materiality Scores,,,,,,,,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,—,—,—,—,—,—,2.06,1.99,2.68,2.89,4.26,4.81,5.01,5.08,5.94,—
    Growth (YoY),ESG_SCORE,—,—,—,—,—,—,—,—,-3.4,34.7,7.8,47.4,12.9,4.2,1.4,16.9,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,—,—,—,—,—,—,1.08,1.18,2.49,2.52,4.47,6.20,5.92,5.95,6.90,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,—,—,—,—,—,—,9.1,110.5,1.3,77.5,38.7,-4.6,0.5,16.1,—
BESG Social Pillar Score,SOCIAL_SCORE,—,—,—,—,—,—,—,2.11,2.22,2.22,1.98,2.07,2.56,2.52,2.25,3.59,—
    Growth (YoY),SOCIAL_SCORE,—,—,—,—,—,—,—,—,5.1,0.0,-10.7,4.4,24.0,-1.6,-10.6,59.4,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,—,—,—,—,—,—,4.04,3.34,3.53,4.66,6.61,5.14,6.44,7.10,7.01,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,—,—,—,—,—,—,-17.3,5.6,31.9,42.0,-22.3,25.3,10.2,-1.3,—
,,,,,,,,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,35.00,39.45,39.11,37.72,37.41,36.49,36.49,38.23,32.14,37.41,40.47,47.71,52.93,54.90,54.23,65.42,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,—,12.7,-0.9,-3.5,-0.8,-2.5,0.0,4.8,-15.9,16.4,8.2,17.9,10.9,3.7,-1.2,20.6,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,36.39,43.22,43.22,43.22,39.78,39.78,39.78,42.62,24.34,32.86,32.86,48.08,52.88,52.88,54.64,79.92,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,—,18.8,0.0,0.0,-8.0,0.0,0.0,7.1,-42.9,35.0,0.0,46.3,10.0,0.0,3.3,46.3,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,11.67,15.84,14.81,10.64,10.64,7.86,7.86,9.67,9.67,13.85,20.25,20.50,31.38,31.38,27.60,27.60,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,—,35.8,-6.5,-28.2,0.0,-26.1,0.0,23.1,0.0,43.1,46.3,1.2,53.1,0.0,-12.0,0.0,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,56.83,59.21,59.21,59.21,61.71,61.71,61.71,62.28,62.28,65.41,68.18,74.44,74.44,80.34,80.34,88.62,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,—,4.2,0.0,0.0,4.2,0.0,0.0,0.9,0.0,5.0,4.2,9.2,0.0,7.9,0.0,10.3,—
,,,,,,,,,,,,,,,,,,
Environmental,,,,,,,,,,,,,,,,,,
Air Quality,,,,,,,,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,30.2,29.0,26.1,27.5,38.1,35.1,37.0,38.1,43.2,44.4,42.8,42.0,19.7,20.5,19.7,20.0,21.8
    Growth (YoY),NOX_EMISSIONS,—,-3.9,-10.1,5.3,38.5,-7.8,5.5,2.9,13.3,2.7,-3.4,-1.9,-53.2,4.4,-4.0,1.3,9.2
VOC Emissions,VOC_EMISSIONS,—,—,—,—,—,—,—,—,3.9,3.8,3.7,3.7,5.5,5.1,6.3,7.2,6.5
    Growth (YoY),VOC_EMISSIONS,—,—,—,—,—,—,—,—,—,-3.6,-1.2,-1.3,51.3,-7.0,21.7,15.5,-10.5
Particulate Emissions,PARTICULATE_EMISSIONS,0.2,0.2,0.1,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.2
    Growth (YoY),PARTICULATE_EMISSIONS,—,-14.8,-25.5,125.8,-28.8,8.8,-8.6,20.8,5.6,16.3,-19.3,0.4,0.4,-3.9,-13.0,32.5,-6.6
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,43.9,43.2,36.0,39.5,47.9,46.2,47.0,47.7,50.1,51.0,48.2,47.3,13.8,8.6,8.3,10.7,10.0
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,-1.6,-16.6,9.6,21.4,-3.7,1.9,1.5,4.9,2.0,-5.5,-1.8,-70.8,-37.5,-4.3,29.0,-5.8
,,,,,,,,,,,,,,,,,,
Climate Change,,,,,,,,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,Yes,n/a
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,—,—,—,—,—,—,—,—,—,"7,579.0","7,465.0","7,337.0","12,137.0","12,191.0","12,474.0","13,521.0","13,080.0"
    Growth (YoY),CO2_SCOPE_1,—,—,—,—,—,—,—,—,—,—,-1.5,-1.7,65.4,0.4,2.3,8.4,-3.3
CO2 Scope 2 Location-Based,CO2_SCOPE_2_LOCATION_BASED,—,—,—,—,—,—,—,44.0,—,448.0,392.0,436.0,944.0,829.0,630.0,559.0,473.0
    Growth (YoY),CO2_SCOPE_2_LOCATION_BASED,—,—,—,—,—,—,—,—,—,—,-12.5,11.2,116.5,-12.2,-24.0,-11.3,-15.4
GHG Scope 1,GHG_SCOPE_1,—,—,—,—,—,—,—,—,—,—,—,—,"12,255.0","12,671.0","13,173.9","13,918.6","13,487.0"
    Growth (YoY),GHG_SCOPE_1,—,—,—,—,—,—,—,—,—,—,—,—,—,3.4,4.0,5.7,-3.1
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,—,—,—,—,—,—,—,—,941.3,830.4,630.0,559.0,473.0
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,—,—,—,—,—,—,—,—,—,-11.8,-24.1,-11.3,-15.4
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,—,—,—,—,—,—,—,—,—,511.2,443.2,—
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,-13.3,—
GHG Scope 3,GHG_SCOPE_3,—,—,—,—,—,—,—,268.0,—,"90,236.0","85,558.0","82,889.0","121,247.0","108,187.0","109,191.0","152,145.0","117,297.0"
    Growth (YoY),GHG_SCOPE_3,—,—,—,—,—,—,—,—,—,—,-5.2,-3.1,46.3,-10.8,0.9,39.3,-22.9
Scope of Disclosure,SCOPE_OF_DISCLOSURE,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1.00,—
,,,,,,,,,,,,,,,,,,
Energy,,,,,,,,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,"53,888.9","52,222.2","49,722.2","51,111.1","52,055.6","51,027.8","53,166.7","50,777.8","51,111.1","53,888.9","52,111.1","51,750.0","55,555.6","53,888.9","53,888.9","59,166.7","57,777.8"
    Growth (YoY),ENERGY_CONSUMPTION,—,-3.1,-4.8,2.8,1.8,-2.0,4.2,-4.5,0.7,5.4,-3.3,-0.7,7.4,-3.0,0.0,9.8,-2.3
Renewable Energy Use,RENEW_ENERGY_USE,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,406.7,—
Electricity Used,ELECTRICITY_USED,—,161.0,230.0,228.0,—,—,—,—,—,—,—,—,—,—,—,"3,972.8",—
    Growth (YoY),ELECTRICITY_USED,—,—,42.9,-0.9,—,—,—,—,—,—,—,—,—,—,—,—,—
Self Generated Renewable Electricity,SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,100.0,—
Fuel Used - Coal/Lignite,COAL_USED,—,358.0,344.0,382.0,—,—,—,—,—,—,—,—,—,—,—,366.8,—
    Growth (YoY),COAL_USED,—,—,-3.9,11.0,—,—,—,—,—,—,—,—,—,—,—,—,—
Fuel Used - Natural Gas,NAT_GAS_USED,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,"233,868.0",—
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,"5,277.4",—
,,,,,,,,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,—,—,—,—,—,—,—,—,—,—,—,—,1.6,4.2,8.0,7.0,14.3
    Growth (YoY),HAZARDOUS_WASTE,—,—,—,—,—,—,—,—,—,—,—,—,—,164.2,90.5,-12.6,104.8
Total Waste,TOTAL_WASTE,241.6,247.4,244.3,223.8,231.3,226.7,227.7,233.9,—,213.6,215.4,209.8,217.5,223.4,236.3,225.4,242.2
    Growth (YoY),TOTAL_WASTE,—,2.4,-1.3,-8.4,3.4,-2.0,0.5,2.7,—,—,0.8,-2.6,3.7,2.7,5.7,-4.6,7.5
Waste Recycled,WASTE_RECYCLED,135.8,148.8,132.4,133.1,141.4,137.5,135.0,138.8,—,126.4,123.2,100.8,106.6,111.4,113.6,106.9,115.4
    Growth (YoY),WASTE_RECYCLED,—,9.6,-11.1,0.6,6.2,-2.8,-1.8,2.7,—,—,-2.6,-18.1,5.8,4.5,1.9,-5.9,7.9
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,0.6,0.3,0.3,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.9,1.4,0.6,0.0,0.1,0.0,1.9
    Growth (YoY),WASTE_SENT_TO_LANDFILLS,—,-41.6,-3.6,-67.3,60.0,-41.1,24.2,-38.2,34.2,34.3,589.8,46.9,-55.8,-93.8,115.8,-69.5,"7,560.0"
,,,,,,,,,,,,,,,,,,
Supply Chain,,,,,,,,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,,,,,,,,
Water,,,,,,,,,,,,,,,,,,
