,,,,,,,,,,,,,,,,,,
Imperial Oil Ltd (IMO CN) - Overview,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
In Millions of CAD except Per Share,,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2007,12/31/2008,12/31/2009,12/31/2010,12/31/2011,12/31/2012,12/31/2013,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,—,—,—,—,—,—,—,3.46,3.91,4.21,4.00,4.26,4.55,4.68,4.46,—
    Growth (YoY),ESG_SCORE,—,—,—,—,—,—,—,—,—,13.0,7.7,-5.0,6.5,6.8,2.9,-4.7,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,—,—,—,—,—,—,—,1.92,2.86,3.10,2.79,3.06,3.78,4.10,3.51,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,—,—,—,—,—,—,—,49.3,8.5,-10.1,9.9,23.3,8.4,-14.4,—
BESG Social Pillar Score,SOCIAL_SCORE,—,—,—,—,—,—,—,—,3.14,3.12,3.49,3.33,3.80,3.68,3.65,3.73,—
    Growth (YoY),SOCIAL_SCORE,—,—,—,—,—,—,—,—,—,-0.5,12.0,-4.8,14.1,-3.2,-0.6,2.1,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,—,—,—,—,—,—,—,7.18,6.98,7.26,7.26,7.20,7.01,6.96,7.14,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,—,—,—,—,—,—,—,-2.8,4.0,0.1,-0.9,-2.6,-0.8,2.7,—
,,,,,,,,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,52.21,53.02,53.02,55.34,56.22,56.26,55.79,55.79,58.74,59.10,61.59,62.45,63.47,65.75,66.43,66.43,33.67
    Growth (YoY),ESG_DISCLOSURE_SCORE,—,1.6,0.0,4.4,1.6,0.1,-0.8,0.0,5.3,0.6,4.2,1.4,1.6,3.6,1.0,0.0,-49.3
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,35.31,35.31,35.31,38.69,39.53,40.95,39.53,39.53,43.64,43.31,46.81,46.81,47.30,60.83,60.83,60.83,2.69
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,—,0.0,0.0,9.6,2.2,3.6,-3.5,0.0,10.4,-0.8,8.1,0.0,1.0,28.6,0.0,0.0,-95.6
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,43.20,40.63,40.63,44.20,46.01,42.20,42.20,42.20,44.98,46.40,50.39,52.96,55.56,48.85,50.91,50.91,10.64
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,—,-5.9,0.0,8.8,4.1,-8.3,0.0,0.0,6.6,3.2,8.6,5.1,4.9,-12.1,4.2,0.0,-79.1
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,78.03,83.02,83.02,83.02,83.02,85.52,85.52,85.52,87.48,87.48,87.48,87.48,87.48,87.48,87.48,87.48,87.48
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,—,6.4,0.0,0.0,0.0,3.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,
Environmental,,,,,,,,,,,,,,,,,,
Air Quality,,,,,,,,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,20.4,18.0,15.9,14.7,13.6,12.3,12.9,12.8,15.5,15.9,16.5,17.7,18.3,16.4,17.5,17.4,—
    Growth (YoY),NOX_EMISSIONS,—,-11.8,-11.7,-7.5,-7.5,-9.6,4.9,-0.8,21.1,2.6,3.8,7.3,3.4,-10.4,6.7,-0.6,—
VOC Emissions,VOC_EMISSIONS,20.0,19.0,17.8,16.9,17.3,14.4,15.0,18.3,14.0,10.5,10.4,10.7,9.6,10.9,10.1,12.5,—
    Growth (YoY),VOC_EMISSIONS,—,-5.0,-6.3,-5.1,2.4,-16.8,4.2,22.0,-23.5,-25.0,-1.0,2.9,-10.3,13.5,-7.3,23.8,—
Particulate Emissions,PARTICULATE_EMISSIONS,—,—,—,—,—,—,—,—,4.6,5.9,8.9,8.3,9.6,7.8,12.3,12.3,—
    Growth (YoY),PARTICULATE_EMISSIONS,—,—,—,—,—,—,—,—,—,28.3,50.8,-6.7,15.7,-18.8,57.7,0.0,—
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,38.5,34.5,36.1,26.1,26.5,21.8,24.9,24.3,22.9,21.4,20.9,24.0,23.3,19.1,26.0,24.6,—
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,-10.4,4.6,-27.7,1.5,-17.7,14.2,-2.4,-5.8,-6.6,-2.3,14.8,-2.9,-18.0,36.1,-5.4,—
,,,,,,,,,,,,,,,,,,
Climate Change,,,,,,,,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,—,—,—,—,—,—,—,—,—,—,"12,800.0","12,900.0","13,000.0","12,900.0","13,800.0","14,000.0",—
    Growth (YoY),CO2_SCOPE_1,—,—,—,—,—,—,—,—,—,—,—,0.8,0.8,-0.8,7.0,1.4,—
GHG Scope 1,GHG_SCOPE_1,"10,600.0","10,300.0","9,800.0","10,100.0","10,300.0","9,800.0","10,500.0","10,700.0","12,800.0","13,000.0","13,100.0","13,100.0","13,100.0","13,000.0","13,800.0","14,200.0",—
    Growth (YoY),GHG_SCOPE_1,—,-2.8,-4.9,3.1,2.0,-4.9,7.1,1.9,19.6,1.6,0.8,0.0,0.0,-0.8,6.2,2.9,—
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,900.0,800.0,500.0,600.0,500.0,900.0,"1,100.0","1,100.0",670.0,700.0,730.0,750.0,790.0,790.0,680.0,730.0,—
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,-11.1,-37.5,20.0,-16.7,80.0,22.2,0.0,-39.1,4.5,4.3,2.7,5.3,0.0,-13.9,7.4,—
Scope of Disclosure,SCOPE_OF_DISCLOSURE,—,—,—,—,—,1.00,—,—,—,—,1.00,1.00,1.00,1.00,1.00,1.00,—
    Growth (YoY),SCOPE_OF_DISCLOSURE,—,—,—,—,—,—,—,—,—,—,—,0.0,0.0,0.0,0.0,0.0,—
,,,,,,,,,,,,,,,,,,
Energy,,,,,,,,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
Total Energy Consumption,ENERGY_CONSUMPTION,"52,722.2","50,055.6","47,500.0","47,638.9","48,666.7","41,083.3","48,166.7","47,305.6","60,833.3","61,111.1","61,944.4","63,055.6","63,055.6","62,500.0","65,555.6","67,500.0",—
