,,,,,,,,,
Italgas SpA (IG IM) - Overview,,,,,,,,,
,,,,,,,,,
In Millions of EUR except Per Share,,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,
BESG ESG Score,ESG_SCORE,2.45,2.40,5.56,5.99,5.94,6.23,6.29,—
    Growth (YoY),ESG_SCORE,—,-2.0,131.7,7.7,-0.8,4.9,1.0,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,0.30,0.30,5.19,5.12,5.12,5.60,5.60,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,0.0,"1,647.2",-1.4,0.0,9.4,0.0,—
BESG Social Pillar Score,SOCIAL_SCORE,4.95,4.64,6.86,6.82,6.83,6.96,6.04,—
    Growth (YoY),SOCIAL_SCORE,—,-6.2,47.9,-0.6,0.1,2.0,-13.3,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,4.88,4.89,5.24,6.66,6.52,6.63,7.46,—
    Growth (YoY),GOVERNANCE_SCORE,—,0.3,7.1,27.1,-2.1,1.7,12.4,—
,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,45.21,54.63,63.23,62.76,60.49,63.24,63.42,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,—,20.9,15.7,-0.7,-3.6,4.6,0.3,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,41.47,38.09,57.35,55.93,54.55,57.38,57.93,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,—,-8.2,50.6,-2.5,-2.5,5.2,0.9,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,31.35,36.40,42.38,42.38,36.94,42.38,42.38,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,—,16.1,16.4,0.0,-12.8,14.7,0.0,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,62.73,89.28,89.86,89.86,89.86,89.86,89.86,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,—,42.3,0.6,0.0,0.0,0.0,0.0,—
,,,,,,,,,
Environmental,,,,,,,,,
Air Quality,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
    Growth (YoY),NOX_EMISSIONS,—,-1.8,-6.8,-21.4,-8.1,-2.8,-24.6,-0.8
,,,,,,,,,
Climate Change,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,Yes,Yes,Yes,Yes
