,,,,,,,,,,,,,,,,,,
Japan Petroleum Exploration Co Ltd (1662 JP) - Overview,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
In Billions of JPY except Per Share,,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
12 Months Ending,,03/31/2008,03/31/2009,03/31/2010,03/31/2011,03/31/2012,03/31/2013,03/31/2014,03/31/2015,03/31/2016,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024
ESG Financial Materiality Scores,,,,,,,,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,—,—,—,—,—,—,—,—,—,—,—,—,4.26,4.54,4.80,—
    Growth (YoY),ESG_SCORE,—,—,—,—,—,—,—,—,—,—,—,—,—,—,6.6,5.7,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,—,—,—,—,—,—,—,—,—,—,—,—,5.28,5.25,5.18,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,—,—,—,—,—,—,—,—,—,—,—,—,-0.5,-1.4,—
BESG Social Pillar Score,SOCIAL_SCORE,—,—,—,—,—,—,—,—,—,—,—,—,—,3.02,3.95,3.85,—
    Growth (YoY),SOCIAL_SCORE,—,—,—,—,—,—,—,—,—,—,—,—,—,—,30.7,-2.5,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,—,—,—,—,—,—,—,—,—,—,—,—,3.98,4.02,5.17,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1.1,28.6,—
,,,,,,,,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,33.32,34.73,34.73,35.02,35.02,34.65,38.14,37.47,40.23,47.03,47.68,50.13,51.25,68.68,71.99,71.52,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,—,4.3,0.0,0.8,0.0,-1.0,10.0,-1.7,7.4,16.9,1.4,5.1,2.2,34.0,4.8,-0.7,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,36.03,40.29,40.29,41.14,41.14,35.22,35.22,35.22,35.22,55.63,57.60,59.02,62.40,78.38,79.79,79.79,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,—,11.8,0.0,2.1,0.0,-14.4,0.0,0.0,0.0,58.0,3.5,2.5,5.7,25.6,1.8,0.0,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,8.37,8.37,8.37,8.37,8.37,13.21,17.38,14.81,23.10,23.10,23.10,23.10,23.10,38.94,47.49,46.07,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,—,0.0,0.0,0.0,0.0,57.8,31.6,-14.8,55.9,0.0,0.0,0.0,0.0,68.6,22.0,-3.0,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,55.45,55.45,55.45,55.45,55.45,55.45,61.71,62.28,62.28,62.28,62.28,68.18,68.18,88.62,88.62,88.62,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,—,0.0,0.0,0.0,0.0,0.0,11.3,0.9,0.0,0.0,0.0,9.5,0.0,30.0,0.0,0.0,—
,,,,,,,,,,,,,,,,,,
Environmental,,,,,,,,,,,,,,,,,,
Air Quality,,,,,,,,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,—,—,—,—,—,—,—,—,—,—,—,—,—,0.2,0.1,0.1,0.1
    Growth (YoY),NOX_EMISSIONS,—,—,—,—,—,—,—,—,—,—,—,—,—,—,-13.5,-9.0,0.8
VOC Emissions,VOC_EMISSIONS,1.9,3.0,2.8,2.7,1.0,0.8,0.8,0.9,0.5,0.6,1.6,1.4,1.2,1.4,1.0,1.0,1.0
    Growth (YoY),VOC_EMISSIONS,—,58.0,-7.5,-2.5,-63.6,-21.5,0.1,17.0,-39.5,12.5,165.9,-16.7,-15.2,24.7,-29.3,-2.6,-1.2
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,—,—,—,—,—,—,—,—,—,—,—,0.0,0.0,0.0,0.0
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,0.0,200.0
,,,,,,,,,,,,,,,,,,
Climate Change,,,,,,,,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,—,—,—,—,—,—,—,—,—,—,—,—,—,701.6,591.2,191.1,178.1
    Growth (YoY),CO2_SCOPE_1,—,—,—,—,—,—,—,—,—,—,—,—,—,—,-15.7,-67.7,-6.8
CO2 Scope 2 Location-Based,CO2_SCOPE_2_LOCATION_BASED,—,—,—,—,—,—,—,—,—,—,—,—,—,—,67.0,33.0,20.0
    Growth (YoY),CO2_SCOPE_2_LOCATION_BASED,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,-50.7,-39.4
GHG Scope 1,GHG_SCOPE_1,—,255.7,276.4,256.8,220.7,221.3,198.2,190.8,177.8,191.0,530.0,720.0,770.0,740.9,623.7,257.7,237.2
    Growth (YoY),GHG_SCOPE_1,—,—,8.1,-7.1,-14.1,0.3,-10.4,-3.7,-6.8,7.4,177.5,35.8,6.9,-3.8,-15.8,-58.7,-8.0
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,19.0,26.1,23.0,22.0,31.9,41.0,40.9,41.2,39.8,60.0,90.0,90.0,75.0,67.0,33.0,20.0
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,37.4,-11.9,-4.4,45.0,28.8,-0.3,0.6,-3.4,50.8,50.0,0.0,-16.7,-10.7,-50.7,-39.4
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,—,—,—,—,—,—,—,—,61.1,57.3,59.8,—
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,—,—,—,—,—,—,—,—,—,-6.3,4.4,—
GHG Scope 3,GHG_SCOPE_3,—,17.7,22.2,23.4,13.9,14.3,11.9,12.7,11.8,11.0,11.1,10.6,11.0,"16,541.0","10,054.9","7,125.0","8,361.0"
    Growth (YoY),GHG_SCOPE_3,—,—,25.4,5.4,-40.6,2.9,-16.7,6.8,-6.9,-7.3,1.3,-4.8,3.4,"150,876.6",-39.2,-29.1,17.3
Scope of Disclosure,SCOPE_OF_DISCLOSURE,—,—,—,—,—,—,—,—,—,—,—,—,—,1.00,1.00,1.00,—
    Growth (YoY),SCOPE_OF_DISCLOSURE,—,—,—,—,—,—,—,—,—,—,—,—,—,—,0.0,0.0,—
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,—,—,—,—,—,—,—,—,—,—,—,0.47,0.43,0.50,0.44,0.30,0.29
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,—,—,—,—,—,—,—,—,—,—,—,—,-9.4,17.2,-11.8,-31.7,-4.9
,,,,,,,,,,,,,,,,,,
Energy,,,,,,,,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,732.4,889.7,901.9,871.5,868.9,880.0,819.8,698.9,659.4,681.4,"1,784.7","3,320.8","3,815.3","3,519.1","2,919.7",886.1,834.2
    Growth (YoY),ENERGY_CONSUMPTION,—,21.5,1.4,-3.4,-0.3,1.3,-6.8,-14.7,-5.6,3.3,161.9,86.1,14.9,-7.8,-17.0,-69.7,-5.9
Renewable Energy Use,RENEW_ENERGY_USE,—,—,—,—,—,—,—,—,—,20.5,21.1,19.6,21.8,0.1,0.6,8.5,192.8
    Growth (YoY),RENEW_ENERGY_USE,—,—,—,—,—,—,—,—,—,—,2.8,-7.1,11.0,-99.6,647.7,"1,221.9","2,168.4"
Electricity Used,ELECTRICITY_USED,—,—,—,—,—,—,—,—,—,176.8,95.1,505.3,563.1,231.9,528.9,323.7,286.0
    Growth (YoY),ELECTRICITY_USED,—,—,—,—,—,—,—,—,—,—,-46.2,431.3,11.4,-58.8,128.1,-38.8,-11.6
Self Generated Renewable Electricity,SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,—,—,—,—,—,—,—,—,—,—,0.1,0.1,0.1,0.3
    Growth (YoY),SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,—,—,—,—,—,—,—,—,—,—,—,5.8,7.7,217.5
Fuel Used - Natural Gas,NAT_GAS_USED,—,—,—,—,—,—,—,—,—,"47,069.0","141,731.0","280,345.0","323,677.0","328,718.0","227,979.0","51,995.7","50,557.4"
    Growth (YoY),NAT_GAS_USED,—,—,—,—,—,—,—,—,—,—,201.1,97.8,15.5,1.6,-30.6,-77.2,-2.8
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,—,—,—,—,—,—,—,—,—,1.3,2.3,1.8,2.2,1.9,1.7,3.9,4.1
    Growth (YoY),OIL_DIESEL_USED,—,—,—,—,—,—,—,—,—,—,73.1,-22.0,22.3,-13.3,-10.4,124.7,4.6
,,,,,,,,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,—,—,—,—,—,—,—,—,—,—,1.3,1.0,0.8,0.9,0.7,1.6,1.4
    Growth (YoY),HAZARDOUS_WASTE,—,—,—,—,—,—,—,—,—,—,—,-20.3,-17.6,6.0,-18.0,119.2,-14.4
Total Waste,TOTAL_WASTE,24.2,33.9,18.1,17.8,14.0,28.8,21.6,16.5,16.7,9.3,20.1,62.0,90.0,75.0,6.0,19.0,23.0
    Growth (YoY),TOTAL_WASTE,—,40.2,-46.5,-2.1,-21.4,106.6,-25.3,-23.3,1.0,-44.6,117.1,208.6,45.2,-16.7,-92.0,216.7,21.1
Waste Recycled,WASTE_RECYCLED,—,—,—,—,—,—,—,—,—,—,—,—,—,0.4,0.8,13.1,16.2
    Growth (YoY),WASTE_RECYCLED,—,—,—,—,—,—,—,—,—,—,—,—,—,—,113.2,"1,522.2",23.1
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,—,—,—,—,—,—,—,—,—,—,—,—,—,0.1,0.2,1.0,4.2
    Growth (YoY),WASTE_SENT_TO_LANDFILLS,—,—,—,—,—,—,—,—,—,—,—,—,—,—,75.0,395.2,307.7
,,,,,,,,,,,,,,,,,,
Supply Chain,,,,,,,,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,,,,,,,,
Water,,,,,,,,,,,,,,,,,,
