,,,,,,,,,,,
Kerry Group PLC (KYGA ID) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of EUR except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,2.590,3.160,3.070,3.990,4.690,5.240,5.650,5.850,—
    Growth (YoY),ESG_SCORE,—,—,22.008,-2.848,29.967,17.544,11.727,7.824,3.540,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,0.520,0.760,0.520,2.610,4.130,4.710,5.870,6.010,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,46.139,-31.572,399.521,58.168,13.932,24.572,2.505,—
BESG Social Pillar Score,SOCIAL_SCORE,—,2.110,3.050,3.160,2.620,2.620,3.310,3.380,3.540,—
    Growth (YoY),SOCIAL_SCORE,—,—,44.762,3.650,-17.276,0.000,26.464,2.251,4.706,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,7.470,8.090,8.210,8.060,8.150,8.390,8.060,8.360,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,8.333,1.523,-1.920,1.216,2.912,-3.991,3.713,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,39.503,46.183,46.464,59.702,47.048,61.040,60.567,65.376,64.903,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,1.342,16.909,0.610,28.491,-21.196,29.741,-0.775,7.939,-0.723,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,3.836,21.595,22.440,60.767,22.773,64.784,63.365,69.043,67.623,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,0.000,462.992,3.916,170.794,-62.525,184.483,-2.191,8.961,-2.056,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,25.212,26.239,26.239,27.660,27.660,27.660,27.660,36.427,36.427,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,6.650,4.077,0.000,5.415,0.000,0.000,0.000,31.694,0.000,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,89.284,90.548,90.548,90.548,90.548,90.548,90.548,90.548,90.548,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.000,1.416,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,—,—,—,1.202,—,0.991,1.004,1.018,1.112,1.231
    Growth (YoY),NOX_EMISSIONS,—,—,—,—,—,—,1.312,1.394,9.234,10.701
VOC Emissions,VOC_EMISSIONS,—,—,—,0.266,—,0.196,0.207,0.210,0.209,0.213
    Growth (YoY),VOC_EMISSIONS,—,—,—,—,—,—,5.612,1.449,-0.476,1.914
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,—,0.859,—,0.044,0.042,0.043,0.053,0.065
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,—,—,—,—,-4.545,2.381,23.256,22.642
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,Yes,Yes,Yes
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
ODS Emissions,ODS_EMISSIONS,—,—,—,0.000,—,0.000,0.000,0.000,0.000,0.000
    Growth (YoY),ODS_EMISSIONS,—,—,—,—,—,—,40.000,142.857,-82.353,0.000
CO2 Scope 1,CO2_SCOPE_1,—,—,—,—,—,—,—,411.182,—,—
GHG Scope 1,GHG_SCOPE_1,—,—,—,514.521,—,434.759,474.460,474.642,452.607,423.401
    Growth (YoY),GHG_SCOPE_1,—,—,—,—,—,—,9.132,0.038,-4.642,-6.453
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,—,360.720,370.096,323.731,311.481,—
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,—,—,2.599,-12.528,-3.784,—
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,—,—,415.811,—,360.720,295.291,178.798,49.085,50.269
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,—,-18.138,-39.450,-72.547,2.412
GHG Scope 3,GHG_SCOPE_3,—,—,—,"10,455.200",—,"9,609.030","10,005.800","10,511.900","9,866.460","8,871.300"
    Growth (YoY),GHG_SCOPE_3,—,—,—,—,—,—,4.129,5.058,-6.140,-10.086
Scope of Disclosure,SCOPE_OF_DISCLOSURE,—,—,—,—,—,1.000,1.000,1.000,1.000,—
    Growth (YoY),SCOPE_OF_DISCLOSURE,—,—,—,—,—,—,0.000,0.000,0.000,—
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,0.319,0.318,0.312,0.279,0.260,0.239,—,—,—,—
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,-1.238,-0.317,-1.827,-10.622,-6.838,-7.902,—,—,—,—
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,—,—,—,"3,521.470",—,"3,142.680","3,288.430","3,555.850","3,486.630","3,235.080"
    Growth (YoY),ENERGY_CONSUMPTION,—,—,—,—,—,—,4.638,8.132,-1.947,-7.215
Renewable Energy Use,RENEW_ENERGY_USE,—,—,—,248.140,—,80.445,216.373,729.270,985.853,918.621
    Growth (YoY),RENEW_ENERGY_USE,—,—,—,—,—,—,168.970,237.043,35.184,-6.820
Electricity Used,ELECTRICITY_USED,—,—,—,784.809,—,772.677,793.533,744.180,737.852,686.128
    Growth (YoY),ELECTRICITY_USED,—,—,—,—,—,—,2.699,-6.219,-0.850,-7.010
Energy Per Unit of Production,ENERGY_PER_UNIT_PRODUCTION,—,—,—,0.950,—,0.920,0.953,1.060,1.050,1.080
    Growth (YoY),ENERGY_PER_UNIT_PRODUCTION,—,—,—,—,—,—,3.587,11.228,-0.943,2.857
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,—,—,—,1.499,—,1.237,1.413,1.619,1.619,1.677
    Growth (YoY),HAZARDOUS_WASTE,—,—,—,—,—,—,14.228,14.579,0.000,3.582
Total Waste,TOTAL_WASTE,—,—,—,461.860,—,404.322,453.128,467.365,491.828,428.421
    Growth (YoY),TOTAL_WASTE,—,—,—,—,—,—,12.071,3.142,5.234,-12.892
Waste Recycled,WASTE_RECYCLED,—,—,—,34.188,—,33.958,26.793,25.835,46.328,27.912
    Growth (YoY),WASTE_RECYCLED,—,—,—,—,—,—,-21.100,-3.576,79.323,-39.751
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,—,—,—,41.949,—,35.003,32.932,24.947,22.068,17.877
    Growth (YoY),WASTE_SENT_TO_LANDFILLS,—,—,—,—,—,—,-5.917,-24.247,-11.540,-18.991
Pct Recycled Materials,PCT_RECYCLED_MATERIALS,—,—,—,—,—,—,—,57.000,74.000,85.000
    Growth (YoY),PCT_RECYCLED_MATERIALS,—,—,—,—,—,—,—,—,29.825,14.865
Percentage Raw Material from Sustainable Sources,PCT_RAW_MATERIAL_SUSTAIN_SRC,—,—,—,—,—,—,—,86.000,84.000,—
    Growth (YoY),PCT_RAW_MATERIAL_SUSTAIN_SRC,—,—,—,—,—,—,—,—,-2.326,—
Plastic Packaging Recycled Content Target Indicatr,PLASTIC_PACK_RECYCL_CONT_TGT_IND,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Plastic Packaging RRC Target Indicator,PLASTIC_PACK_RRC_TARGET_IND,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,—,—,—,"21,777.000",—,"20,505.000","21,606.000","22,480.000","21,566.000","19,591.000"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,—,—,—,—,—,—,5.369,4.045,-4.066,-9.158
Total Water Discharged,TOTAL_WATER_DISCHARGED,—,—,—,"18,319.000",—,"17,627.000","19,056.000","19,299.000","17,789.000","16,193.000"
    Growth (YoY),TOTAL_WATER_DISCHARGED,—,—,—,—,—,—,8.107,1.275,-7.824,-8.972
Water Consumption,WATER_CONSMPTN,—,—,—,"3,645.000",—,"3,111.000","2,754.000","3,429.000","4,008.000","3,568.000"
    Growth (YoY),WATER_CONSMPTN,—,—,—,—,—,—,-11.475,24.510,16.885,-10.978
Water per Unit of Production,WATER_PER_UNIT_OF_PROD,—,"4,670.000","4,760.000",6.770,"4,410.000",6.030,6.390,6.680,6.510,6.560
    Growth (YoY),WATER_PER_UNIT_OF_PROD,—,—,1.927,-99.858,"65,040.325",-99.863,5.970,4.538,-2.545,0.768
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,n/a,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,21.000,21.000,26.000,24.000,26.000,25.000,35.000,36.000,36.000,37.000
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,—,0.000,23.810,-7.692,8.333,-3.846,40.000,2.857,0.000,2.778
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Political Donations,POLITICAL_DONATIONS,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,—,—,—,—,—,—,—,1.000,0.000,1.000
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,—,—,—,—,1.350,1.180,0.900
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,—,—,—,—,—,-12.593,-23.729
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"23,767.000","23,000.000","23,000.000","24,000.000","25,000.000","26,000.000","20,245.000","20,631.000","21,939.000","21,141.000"
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,—,—,—,—,—,—,—,25.000,32.000,30.000
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,—,—,—,—,—,—,—,—,28.000,-6.250
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,—,—,—,—,"103,155.000","109,695.000","147,987.000"
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,—,—,—,—,—,6.340,34.908
