,,,,,,,,,,,,,,,,,,
Keyera Corp (KEY CN) - Overview,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
In Millions of CAD except Per Share,,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
12 Months Ending,,12/31/2008,12/31/2009,12/31/2010,12/31/2011,12/31/2012,12/31/2013,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023,12/31/2024
ESG Financial Materiality Scores,,,,,,,,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,—,—,—,—,—,—,2.96,3.06,5.11,5.33,5.03,5.13,5.17,5.03,—,—
    Growth (YoY),ESG_SCORE,—,—,—,—,—,—,—,—,3.4,67.0,4.3,-5.6,2.0,0.8,-2.7,—,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,—,—,—,—,—,—,0.98,1.03,4.81,5.54,4.94,5.30,5.16,4.89,—,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,—,—,—,—,—,—,5.7,365.1,15.3,-10.9,7.3,-2.7,-5.2,—,—
BESG Social Pillar Score,SOCIAL_SCORE,—,—,—,—,—,—,—,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,—,—
    Growth (YoY),SOCIAL_SCORE,—,—,—,—,—,—,—,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,—,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,—,—,—,—,—,—,7.73,8.03,8.41,8.00,7.88,7.65,8.04,7.96,—,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,—,—,—,—,—,—,3.9,4.7,-4.9,-1.4,-3.0,5.2,-1.1,—,—
,,,,,,,,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,27.15,30.17,29.75,31.13,30.78,33.94,32.83,36.26,39.89,57.90,58.48,66.48,67.53,61.33,67.63,—,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,—,11.1,-1.4,4.7,-1.1,10.3,-3.3,10.4,10.0,45.2,1.0,13.7,1.6,-9.2,10.3,—,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,0.00,4.26,4.59,4.59,4.92,11.84,1.00,5.16,5.16,50.05,51.77,53.19,56.33,51.46,56.63,—,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,—,—,7.8,0.0,7.2,140.5,-91.6,418.2,0.0,869.0,3.4,2.7,5.9,-8.6,10.0,—,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,3.23,8.04,6.44,10.61,9.22,11.79,11.79,15.96,26.84,36.06,36.06,52.42,52.42,38.66,52.42,—,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,—,148.6,-19.9,64.8,-13.1,27.9,0.0,35.4,68.2,34.3,0.0,45.3,0.0,-26.2,35.6,—,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,78.03,78.03,78.03,78.03,78.03,78.03,85.52,87.48,87.48,87.48,87.48,93.74,93.74,93.74,93.74,—,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,—,0.0,0.0,0.0,0.0,0.0,9.6,2.3,0.0,0.0,0.0,7.2,0.0,0.0,0.0,—,—
,,,,,,,,,,,,,,,,,,
Environmental,,,,,,,,,,,,,,,,,,
Air Quality,,,,,,,,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,—,—,—,—,—,—,—,—,—,6.1,5.9,5.9,4.8,4.1,2.8,2.9,—
    Growth (YoY),NOX_EMISSIONS,—,—,—,—,—,—,—,—,—,—,-4.5,0.9,-18.1,-16.3,-30.1,2.0,—
VOC Emissions,VOC_EMISSIONS,—,—,—,—,—,—,—,—,—,2.4,1.6,2.1,1.3,2.2,1.1,0.6,—
    Growth (YoY),VOC_EMISSIONS,—,—,—,—,—,—,—,—,—,—,-32.8,30.3,-36.0,64.1,-47.8,-46.1,—
Particulate Emissions,PARTICULATE_EMISSIONS,—,—,—,—,—,—,—,—,—,0.1,0.1,0.1,0.1,0.1,0.1,0.1,—
    Growth (YoY),PARTICULATE_EMISSIONS,—,—,—,—,—,—,—,—,—,—,-1.3,73.0,-8.6,-9.4,0.0,-10.4,—
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,—,—,—,—,—,—,—,3.4,2.1,3.2,1.1,1.2,1.4,1.3,—
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,—,—,—,—,—,—,—,—,-37.5,52.3,-65.3,8.4,16.6,-8.7,—
,,,,,,,,,,,,,,,,,,
Climate Change,,,,,,,,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,Yes,n/a
Climate Change Policy,CLIMATE_CHG_POLICY,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,—,—,—,—,—,—,—,—,—,"1,592.2","1,504.8","1,538.5","1,401.5","1,386.6","1,386.6","1,420.9",—
    Growth (YoY),CO2_SCOPE_1,—,—,—,—,—,—,—,—,—,—,-5.5,2.2,-8.9,-1.1,0.0,2.5,—
CO2 Scope 2 Location-Based,CO2_SCOPE_2_LOCATION_BASED,—,—,—,—,—,—,—,—,—,—,—,—,0.0,—,—,—,—
GHG Scope 1,GHG_SCOPE_1,—,"1,352.7","1,480.4","1,462.7","1,707.9","1,685.5",—,"1,774.6","1,707.6","1,674.2","1,581.8","1,627.6","1,509.2","1,492.8","1,486.4","1,504.2",—
    Growth (YoY),GHG_SCOPE_1,—,—,9.4,-1.2,16.8,-1.3,—,—,-3.8,-2.0,-5.5,2.9,-7.3,-1.1,-0.4,1.2,—
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,246.4,276.7,216.8,346.1,363.1,—,485.6,490.9,593.9,588.3,505.3,304.9,270.5,246.8,183.1,—
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,12.3,-21.7,59.6,4.9,—,—,1.1,21.0,-1.0,-14.1,-39.7,-11.3,-8.8,-25.8,—
GHG Scope 3,GHG_SCOPE_3,—,—,—,—,—,2.8,—,—,—,—,—,0.0,1.5,1.5,2.7,—,—
    Growth (YoY),GHG_SCOPE_3,—,—,—,—,—,—,—,—,—,—,—,—,"52,792.9",2.5,79.8,—,—
Scope of Disclosure,SCOPE_OF_DISCLOSURE,—,1.00,1.00,1.00,1.00,1.00,—,—,—,1.00,1.00,1.00,1.00,1.00,1.00,1.00,—
    Growth (YoY),SCOPE_OF_DISCLOSURE,—,—,0.0,0.0,0.0,0.0,—,—,—,—,0.0,0.0,0.0,0.0,0.0,0.0,—
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,—,—,—,—,—,—,—,—,—,0.08,0.06,0.06,0.05,0.05,0.05,0.00,—
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,—,—,—,—,—,—,—,—,—,—,-21.5,-5.4,-10.4,-13.5,-0.7,-97.1,—
,,,,,,,,,,,,,,,,,,
Energy,,,,,,,,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,n/a
Total Energy Consumption,ENERGY_CONSUMPTION,—,—,—,—,—,"5,764.3",—,—,—,"5,638.6","7,987.1","8,257.0","7,235.2","8,210.1","8,135.0","8,472.2",—
    Growth (YoY),ENERGY_CONSUMPTION,—,—,—,—,—,—,—,—,—,—,41.6,3.4,-12.4,13.5,-0.9,4.1,—
Renewable Energy Use,RENEW_ENERGY_USE,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,46.4,—
Electricity Used,ELECTRICITY_USED,—,—,—,—,—,399.0,—,—,—,371.5,509.8,633.9,595.3,655.1,456.0,—,—
    Growth (YoY),ELECTRICITY_USED,—,—,—,—,—,—,—,—,—,—,37.2,24.3,-6.1,10.0,-30.4,—,—
Self Generated Renewable Electricity,SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,—,—,—,—,—,—,—,—,—,0.0,—,0.0,0.0,—
Fuel Used - Coal/Lignite,COAL_USED,—,—,—,—,—,—,—,—,—,—,—,—,—,—,0.0,0.0,—
Fuel Used - Natural Gas,NAT_GAS_USED,—,—,—,—,—,"514,306.0",—,—,—,"540,508.0","716,363.0","730,231.0","649,926.0","782,147.0","769,507.0","806,579.0",—
    Growth (YoY),NAT_GAS_USED,—,—,—,—,—,—,—,—,—,—,32.5,1.9,-11.0,20.3,-1.6,4.8,—
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,—,—,—,—,—,—,—,—,—,—,0.2,0.3,0.4,—,0.0,0.0,—
    Growth (YoY),OIL_DIESEL_USED,—,—,—,—,—,—,—,—,—,—,—,80.7,46.0,—,—,—,—
,,,,,,,,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Hazardous Waste,HAZARDOUS_WASTE,—,—,—,—,—,—,—,—,—,3.7,4.9,6.4,5.3,5.6,4.5,7.3,—
    Growth (YoY),HAZARDOUS_WASTE,—,—,—,—,—,—,—,—,—,—,34.0,29.5,-16.2,4.9,-19.1,61.4,—
Total Waste,TOTAL_WASTE,—,—,—,—,—,—,—,—,—,"1,211.8","1,505.0",181.9,182.8,183.4,235.2,262.9,—
    Growth (YoY),TOTAL_WASTE,—,—,—,—,—,—,—,—,—,—,24.2,-87.9,0.5,0.4,28.2,11.7,—
Waste Recycled,WASTE_RECYCLED,—,—,—,—,—,—,—,—,—,206.0,150.5,147.4,146.2,121.1,129.4,255.6,—
    Growth (YoY),WASTE_RECYCLED,—,—,—,—,—,—,—,—,—,—,-26.9,-2.1,-0.8,-17.2,6.9,97.5,—
,,,,,,,,,,,,,,,,,,
Supply Chain,,,,,,,,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,n/a
,,,,,,,,,,,,,,,,,,
Water,,,,,,,,,,,,,,,,,,
Water Policy,WATER_POLICY,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,—,—,—,—,—,—,—,—,—,"1,732.1","1,353.5","1,881.7","1,523.7","1,696.5","1,225.4",859.7,—
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,—,—,—,—,—,—,—,—,—,—,-21.9,39.0,-19.0,11.3,-27.8,-29.8,—
Total Water Discharged,TOTAL_WATER_DISCHARGED,—,—,—,—,—,—,—,—,—,18.9,24.2,15.6,6.5,49.2,147.8,16.3,—
    Growth (YoY),TOTAL_WATER_DISCHARGED,—,—,—,—,—,—,—,—,—,—,28.4,-35.5,-58.1,652.3,200.3,-89.0,—
