,,,,,,,,,,,,,,,,
Lotte Chemical Corp (011170 KS) - Overview,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
In Billions of KRW except Per Share,,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2009,12/31/2010,12/31/2011,12/31/2012,12/31/2013,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,—,—,—,—,—,3.01,3.14,3.20,3.01,3.00,3.60,3.82,3.96,—
    Growth (YoY),ESG_SCORE,—,—,—,—,—,—,—,4.3,1.9,-5.9,-0.3,20.0,6.1,3.7,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,—,—,—,—,—,3.77,3.78,3.97,3.63,3.54,4.63,4.80,5.29,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,—,—,—,—,—,0.4,4.8,-8.4,-2.6,31.0,3.5,10.4,—
BESG Social Pillar Score,SOCIAL_SCORE,—,—,—,—,—,—,0.88,0.88,0.88,0.88,0.88,0.88,1.32,1.32,—
    Growth (YoY),SOCIAL_SCORE,—,—,—,—,—,—,—,0.0,0.0,0.0,0.0,0.0,50.6,0.0,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,—,—,—,—,—,4.43,4.99,4.88,4.69,4.82,5.43,5.33,5.05,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,—,—,—,—,—,12.4,-2.1,-3.9,2.8,12.7,-1.9,-5.4,—
,,,,,,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,31.00,31.34,33.44,33.44,32.11,32.96,49.34,50.94,50.94,48.53,55.15,66.89,66.29,64.30,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,—,1.1,6.7,0.0,-4.0,2.7,49.7,3.2,0.0,-4.7,13.6,21.3,-0.9,-3.0,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,3.26,3.26,3.26,3.26,2.42,2.42,49.98,49.14,49.14,39.50,56.15,79.19,75.81,72.43,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,—,0.0,0.0,0.0,-25.9,0.0,"1,968.8",-1.7,0.0,-19.6,42.1,41.0,-4.3,-4.5,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,16.63,17.65,17.65,17.65,17.65,20.22,24.40,24.40,24.40,24.40,25.42,25.82,27.39,24.79,—
