,,,,,,
Lotte Chemical Titan Holding Bhd (TTNP MK) - Overview,,,,,,
,,,,,,
In Millions of MYR except Per Share,,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,
BESG ESG Score,ESG_SCORE,—,—,3.08,3.30,3.31
    Growth (YoY),ESG_SCORE,—,—,—,7.1,0.3
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,—,2.37,2.68,2.72
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,—,13.2,1.4
BESG Social Pillar Score,SOCIAL_SCORE,—,—,2.16,2.19,2.15
    Growth (YoY),SOCIAL_SCORE,—,—,—,1.2,-1.8
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,—,5.60,5.87,5.86
    Growth (YoY),GOVERNANCE_SCORE,—,—,—,4.9,-0.1
,,,,,,
ESG Disclosure Scores,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,55.25,62.28,57.30,67.64,67.47
    Growth (YoY),ESG_DISCLOSURE_SCORE,—,12.7,-8.0,18.0,-0.3
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,50.56,62.76,48.35,61.88,63.94
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,—,24.1,-23.0,28.0,3.3
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,25.18,34.10,33.56,51.09,48.52
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,—,35.4,-1.6,52.3,-5.0
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,89.86,89.86,89.86,89.86,89.86
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,—,0.0,0.0,0.0,0.0
,,,,,,
Environmental,,,,,,
Air Quality,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,0.0,0.3,0.0,0.6,0.6
    Growth (YoY),NOX_EMISSIONS,—,—,-99.7,"75,381.6",-0.3
Carbon Monoxide Emissions,CARBON_MONOXIDE_EMISSIONS,0.0,0.1,0.3,0.4,0.2
    Growth (YoY),CARBON_MONOXIDE_EMISSIONS,—,"55,158.8",330.5,28.2,-54.2
Particulate Emissions,PARTICULATE_EMISSIONS,0.0,0.0,0.1,0.0,0.0
    Growth (YoY),PARTICULATE_EMISSIONS,—,"493,750.0",228.2,-27.6,-24.3
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,0.0,0.0,0.0,0.1,0.2
