,,,,,,,,,,,,,,,
LyondellBasell Industries NV (LYB US) - Overview,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2010,12/31/2011,12/31/2012,12/31/2013,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,—,—,—,—,3.86,4.26,4.72,4.80,5.48,5.43,5.77,6.25,6.18
    Growth (YoY),ESG_SCORE,—,—,—,—,—,—,10.4,10.8,1.7,14.2,-0.9,6.3,8.3,-1.1
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,—,—,—,—,2.43,3.16,3.30,3.55,3.48,3.13,3.95,4.34,4.46
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,—,—,—,—,29.9,4.6,7.7,-2.0,-10.3,26.4,10.0,2.7
BESG Social Pillar Score,SOCIAL_SCORE,—,—,—,—,—,3.16,3.12,4.40,4.51,7.06,7.79,7.37,7.90,7.70
    Growth (YoY),SOCIAL_SCORE,—,—,—,—,—,—,-1.1,41.0,2.3,56.7,10.3,-5.4,7.2,-2.6
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,—,—,—,—,7.73,7.90,7.95,7.57,7.81,7.68,7.63,8.24,7.88
    Growth (YoY),GOVERNANCE_SCORE,—,—,—,—,—,—,2.3,0.6,-4.8,3.2,-1.7,-0.6,8.0,-4.3
,,,,,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,41.29,41.57,41.57,42.04,42.04,48.51,56.78,65.67,63.94,65.51,64.20,70.30,73.05,76.31
    Growth (YoY),ESG_DISCLOSURE_SCORE,—,0.7,0.0,1.1,0.0,15.4,17.0,15.7,-2.6,2.5,-2.0,9.5,3.9,4.5
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,24.28,25.46,25.46,26.88,26.88,35.16,46.30,64.69,65.03,61.64,56.15,70.52,70.52,77.74
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,—,4.9,0.0,5.6,0.0,30.8,31.7,39.7,0.5,-5.2,-8.9,25.6,0.0,10.2
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,16.41,16.05,16.05,16.05,16.05,25.24,36.43,44.74,44.74,47.31,48.88,52.84,54.81,57.38
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,—,-2.2,0.0,0.0,0.0,57.3,44.3,22.8,0.0,5.7,3.3,8.1,3.7,4.7
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,83.02,83.02,83.02,83.02,83.02,84.98,87.48,87.48,81.97,87.48,87.48,87.48,93.74,93.74
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,—,0.0,0.0,0.0,0.0,2.4,2.9,0.0,-6.3,6.7,0.0,0.0,7.2,0.0
,,,,,,,,,,,,,,,
Environmental,,,,,,,,,,,,,,,
Air Quality,,,,,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,9.5,8.7,8.1,8.1,8.0,8.0,7.2,8.1,7.8,7.5,7.4,7.5,6.8,7.3
    Growth (YoY),NOX_EMISSIONS,—,-8.5,-6.9,0.0,-1.2,0.4,-10.0,11.4,-3.6,-3.8,-1.4,1.9,-8.9,7.1
VOC Emissions,VOC_EMISSIONS,9.3,8.2,8.5,7.3,7.3,8.1,8.3,8.1,7.5,7.2,7.0,7.9,7.4,7.4
