,,,,,,,,,
Mesquite Energy Inc (SNECQ US) - Overview,,,,,,,,,
,,,,,,,,,
In Millions of USD except Per Share,,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018
12 Months Ending,,12/31/2011,12/31/2012,12/31/2013,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018
ESG Financial Materiality Scores,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,—,—,—,1.89,1.76,1.95,1.92
    Growth (YoY),ESG_SCORE,—,—,—,—,—,-6.9,10.8,-1.5
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,—,—,—,1.33,1.18,1.43,1.51
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,—,—,—,-11.5,20.7,5.8
BESG Social Pillar Score,SOCIAL_SCORE,—,—,—,—,0.57,0.57,0.57,0.57
    Growth (YoY),SOCIAL_SCORE,—,—,—,—,—,0.0,0.0,0.0
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,—,—,—,4.90,4.66,5.01,4.65
    Growth (YoY),GOVERNANCE_SCORE,—,—,—,—,—,-4.8,7.4,-7.2
,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,23.91,30.41,31.46,30.41,31.21,32.26,31.87,25.71
    Growth (YoY),ESG_DISCLOSURE_SCORE,—,27.2,3.4,-3.3,2.6,3.4,-1.2,-19.3
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,0.00,0.00,0.00,0.00,0.00,0.00,1.18,1.18
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,—,—,—,—,—,—,—,0.0
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,11.15,11.15,11.15,11.15,12.18,12.18,12.97,12.97
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,—,0.0,0.0,0.0,9.2,0.0,6.5,0.0
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,60.45,79.89,83.02,79.89,81.28,84.41,81.28,62.85
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,—,32.2,3.9,-3.8,1.7,3.9,-3.7,-22.7
