,,,,,,
Navigator Holdings Ltd (NVGS US) - Overview,,,,,,
,,,,,,
In Millions of USD except Per Share,,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,
BESG ESG Score,ESG_SCORE,—,—,3.41,4.31,4.54
    Growth (YoY),ESG_SCORE,—,—,—,26.4,5.3
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,—,3.86,4.44,4.30
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,—,15.2,-3.3
BESG Social Pillar Score,SOCIAL_SCORE,—,—,2.00,3.75,5.10
    Growth (YoY),SOCIAL_SCORE,—,—,—,87.1,36.2
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,—,3.72,4.48,4.59
    Growth (YoY),GOVERNANCE_SCORE,—,—,—,20.5,2.3
,,,,,,
ESG Disclosure Scores,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,25.92,34.22,33.84,41.88,41.54
    Growth (YoY),ESG_DISCLOSURE_SCORE,—,32.0,-1.1,23.8,-0.8
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,4.95,24.77,26.19,33.59,32.56
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,—,400.0,5.7,28.3,-3.1
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,10.64,18.26,15.69,29.93,29.93
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,—,71.6,-14.1,90.8,0.0
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,62.04,59.54,59.54,62.04,62.04
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,—,-4.0,0.0,4.2,0.0
,,,,,,
Environmental,,,,,,
Air Quality,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,—,—,—,—,29.7
Particulate Emissions,PARTICULATE_EMISSIONS,—,—,—,—,1.9
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,1.7,1.7,1.9,2.4,2.9
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,-1.1,8.5,30.5,17.2
,,,,,,
Climate Change,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,No,No,No,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No
