,,,,,,,,,,,,,,,,,
NuVista Energy Ltd (NVA CN) - Overview,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
In Millions of CAD except Per Share,,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2008,12/31/2009,12/31/2010,12/31/2011,12/31/2012,12/31/2013,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,—,—,—,—,—,—,3.05,3.55,3.34,3.79,4.05,4.19,4.68,4.36,—
    Growth (YoY),ESG_SCORE,—,—,—,—,—,—,—,—,16.4,-5.9,13.5,6.9,3.5,11.7,-6.8,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,—,—,—,—,—,—,2.41,3.11,2.26,2.44,2.46,3.39,3.84,3.25,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,—,—,—,—,—,—,28.6,-27.1,7.8,0.6,38.3,13.0,-15.4,—
BESG Social Pillar Score,SOCIAL_SCORE,—,—,—,—,—,—,—,0.98,1.26,1.95,3.32,4.10,3.39,4.22,4.09,—
    Growth (YoY),SOCIAL_SCORE,—,—,—,—,—,—,—,—,28.7,54.7,70.4,23.6,-17.5,24.7,-3.2,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,—,—,—,—,—,—,7.37,7.64,7.48,7.13,7.30,6.65,6.77,6.84,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,—,—,—,—,—,—,3.6,-2.0,-4.7,2.4,-8.9,1.7,1.2,—
,,,,,,,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,27.99,27.99,28.84,35.24,36.07,36.07,36.20,38.77,45.32,45.95,48.36,49.90,49.74,48.52,52.40,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,—,0.0,3.1,22.2,2.4,0.0,0.4,7.1,16.9,1.4,5.2,3.2,-0.3,-2.5,8.0,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,0.00,0.00,0.00,11.96,11.96,11.96,11.96,13.89,29.18,31.08,31.92,31.92,31.92,24.61,36.30,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,—,—,—,—,0.0,0.0,0.0,16.2,110.0,6.5,2.7,0.0,0.0,-22.9,47.5,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,3.23,3.23,5.80,13.06,13.06,13.06,13.45,17.26,21.64,21.64,28.02,32.68,32.19,35.82,35.79,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,—,0.0,79.4,125.0,0.0,0.0,3.0,28.3,25.4,0.0,29.5,16.6,-1.5,11.3,-0.1,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,80.52,80.52,80.52,80.52,83.02,83.02,83.02,84.98,84.98,84.98,84.98,84.98,84.98,84.98,84.98,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,—,0.0,0.0,0.0,3.1,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,—
,,,,,,,,,,,,,,,,,
Environmental,,,,,,,,,,,,,,,,,
Air Quality,,,,,,,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,—,—,—,1.3,1.3,0.7,0.3,0.4,0.2,0.3,0.8,1.0,0.4,0.4,0.5,—
    Growth (YoY),NOX_EMISSIONS,—,—,—,—,-1.6,-45.6,-62.6,42.2,-42.3,20.0,209.1,22.4,-58.0,1.4,7.7,—
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,—,0.3,0.2,0.1,0.1,0.0,0.2,0.2,0.7,1.2,0.8,0.8,1.0,—
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,—,—,-31.9,-48.6,-6.6,-60.0,476.5,-5.6,302.2,59.9,-30.1,-4.2,23.0,—
,,,,,,,,,,,,,,,,,
Climate Change,,,,,,,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,—,—,—,—,—,—,—,—,—,—,—,—,—,201.6,213.6,—
    Growth (YoY),CO2_SCOPE_1,—,—,—,—,—,—,—,—,—,—,—,—,—,—,6.0,—
GHG Scope 1,GHG_SCOPE_1,—,—,—,320.0,288.7,193.2,154.3,149.7,163.0,193.1,281.6,326.3,331.0,277.1,292.9,—
    Growth (YoY),GHG_SCOPE_1,—,—,—,—,-9.8,-33.1,-20.2,-3.0,8.9,18.5,45.8,15.9,1.4,-16.3,5.7,—
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,—,—,57.7,53.3,33.8,11.4,6.2,6.1,6.7,32.2,102.8,94.8,92.9,91.5,—
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,-7.7,-36.6,-66.4,-45.5,-0.8,9.8,377.6,218.9,-7.7,-2.0,-1.5,—
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,—,—,—,—,—,—,—,—,—,0.0,—
GHG Scope 3,GHG_SCOPE_3,—,—,—,—,—,—,—,—,—,228.5,242.9,277.1,320.0,308.4,370.9,—
    Growth (YoY),GHG_SCOPE_3,—,—,—,—,—,—,—,—,—,—,6.3,14.1,15.5,-3.6,20.3,—
Scope of Disclosure,SCOPE_OF_DISCLOSURE,—,—,—,—,—,—,—,—,—,—,—,—,—,1.00,1.00,—
    Growth (YoY),SCOPE_OF_DISCLOSURE,—,—,—,—,—,—,—,—,—,—,—,—,—,—,0.0,—
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,—,—,—,—,—,—,—,—,0.02,0.02,0.02,0.02,0.02,0.02,0.02,—
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,—,—,—,—,—,—,—,—,—,-3.0,8.7,8.5,0.0,-16.0,-21.1,—
,,,,,,,,,,,,,,,,,
Energy,,,,,,,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,—,—,—,—,—,—,—,—,—,—,—,—,—,—,"1,223.2",—
Electricity Used,ELECTRICITY_USED,—,—,—,—,—,—,—,—,—,—,—,—,—,—,143.0,—
Fuel Used - Natural Gas,NAT_GAS_USED,—,—,—,—,—,—,—,—,—,—,—,—,—,—,"98,106,600.0",—
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,—,—,—,—,—,—,—,—,—,—,—,—,—,—,106.8,—
,,,,,,,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,,,,,,,
Supply Chain,,,,,,,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,,,,,,,
Water,,,,,,,,,,,,,,,,,
Water Policy,WATER_POLICY,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,—,—,—,171.4,166.9,234.1,267.8,339.1,344.8,982.7,804.2,733.5,"1,446.0","2,183.1","3,122.6",—
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,—,—,—,—,-2.6,40.3,14.4,26.6,1.7,185.0,-18.2,-8.8,97.1,51.0,43.0,—
,,,,,,,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,n/a
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,n/a
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a
,,,,,,,,,,,,,,,,,
Social,,,,,,,,,,,,,,,,,
Community & Customers,,,,,,,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,No,No,No,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,—,—,—,—,—,—,—,—,—,—,0.4,0.3,0.4,0.5,0.9,—
