,,,,,,,,,,,
Origin Energy Ltd (ORG AU) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of AUD except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
12 Months Ending,,06/30/2015,06/30/2016,06/30/2017,06/30/2018,06/30/2019,06/30/2020,06/30/2021,06/30/2022,06/30/2023,06/30/2024
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,3.400,3.730,3.970,4.330,4.520,4.510,4.950,4.790,4.690,—
    Growth (YoY),ESG_SCORE,—,9.706,6.434,9.068,4.388,-0.221,9.756,-3.232,-2.088,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,2.430,2.490,2.810,3.420,3.680,4.180,4.510,4.180,3.980,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,2.720,12.522,21.807,7.557,13.701,7.823,-7.290,-4.723,—
BESG Social Pillar Score,SOCIAL_SCORE,2.710,3.750,4.050,4.530,4.180,3.560,4.530,4.350,4.450,—
    Growth (YoY),SOCIAL_SCORE,—,38.459,8.162,11.665,-7.588,-14.999,27.427,-3.962,2.211,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,6.160,6.170,6.160,5.820,6.480,6.160,6.160,6.370,6.250,—
    Growth (YoY),GOVERNANCE_SCORE,—,0.198,-0.220,-5.492,11.314,-4.960,0.151,3.313,-1.848,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,45.006,51.906,54.612,55.819,57.781,57.942,63.203,63.736,64.259,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,6.676,15.333,5.213,2.210,3.514,0.279,9.080,0.844,0.821,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,34.552,43.371,43.944,43.944,47.327,47.810,58.442,53.760,53.760,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,22.092,25.524,1.323,0.000,7.698,1.021,22.236,-8.010,0.000,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,24.819,48.730,54.897,58.525,58.525,58.525,63.694,63.694,65.266,—
