,,,,,,,,,,,
Ovintiv Inc (OVV US) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,3.580,3.830,3.960,4.540,4.870,4.900,4.780,4.780,4.930
    Growth (YoY),ESG_SCORE,—,—,6.983,3.394,14.646,7.269,0.616,-2.449,0.000,3.138
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,3.060,3.030,3.210,3.790,4.280,4.450,4.250,4.400,4.500
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,-0.924,6.132,18.006,12.779,4.055,-4.422,3.442,2.204
BESG Social Pillar Score,SOCIAL_SCORE,—,1.640,2.490,2.490,3.610,3.750,3.780,3.110,2.920,3.080
    Growth (YoY),SOCIAL_SCORE,—,—,51.944,0.000,44.763,3.858,0.811,-17.706,-5.998,5.388
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,7.190,7.080,7.260,7.040,7.270,7.020,7.820,7.770,8.010
    Growth (YoY),GOVERNANCE_SCORE,—,—,-1.599,2.522,-2.930,3.176,-3.477,11.449,-0.643,3.079
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,47.842,40.700,38.135,40.811,49.321,51.866,57.439,59.873,61.000,61.835
    Growth (YoY),ESG_DISCLOSURE_SCORE,0.656,-14.929,-6.303,7.017,20.853,5.160,10.745,4.238,1.882,1.369
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,22.984,13.803,16.642,16.642,23.407,23.739,38.115,45.424,48.807,48.807
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,0.000,-39.947,20.569,0.000,40.653,1.419,60.560,19.176,7.447,0.000
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,28.597,20.647,20.647,20.647,39.450,40.478,42.836,42.836,42.836,42.836
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,3.388,-27.801,0.000,0.000,91.069,2.605,5.825,0.000,0.000,0.000
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,91.782,87.477,76.972,84.979,84.979,91.240,91.240,91.240,91.240,93.739
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.000,-4.690,-12.010,10.403,0.000,7.368,0.000,0.000,0.000,2.738
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,9.520,10.266,21.265,24.800,20.700,23.268,18.249,16.621,17.393,22.452
    Growth (YoY),NOX_EMISSIONS,-13.431,7.836,107.140,16.624,-16.532,12.406,-21.570,-8.921,4.645,29.086
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,8.244,3.875,7.744,8.836,5.909,7.493,5.521,5.518,6.274,6.747
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,130.022,-52.996,99.845,14.101,-33.126,26.807,-26.318,-0.054,13.701,7.539
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
GHG Scope 1,GHG_SCOPE_1,"4,475.000","4,352.000","3,612.530","3,571.510","5,623.770","5,956.210","4,607.620","3,851.890","3,392.280","3,307.430"
    Growth (YoY),GHG_SCOPE_1,-6.693,-2.749,-16.991,-1.135,57.462,5.911,-22.642,-16.402,-11.932,-2.501
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,444.000,—,212.956,242.582,391.092,424.944,453.332,376.064,346.434,351.883
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,1.139,—,—,13.912,61.221,8.656,6.680,-17.044,-7.879,1.573
Scope of Disclosure,SCOPE_OF_DISCLOSURE,1.000,—,—,—,—,—,—,—,—,—
    Growth (YoY),SCOPE_OF_DISCLOSURE,0.000,—,—,—,—,—,—,—,—,—
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,—,—,27.120,25.050,20.900,20.800,17.900,16.800,14.900,13.200
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,—,—,—,-7.633,-16.567,-0.478,-13.942,-6.145,-11.310,-11.409
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,"12,878.900",—,—,—,—,—,—,—,—,—
    Growth (YoY),ENERGY_CONSUMPTION,-0.320,—,—,—,—,—,—,—,—,—
Electricity Used,ELECTRICITY_USED,739.351,—,—,—,—,—,—,—,—,—
    Growth (YoY),ELECTRICITY_USED,0.532,—,—,—,—,—,—,—,—,—
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,—,—,—,—,—,—,—,0.142,4.898,0.035
    Growth (YoY),HAZARDOUS_WASTE,—,—,—,—,—,—,—,—,"3,349.296",-99.285
Total Waste,TOTAL_WASTE,—,—,—,—,—,—,—,105.844,108.898,132.041
    Growth (YoY),TOTAL_WASTE,—,—,—,—,—,—,—,—,2.885,21.252
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No,No,No,No,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,"21,731.400","7,968.440","6,283.180","10,558.300","8,267.340","17,694.000","13,113.000","12,786.000","11,043.000","11,456.000"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,226.425,-63.332,-21.149,68.041,-21.698,114.023,-25.890,-2.494,-13.632,3.740
Total Water Discharged,TOTAL_WATER_DISCHARGED,—,—,—,—,—,—,75.000,116.000,189.000,156.000
    Growth (YoY),TOTAL_WATER_DISCHARGED,—,—,—,—,—,—,—,54.667,62.931,-17.460
Water Consumption,WATER_CONSMPTN,—,—,—,—,—,—,—,12.757,11.090,11.547
    Growth (YoY),WATER_CONSMPTN,—,—,—,—,—,—,—,—,-13.067,4.121
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,No,No,No,No,No,No,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,6.200,—,—,—,3.800,1.000,2.231,3.155,4.049,7.645
    Growth (YoY),COMMUNITY_SPENDING,-40.385,—,—,—,—,-73.684,123.117,41.405,28.351,88.791
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,No,No,No,No,No,No
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,40.000,—,—,—,21.000,19.000,27.000,34.600,26.900,36.000
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,—,—,—,—,—,-9.524,42.105,28.148,-22.254,33.829
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,26.000,26.000,26.000,23.400,23.000,23.600
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,—,0.000,0.000,-10.000,-1.709,2.609
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,36.000,37.000,35.000,35.000,35.000,30.000,30.000,31.100,30.900,30.700
    Growth (YoY),PCT_WOMEN_EMPLOYEES,-2.703,2.778,-5.405,0.000,0.000,-14.286,0.000,3.667,-0.643,-0.647
Pct Minorities in Workforce,PCT_MINORITY_EMPLOYEES,—,—,—,—,—,—,14.000,14.900,15.900,17.300
    Growth (YoY),PCT_MINORITY_EMPLOYEES,—,—,—,—,—,—,—,6.429,6.711,8.805
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Fatalities - Contractors,FATALITIES_CONTRACTORS,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000
Fatalities - Total,FATALITIES_TOTAL,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,0.320,—,—,—,0.100,0.080,0.090,0.000,0.000,0.000
    Growth (YoY),LOST_TIME_INCIDENT_RATE,220.000,—,—,—,—,-20.000,12.500,—,—,—
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,0.080,—,—,—,0.060,0.040,0.030,0.040,0.040,0.040
    Growth (YoY),LOST_TIME_INCIDENT_RT_CNTRCTR,-27.273,—,—,—,—,-33.333,-25.000,33.333,0.000,0.000
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,—,0.060,0.030,0.030,0.070,0.050,0.030,0.040,0.040,0.030
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,—,—,-50.000,0.000,133.333,-28.571,-40.000,33.333,0.000,-25.000
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,0.860,—,—,—,0.260,0.340,0.270,0.230,0.050,0.270
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,273.913,—,—,—,—,30.769,-20.588,-14.815,-78.261,440.000
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,0.390,—,—,—,0.290,0.200,0.180,0.140,0.200,0.160
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,-31.579,—,—,—,—,-31.034,-10.000,-22.222,42.857,-20.000
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,—,0.340,0.300,0.300,0.290,0.210,0.190,0.150,0.190,0.170
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,—,—,-11.765,0.000,-3.333,-27.586,-9.524,-21.053,26.667,-10.526
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"3,544.000","2,891.000","2,200.000","2,107.000","2,065.000","2,572.000","1,918.000","1,713.000","1,744.000","1,743.000"
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,—,—,—,—,0.000,0.000,0.000,0.000,0.000,0.000
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,No,No,No,No,No,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,57.000,58.000,59.000,60.000,61.000,62.000,63.000,64.000,65.000,66.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,1.786,1.754,1.724,1.695,1.667,1.639,1.613,1.587,1.563,1.538
