,,,,,,,,,,,
PBF Energy Inc (PBF US) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
12 Months Ending,,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023,12/31/2024
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,1.530,1.540,1.650,1.630,2.520,2.560,3.530,3.490,—,—
    Growth (YoY),ESG_SCORE,—,0.654,7.143,-1.212,54.601,1.587,37.891,-1.133,—,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,0.000,0.000,0.000,0.030,1.180,1.190,2.230,1.980,—,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,—,—,"3,527.959",0.487,88.078,-11.378,—,—
BESG Social Pillar Score,SOCIAL_SCORE,0.820,0.820,1.150,0.880,1.370,1.330,2.550,2.710,—,—
    Growth (YoY),SOCIAL_SCORE,—,0.000,39.506,-23.195,55.129,-2.824,91.979,6.165,—,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,6.950,7.010,7.050,7.270,7.280,7.580,7.550,7.830,—,—
    Growth (YoY),GOVERNANCE_SCORE,—,0.966,0.524,3.083,0.163,4.054,-0.307,3.614,—,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,30.641,32.371,34.785,35.862,45.529,51.132,52.178,49.351,—,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,0.362,5.647,7.458,3.094,26.957,12.307,2.046,-5.417,—,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,0.332,0.332,0.332,1.571,25.159,39.535,39.535,34.189,—,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,—,0.000,0.000,372.727,"1,501.923",57.143,0.000,-13.522,—,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,8.374,12.183,19.438,20.859,26.300,28.749,31.892,28.749,—,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,0.000,45.487,59.553,7.309,26.087,9.310,10.936,-9.858,—,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,83.022,84.407,84.407,84.979,84.979,84.979,84.979,84.979,—,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.000,1.668,0.000,0.678,0.000,0.000,0.000,0.000,—,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,—,—,—,—,4.503,4.503,4.703,4.843,4.777,—
    Growth (YoY),NOX_EMISSIONS,—,—,—,—,—,0.000,4.441,2.977,-1.363,—
VOC Emissions,VOC_EMISSIONS,—,—,—,—,1.947,1.877,2.125,1.962,1.816,—
    Growth (YoY),VOC_EMISSIONS,—,—,—,—,—,-3.595,13.213,-7.671,-7.441,—
Particulate Emissions,PARTICULATE_EMISSIONS,—,—,—,—,1.078,1.078,1.208,1.381,1.175,—
    Growth (YoY),PARTICULATE_EMISSIONS,—,—,—,—,—,0.000,12.059,14.321,-14.917,—
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,—,—,0.828,1.513,1.667,1.582,1.232,—
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,—,—,—,82.729,10.178,-5.099,-22.124,—
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,n/a
Climate Change Policy,CLIMATE_CHG_POLICY,No,No,No,No,No,No,No,No,n/a,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,n/a,n/a
Risks of Climate Change Discussed,CLIMATE_RISKS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
GHG Scope 1,GHG_SCOPE_1,—,—,—,—,"11,610.000","14,200.000","14,160.000","11,720.000","10,780.000",—
    Growth (YoY),GHG_SCOPE_1,—,—,—,—,—,22.308,-0.282,-17.232,-8.020,—
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,740.000,720.000,700.000,—,—,—
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,—,-2.703,-2.778,—,—,—
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,No,No,No,Yes,Yes,Yes,Yes,Yes,n/a,n/a
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,No,No,No,Yes,Yes,Yes,Yes,Yes,n/a,n/a
Hazardous Waste,HAZARDOUS_WASTE,—,—,—,—,10.099,21.701,20.631,33.303,26.000,—
    Growth (YoY),HAZARDOUS_WASTE,—,—,—,—,—,114.883,-4.931,61.422,-21.929,—
Total Waste,TOTAL_WASTE,—,—,—,—,68.945,59.000,67.738,—,—,—
    Growth (YoY),TOTAL_WASTE,—,—,—,—,—,-14.424,14.809,—,—,—
Waste Recycled,WASTE_RECYCLED,—,—,—,—,20.828,12.131,16.249,—,—,—
    Growth (YoY),WASTE_RECYCLED,—,—,—,—,—,-41.757,33.944,—,—,—
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No,No,No,Yes,Yes,Yes,n/a,n/a
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,No,No,No,No,No,No,No,No,n/a,n/a
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,—,—,—,—,"224,000.000","212,000.000","201,000.000","210,000.000","200,000.000",—
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,—,—,—,—,—,-5.357,-5.189,4.478,-4.762,—
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,No,No,No,No,No,No,No,n/a,n/a
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,No,No,n/a,n/a
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,No,No,n/a,n/a
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,No,No,n/a,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,No,No,n/a,n/a
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,No,No,Yes,Yes,Yes,Yes,n/a
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,No,No,No,No,No,No,No,No,No,n/a
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,No,No,No,No,No,n/a
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,—,—,—,—,—,—,14.200,—,—,—
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,—,—,—,—,—,—,14.500,—,—,—
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,—,—,—,—,0.000,0.000,0.000,0.000,0.000,—
Fatalities - Contractors,FATALITIES_CONTRACTORS,—,—,—,—,0.000,0.000,0.000,0.000,0.000,—
Fatalities - Total,FATALITIES_TOTAL,—,—,—,—,0.000,0.000,0.000,0.000,0.000,—
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,—,—,0.250,0.170,0.240,0.280,0.130,0.130,0.200,—
    Growth (YoY),LOST_TIME_INCIDENT_RATE,—,—,—,-32.000,41.176,16.667,-53.571,0.000,53.846,—
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,0.000,0.160,0.120,0.160,0.240,0.240,0.020,—
    Growth (YoY),LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,—,-25.000,33.333,50.000,0.000,-91.667,—
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,—,0.490,0.440,0.640,0.550,0.320,0.320,0.420,—
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,-10.204,45.455,-14.063,-41.818,0.000,31.250,—
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,0.280,0.400,0.310,0.450,0.420,0.420,0.280,—
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,42.857,-22.500,45.161,-6.667,0.000,-33.333,—
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,n/a
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"2,270.000","3,165.000","3,165.000","3,266.000","3,442.000","3,729.000","3,418.000","3,616.000","3,776.000","3,855.000"
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,53.440,49.090,51.090,49.750,49.760,52.660,53.620,52.880,52.030,51.330
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,-1.927,-8.140,4.074,-2.623,0.020,5.828,1.823,-1.380,-1.607,-1.345
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,n/a
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,No,No,No,No,Yes,Yes,Yes,n/a,n/a
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,5.000,6.000,7.000,8.000,9.000,10.000,11.000,12.000,13.000,14.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,25.000,20.000,16.667,14.286,12.500,11.111,10.000,9.091,8.333,7.692
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,4.000,—
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,4.000,—
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,4.000,5.000,4.000,5.000,5.000,5.000,4.000,5.000,4.000,—
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,—
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Board Size,BOARD_SIZE,9.000,9.000,9.000,9.000,10.000,9.000,9.000,9.000,11.000,—
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,9.000,8.000,7.000,7.000,7.000,7.000,6.000,6.000,6.000,—
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,7.000,8.000,8.000,8.000,8.000,8.000,8.000,8.000,9.000,—
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,9.000,7.000,7.000,6.000,7.000,16.000,8.000,8.000,6.000,—
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,75.000,75.000,75.000,75.000,75.000,75.000,75.000,75.000,75.000,—
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—
