,,,,,,,,,,,
PDC Energy Inc (PDCE US) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022
12 Months Ending,,12/31/2013,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,—,2.220,2.220,2.100,2.240,4.660,5.150,5.220,4.110
    Growth (YoY),ESG_SCORE,—,—,—,0.000,-5.405,6.667,108.036,10.515,1.359,-21.264
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,—,0.820,0.880,0.910,0.930,3.930,4.130,3.850,2.300
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,—,6.179,3.900,2.140,323.510,5.071,-6.870,-40.350
BESG Social Pillar Score,SOCIAL_SCORE,—,—,1.120,0.930,0.600,0.990,3.920,4.820,5.100,3.760
    Growth (YoY),SOCIAL_SCORE,—,—,—,-16.740,-35.868,66.046,294.857,22.892,5.868,-26.326
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,—,7.260,7.450,7.350,7.260,6.840,7.440,8.010,8.520
    Growth (YoY),GOVERNANCE_SCORE,—,—,—,2.639,-1.357,-1.220,-5.724,8.660,7.704,6.372
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,31.888,31.888,33.146,33.749,32.039,34.353,37.089,46.364,47.289,39.030
    Growth (YoY),ESG_DISCLOSURE_SCORE,0.000,0.000,3.943,1.821,-5.067,7.221,7.965,25.007,1.996,-17.464
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,0.332,0.332,0.332,0.332,0.332,0.332,7.158,10.631,12.383,4.440
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,0.000,0.000,0.000,0.000,0.000,0.000,"2,054.545",48.523,16.477,-64.146
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,12.122,12.122,13.936,15.750,10.611,17.564,18.954,43.350,44.377,27.509
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,0.000,0.000,14.963,13.015,-32.630,65.527,7.917,128.708,2.371,-38.011
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,83.022,83.022,84.979,84.979,84.979,84.979,84.979,84.979,84.979,84.979
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.000,0.000,2.357,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,No,No,No,No,No,No,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,No,No,No,No,No,No,No,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,Yes,Yes
Risks of Climate Change Discussed,CLIMATE_RISKS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
GHG Scope 1,GHG_SCOPE_1,—,—,—,—,—,—,"1,218.450","1,145.690","1,000.600",—
    Growth (YoY),GHG_SCOPE_1,—,—,—,—,—,—,—,-5.972,-12.664,—
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,—,—,—,—,6.978,—
Scope of Disclosure,SCOPE_OF_DISCLOSURE,—,—,—,—,—,—,—,—,—,1.000
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,—,—,—,—,—,—,—,15.150,13.400,—
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,—,—,—,—,—,—,—,—,-11.551,—
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,No,No,No,No,No,No,No,No,No,No
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,—,—,—,—,—,—,—,"4,928.060","4,538.450",—
    Growth (YoY),OIL_DIESEL_USED,—,—,—,—,—,—,—,—,-7.906,—
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,No,No,No,No,No,No,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,—,—,—,—,—,—,"3,879.400","4,036.430","5,494.000",—
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,—,—,—,—,—,—,—,4.048,36.110,—
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,No,No,No,No,No,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,No,No,No,No,No,No,No,No,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,No,No,No,No,No,No,No
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,n/a,No,No,No,No,No,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,—,—,—,—,—,—,—,1.024,1.700,—
    Growth (YoY),COMMUNITY_SPENDING,—,—,—,—,—,—,—,—,65.983,—
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,No,No,No,No,No,No
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,—,—,—,32.000,33.000,38.000
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,—,—,—,—,3.125,15.152
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,—,—,—,—,—,—,—,28.000,27.000,26.000
